,rating,Team,mu,sd,name,Contract Value,Year,Type
0,13.21905832,Houston Rockets,0.508101667,5,Bobby Brown,"$1,524,305.00 ",2017,Non-rookie
2,13.21905832,Houston Rockets,8.199831667,5,Chris Paul,"$24,599,495.00 ",2017,Non-rookie
4,13.21905832,Houston Rockets,4.31434,5,Eric Gordon,"$12,943,020.00 ",2017,Non-rookie
7,13.21905832,Houston Rockets,9.433133,5,James Harden,"$28,299,399.00 ",2017,Non-rookie
8,13.21905832,Houston Rockets,0.705651667,5,Luc Mbah a Moute,"$2,116,955.00 ",2017,Non-rookie
9,13.21905832,Houston Rockets,6.526151667,5,Ryan Anderson,"$19,578,455.00 ",2017,Non-rookie
11,13.21905832,Houston Rockets,2.473637333,5,Trevor Ariza,"$7,420,912.00 ",2017,Non-rookie
14,12.68894695,Golden State Warriors,4.938271667,5,Andre Iguodala,"$14,814,815.00 ",2017,Non-rookie
16,12.68894695,Golden State Warriors,0.776217333,5,David West,"$2,328,652.00 ",2017,Non-rookie
17,12.68894695,Golden State Warriors,5.466666667,5,Draymond Green,"$16,400,000.00 ",2017,Non-rookie
18,12.68894695,Golden State Warriors,0.705651667,5,JaVale McGee,"$2,116,955.00 ",2017,Non-rookie
20,12.68894695,Golden State Warriors,8.333333333,5,Kevin Durant,"$25,000,000.00 ",2017,Non-rookie
22,12.68894695,Golden State Warriors,5.94205,5,Klay Thompson,"$17,826,150.00 ",2017,Non-rookie
23,12.68894695,Golden State Warriors,1.730666667,5,Nick Young,"$5,192,000.00 ",2017,Non-rookie
24,12.68894695,Golden State Warriors,0.702156667,5,Omri Casspi,"$2,106,470.00 ",2017,Non-rookie
26,12.68894695,Golden State Warriors,2.564102667,5,Shaun Livingston,"$7,692,308.00 ",2017,Non-rookie
27,12.68894695,Golden State Warriors,11.56085,5,Stephen Curry,"$34,682,550.00 ",2017,Non-rookie
28,12.68894695,Golden State Warriors,1.1592,5,Zaza Pachulia,"$3,477,600.00 ",2017,Non-rookie
29,9.70057401,Philadelphia 76ers,3.666666667,5,Amir Johnson,"$11,000,000.00 ",2017,Non-rookie
34,9.70057401,Philadelphia 76ers,3,5,Jerryd Bayless,"$9,000,000.00 ",2017,Non-rookie
37,9.70057401,Philadelphia 76ers,2.34208,5,Markelle Fultz,"$7,026,240.00 ",2017,Non-rookie
40,9.70057401,Philadelphia 76ers,5.566034333,5,Robert Covington,"$16,698,103.00 ",2017,Non-rookie
43,9.675652863,Utah Jazz,3.615168667,5,Alec Burks,"$10,845,506.00 ",2017,Non-rookie
45,9.675652863,Utah Jazz,4,5,Derrick Favors,"$12,000,000.00 ",2017,Non-rookie
47,9.675652863,Utah Jazz,1.066666667,5,Ekpe Udoh,"$3,200,000.00 ",2017,Non-rookie
48,9.675652863,Utah Jazz,4.712121333,5,Joe Ingles,"$14,136,364.00 ",2017,Non-rookie
49,9.675652863,Utah Jazz,3.501666667,5,Joe Johnson,"$10,505,000.00 ",2017,Non-rookie
51,9.675652863,Utah Jazz,1.333333333,5,Jonas Jerebko,"$4,000,000.00 ",2017,Non-rookie
53,9.675652863,Utah Jazz,4.758333333,5,Ricky Rubio,"$14,275,000.00 ",2017,Non-rookie
55,9.675652863,Utah Jazz,7.324906333,5,Rudy Gobert,"$21,974,719.00 ",2017,Non-rookie
56,9.675652863,Utah Jazz,1.75,5,Thabo Sefolosha,"$5,250,000.00 ",2017,Non-rookie
58,8.526489449,Oklahoma City Thunder,1.908333333,5,Alex Abrines,"$5,725,000.00 ",2017,Non-rookie
59,8.526489449,Oklahoma City Thunder,3.086419667,5,Andre Roberson,"$9,259,259.00 ",2017,Non-rookie
60,8.526489449,Oklahoma City Thunder,8.74792,5,Carmelo Anthony,"$26,243,760.00 ",2017,Non-rookie
64,8.526489449,Oklahoma City Thunder,1.5555,5,Kyle Singler,"$4,666,500.00 ",2017,Non-rookie
65,8.526489449,Oklahoma City Thunder,0.776217333,5,Nick Collison,"$2,328,652.00 ",2017,Non-rookie
66,8.526489449,Oklahoma City Thunder,1.730666667,5,Patrick Patterson,"$5,192,000.00 ",2017,Non-rookie
67,8.526489449,Oklahoma City Thunder,6.502986,5,Paul George,"$19,508,958.00 ",2017,Non-rookie
68,8.526489449,Oklahoma City Thunder,0.776217333,5,Raymond Felton,"$2,328,652.00 ",2017,Non-rookie
69,8.526489449,Oklahoma City Thunder,9.510202667,5,Russell Westbrook,"$28,530,608.00 ",2017,Non-rookie
70,8.526489449,Oklahoma City Thunder,7.490636667,5,Steven Adams,"$22,471,910.00 ",2017,Non-rookie
73,8.267971906,Boston Celtics,9.244801667,5,Al Horford,"$27,734,405.00 ",2017,Non-rookie
74,8.267971906,Boston Celtics,1.442666667,5,Aron Baynes,"$4,328,000.00 ",2017,Non-rookie
77,8.267971906,Boston Celtics,9.9093,5,Gordon Hayward,"$29,727,900.00 ",2017,Non-rookie
81,8.267971906,Boston Celtics,6.289541667,5,Kyrie Irving,"$18,868,625.00 ",2017,Non-rookie
82,8.267971906,Boston Celtics,1.666666667,5,Marcus Morris,"$5,000,000.00 ",2017,Non-rookie
85,8.267971906,Boston Celtics,0.508101667,5,Shane Larkin,"$1,524,305.00 ",2017,Non-rookie
89,8.012503388,San Antonio Spurs,3.333333333,5,Danny Green,"$10,000,000.00 ",2017,Non-rookie
94,8.012503388,San Antonio Spurs,6.289541667,5,Kawhi Leonard,"$18,868,625.00 ",2017,Non-rookie
96,8.012503388,San Antonio Spurs,7.15367,5,LaMarcus Aldridge,"$21,461,010.00 ",2017,Non-rookie
97,8.012503388,San Antonio Spurs,0.833333333,5,Manu Ginobili,"$2,500,000.00 ",2017,Non-rookie
98,8.012503388,San Antonio Spurs,3.571428667,5,Patty Mills,"$10,714,286.00 ",2017,Non-rookie
99,8.012503388,San Antonio Spurs,5.333333333,5,Pau Gasol,"$16,000,000.00 ",2017,Non-rookie
100,8.012503388,San Antonio Spurs,2.802,5,Rudy Gay,"$8,406,000.00 ",2017,Non-rookie
101,8.012503388,San Antonio Spurs,5.151042,5,Tony Parker,"$15,453,126.00 ",2017,Non-rookie
102,7.507833506,Minnesota Timberwolves,0.705651667,5,Aaron Brooks,"$2,116,955.00 ",2017,Non-rookie
103,7.507833506,Minnesota Timberwolves,2.524774,5,Andrew Wiggins,"$7,574,322.00 ",2017,Non-rookie
104,7.507833506,Minnesota Timberwolves,2.433333333,5,Cole Aldrich,"$7,300,000.00 ",2017,Non-rookie
