,rating,Team,mu,sd,name,Contract Value,Year,Type
1,13.21905832,Houston Rockets,0.437537,5,Chinanu Onuaku,"$1,312,611.00 ",2017,Rookie
3,13.21905832,Houston Rockets,0.778173333,5,Clint Capela,"$2,334,520.00 ",2017,Rookie
5,13.21905832,Houston Rockets,0.066666667,5,Isaiah Canaan,"$200,000.00 ",2017,Rookie
10,13.21905832,Houston Rockets,1.096666667,5,Tarik Black,"$3,290,000.00 ",2017,Rookie
12,13.21905832,Houston Rockets,0.490460667,5,Troy Williams,"$1,471,382.00 ",2017,Rookie
13,13.21905832,Houston Rockets,0.271871667,5,Zhou Qi,"$815,615.00 ",2017,Rookie
15,12.68894695,Golden State Warriors,0.437537,5,Damian Jones,"$1,312,611.00 ",2017,Rookie
19,12.68894695,Golden State Warriors,0.271871667,5,Jordan Bell,"$815,615.00 ",2017,Rookie
21,12.68894695,Golden State Warriors,0.490460667,5,Kevon Looney,"$1,471,382.00 ",2017,Rookie
25,12.68894695,Golden State Warriors,0.437537,5,Patrick McCaw,"$1,312,611.00 ",2017,Rookie
30,9.70057401,Philadelphia 76ers,2.05628,5,Ben Simmons,"$6,168,840.00 ",2017,Rookie
31,9.70057401,Philadelphia 76ers,0.80752,5,Dario Saric,"$2,422,560.00 ",2017,Rookie
32,9.70057401,Philadelphia 76ers,0.48864,5,Furkan Korkmaz,"$1,465,920.00 ",2017,Rookie
33,9.70057401,Philadelphia 76ers,1.66504,5,Jahlil Okafor,"$4,995,120.00 ",2017,Rookie
35,9.70057401,Philadelphia 76ers,2.033422,5,Joel Embiid,"$6,100,266.00 ",2017,Rookie
36,9.70057401,Philadelphia 76ers,0.52648,5,Justin Anderson,"$1,579,440.00 ",2017,Rookie
38,9.70057401,Philadelphia 76ers,1.269048667,5,Nik Stauskas,"$3,807,146.00 ",2017,Rookie
39,9.70057401,Philadelphia 76ers,0.490460667,5,Richaun Holmes,"$1,471,382.00 ",2017,Rookie
41,9.70057401,Philadelphia 76ers,0.490460667,5,T.J. McConnell,"$1,471,382.00 ",2017,Rookie
42,9.70057401,Philadelphia 76ers,0.4622,5,Timothe Luwawu-Cabarrot,"$1,386,600.00 ",2017,Rookie
44,9.675652863,Utah Jazz,1.664128333,5,Dante Exum,"$4,992,385.00 ",2017,Rookie
46,9.675652863,Utah Jazz,0.87376,5,Donovan Mitchell,"$2,621,280.00 ",2017,Rookie
50,9.675652863,Utah Jazz,0.437537,5,Joel Bolomboy,"$1,312,611.00 ",2017,Rookie
52,9.675652863,Utah Jazz,0.490460667,5,Raul Neto,"$1,471,382.00 ",2017,Rookie
54,9.675652863,Utah Jazz,0.795621333,5,Rodney Hood,"$2,386,864.00 ",2017,Rookie
57,9.675652863,Utah Jazz,0.47164,5,Tony Bradley,"$1,414,920.00 ",2017,Rookie
61,8.526489449,Oklahoma City Thunder,0.271871667,5,Dakari Johnson,"$815,615.00 ",2017,Rookie
62,8.526489449,Oklahoma City Thunder,0.508101667,5,Jerami Grant,"$1,524,305.00 ",2017,Rookie
63,8.526489449,Oklahoma City Thunder,0.490460667,5,Josh Huestis,"$1,471,382.00 ",2017,Rookie
71,8.526489449,Oklahoma City Thunder,0.595,5,Terrance Ferguson,"$1,785,000.00 ",2017,Rookie
72,8.267971906,Boston Celtics,0.389111,5,Abdel Nader,"$1,167,333.00 ",2017,Rookie
75,8.267971906,Boston Celtics,0.271871667,5,Daniel Theis,"$815,615.00 ",2017,Rookie
76,8.267971906,Boston Celtics,0.030952667,5,Demetrius Jackson,"$92,858.00 ",2017,Rookie
78,8.267971906,Boston Celtics,0.74916,5,Guerschon Yabusele,"$2,247,480.00 ",2017,Rookie
79,8.267971906,Boston Celtics,1.65216,5,Jaylen Brown,"$4,956,480.00 ",2017,Rookie
80,8.267971906,Boston Celtics,1.8818,5,Jayson Tatum,"$5,645,400.00 ",2017,Rookie
83,8.267971906,Boston Celtics,1.512673333,5,Marcus Smart,"$4,538,020.00 ",2017,Rookie
84,8.267971906,Boston Celtics,0.430630667,5,Semi Ojeleye,"$1,291,892.00 ",2017,Rookie
86,8.267971906,Boston Celtics,0.66284,5,Terry Rozier,"$1,988,520.00 ",2017,Rookie
87,8.012503388,San Antonio Spurs,0.271871667,5,Brandon Paul,"$815,615.00 ",2017,Rookie
88,8.012503388,San Antonio Spurs,0.437537,5,Bryn Forbes,"$1,312,611.00 ",2017,Rookie
90,8.012503388,San Antonio Spurs,0.437537,5,Davis Bertans,"$1,312,611.00 ",2017,Rookie
91,8.012503388,San Antonio Spurs,0.437537,5,Dejounte Murray,"$1,312,611.00 ",2017,Rookie
92,8.012503388,San Antonio Spurs,0.4682,5,Derrick White,"$1,404,600.00 ",2017,Rookie
93,8.012503388,San Antonio Spurs,0.508101667,5,Joffrey Lauvergne,"$1,524,305.00 ",2017,Rookie
95,8.012503388,San Antonio Spurs,0.717234667,5,Kyle Anderson,"$2,151,704.00 ",2017,Rookie
110,7.507833506,Minnesota Timberwolves,0.74916,5,Justin Patton,"$2,247,480.00 ",2017,Rookie
112,7.507833506,Minnesota Timberwolves,0.437537,5,Marcus Georges-Hunt,"$1,312,611.00 ",2017,Rookie
113,7.507833506,Minnesota Timberwolves,1.316666333,5,Nemanja Bjelica,"$3,949,999.00 ",2017,Rookie
