,rating,Team,Type,mu,sd,name
0,4.23982463177234,Orlando Magic,Non-rookie,0.4097516666666667,5,Malik Allen
2,4.23982463177234,Orlando Magic,Non-rookie,5.910231333333333,5,Gilbert Arenas
3,4.23982463177234,Orlando Magic,Non-rookie,1.3333333333333333,5,Brandon Bass
5,4.23982463177234,Orlando Magic,Non-rookie,1.1666666666666667,5,Chris Duhon
6,4.23982463177234,Orlando Magic,Non-rookie,5.54906,5,Dwight Howard
7,4.23982463177234,Orlando Magic,Non-rookie,2.6,5,Jameer Nelson
8,4.23982463177234,Orlando Magic,Non-rookie,4.814814666666667,5,Jason Richardson
9,4.23982463177234,Orlando Magic,Non-rookie,0.755,5,Quentin Richardson
10,4.23982463177234,Orlando Magic,Non-rookie,3.405283333333333,5,Hedo Turkoglu
11,4.23982463177234,Orlando Magic,Non-rookie,0.450727,5,Jason Williams
12,2.2266183009673903,Cleveland Cavaliers,Non-rookie,4.333333333333333,5,Baron Davis
16,2.2266183009673903,Cleveland Cavaliers,Non-rookie,1.3384446666666667,5,Daniel Gibson
17,2.2266183009673903,Cleveland Cavaliers,Non-rookie,0.3308933333333333,5,Joey Graham
20,2.2266183009673903,Cleveland Cavaliers,Non-rookie,0.7777776666666667,5,Ryan Hollins
21,2.2266183009673903,Cleveland Cavaliers,Non-rookie,4.452968333333334,5,Antawn Jamison
22,2.2266183009673903,Cleveland Cavaliers,Non-rookie,0.9519,5,Anthony Parker
23,2.2266183009673903,Cleveland Cavaliers,Non-rookie,0.305284,5,Leon Powe
26,2.2266183009673903,Cleveland Cavaliers,Non-rookie,2.4272726666666666,5,Anderson Varejao
28,1.97745199044767,Los Angeles Lakers,Non-rookie,2.10744,5,Metta World Peace
29,1.97745199044767,Los Angeles Lakers,Non-rookie,0.5883333333333334,5,Matt Barnes
30,1.97745199044767,Los Angeles Lakers,Non-rookie,1.3333333333333333,5,Steve Blake
31,1.97745199044767,Los Angeles Lakers,Non-rookie,0.7333333333333333,5,Shannon Brown
32,1.97745199044767,Los Angeles Lakers,Non-rookie,8.26875,5,Kobe Bryant
33,1.97745199044767,Los Angeles Lakers,Non-rookie,4.566666666666666,5,Andrew Bynum
36,1.97745199044767,Los Angeles Lakers,Non-rookie,1.2333333333333334,5,Derek Fisher
37,1.97745199044767,Los Angeles Lakers,Non-rookie,5.941,5,Pau Gasol
38,1.97745199044767,Los Angeles Lakers,Non-rookie,2.7333333333333334,5,Lamar Odom
39,1.97745199044767,Los Angeles Lakers,Non-rookie,0.450727,5,Joe Smith
40,1.97745199044767,Los Angeles Lakers,Non-rookie,1.7533333333333334,5,Luke Walton
41,1.79811123912632,Phoenix Suns,Non-rookie,0.06285266666666667,5,Earl Barron
43,1.79811123912632,Phoenix Suns,Non-rookie,5.766666666666667,5,Vince Carter
44,1.79811123912632,Phoenix Suns,Non-rookie,2.1666666666666665,5,Josh Childress
47,1.79811123912632,Phoenix Suns,Non-rookie,1.7333333333333334,5,Channing Frye
49,1.79811123912632,Phoenix Suns,Non-rookie,1.108,5,Grant Hill
52,1.79811123912632,Phoenix Suns,Non-rookie,3.4369793333333334,5,Steve Nash
53,1.79811123912632,Phoenix Suns,Non-rookie,1.7666666666666666,5,Mickael Pietrus
55,1.79811123912632,Phoenix Suns,Non-rookie,1.4166666666666667,5,Hakim Warrick
56,1.4974279466787699,Utah Jazz,Non-rookie,1.0,5,Raja Bell
57,1.4974279466787699,Utah Jazz,Non-rookie,0.38211233333333333,5,Francisco Elson
61,1.4974279466787699,Utah Jazz,Non-rookie,2.9936666666666665,5,Devin Harris
63,1.4974279466787699,Utah Jazz,Non-rookie,4.333333333333333,5,Al Jefferson
64,1.4974279466787699,Utah Jazz,Non-rookie,5.941,5,Andrei Kirilenko
65,1.4974279466787699,Utah Jazz,Non-rookie,2.533333333333333,5,Paul Millsap
66,1.4974279466787699,Utah Jazz,Non-rookie,3.315,5,Mehmet Okur
67,1.4974279466787699,Utah Jazz,Non-rookie,0.46,5,Ronnie Price
68,1.4974279466787699,Utah Jazz,Non-rookie,0.4097516666666667,5,Earl Watson
71,1.04356716543027,San Antonio Spurs,Non-rookie,1.0,5,Matt Bonner
72,1.04356716543027,San Antonio Spurs,Non-rookie,6.233333333333333,5,Tim Duncan
73,1.04356716543027,San Antonio Spurs,Non-rookie,3.951528,5,Manu Ginobili
75,1.04356716543027,San Antonio Spurs,Non-rookie,2.8,5,Richard Jefferson
76,1.04356716543027,San Antonio Spurs,Non-rookie,1.62,5,Antonio McDyess
79,1.04356716543027,San Antonio Spurs,Non-rookie,4.5,5,Tony Parker
80,1.04356716543027,San Antonio Spurs,Non-rookie,0.287326,5,Chris Quinn
82,1.04356716543027,San Antonio Spurs,Non-rookie,0.08807733333333333,5,Ime Udoka
83,0.8607358286262009,Boston Celtics,Non-rookie,3.3333333333333335,5,Ray Allen
86,0.8607358286262009,Boston Celtics,Non-rookie,6.266666666666667,5,Kevin Garnett
89,0.8607358286262009,Boston Celtics,Non-rookie,1.8477053333333333,5,Nenad Krstic
90,0.8607358286262009,Boston Celtics,Non-rookie,1.9216666666666666,5,Jermaine O'Neal
91,0.8607358286262009,Boston Celtics,Non-rookie,0.450727,5,Shaquille O'Neal
92,0.8607358286262009,Boston Celtics,Non-rookie,4.625440333333334,5,Paul Pierce
93,0.8607358286262009,Boston Celtics,Non-rookie,3.0303036666666667,5,Rajon Rondo
94,0.8607358286262009,Boston Celtics,Non-rookie,0.305284,5,Von Wafer
95,0.8607358286262009,Boston Celtics,Non-rookie,0.356503,5,Delonte West
97,0.5938333053928211,Denver Nuggets,Non-rookie,1.5111,5,Chris Andersen
99,0.5938333053928211,Denver Nuggets,Non-rookie,0.407722,5,Melvin Ely
100,0.5938333053928211,Denver Nuggets,Non-rookie,2.5,5,Raymond Felton
103,0.5938333053928211,Denver Nuggets,Non-rookie,1.9216666666666666,5,Al Harrington
104,0.5938333053928211,Denver Nuggets,Non-rookie,3.7866666666666666,5,Nene
107,0.5938333053928211,Denver Nuggets,Non-rookie,5.515151333333334,5,Kenyon Martin
110,0.0273835597512733,Oklahoma City Thunder,Non-rookie,4.416666666666667,5,Nick Collison
115,0.0273835597512733,Oklahoma City Thunder,Non-rookie,0.4,5,Royal Ivey
117,0.0273835597512733,Oklahoma City Thunder,Non-rookie,2.2946,5,Nazr Mohammed
119,0.0273835597512733,Oklahoma City Thunder,Non-rookie,1.546736,5,Kendrick Perkins
120,0.0273835597512733,Oklahoma City Thunder,Non-rookie,1.4,5,Nate Robinson
121,0.0273835597512733,Oklahoma City Thunder,Non-rookie,1.0833333333333333,5,Thabo Sefolosha
123,0.0,Atlanta Hawks,Non-rookie,0.3308933333333333,5,Hilton Armstrong
124,0.0,Atlanta Hawks,Non-rookie,0.450727,5,Jason Collins
125,0.0,Atlanta Hawks,Non-rookie,3.6,5,Jamal Crawford
126,0.0,Atlanta Hawks,Non-rookie,3.0,5,Kirk Hinrich
128,0.0,Atlanta Hawks,Non-rookie,5.4415,5,Joe Johnson
129,0.0,Atlanta Hawks,Non-rookie,1.4170833333333333,5,Zaza Pachulia
130,0.0,Atlanta Hawks,Non-rookie,0.35653633333333334,5,Josh Powell
131,0.0,Atlanta Hawks,Non-rookie,3.8666666666666667,5,Josh Smith
133,0.0,Atlanta Hawks,Non-rookie,0.407722,5,Etan Thomas
134,0.0,Atlanta Hawks,Non-rookie,0.249552,5,Damien Wilkins
135,0.0,Atlanta Hawks,Non-rookie,2.2375,5,Marvin Williams
136,-0.781615950778244,Dallas Mavericks,Non-rookie,0.605,5,J.J. Barea
138,-0.781615950778244,Dallas Mavericks,Non-rookie,3.520653333333333,5,Caron Butler
139,-0.781615950778244,Dallas Mavericks,Non-rookie,0.450727,5,Brian Cardinal
140,-0.781615950778244,Dallas Mavericks,Non-rookie,4.2,5,Tyson Chandler
141,-0.781615950778244,Dallas Mavericks,Non-rookie,2.3,5,Brendan Haywood
143,-0.781615950778244,Dallas Mavericks,Non-rookie,2.8701666666666665,5,Jason Kidd
145,-0.781615950778244,Dallas Mavericks,Non-rookie,2.4351666666666665,5,Shawn Marion
146,-0.781615950778244,Dallas Mavericks,Non-rookie,0.12825533333333333,5,Steve Novak
147,-0.781615950778244,Dallas Mavericks,Non-rookie,5.759539333333334,5,Dirk Nowitzki
148,-0.781615950778244,Dallas Mavericks,Non-rookie,0.04495433333333333,5,Sasha Pavlovic
149,-0.781615950778244,Dallas Mavericks,Non-rookie,1.3839286666666666,5,DeShawn Stevenson
150,-0.781615950778244,Dallas Mavericks,Non-rookie,3.55,5,Jason Terry
151,-0.9027477954034001,Portland Trailblazers,Non-rookie,3.748,5,LaMarcus Aldridge
154,-0.9027477954034001,Portland Trailblazers,Non-rookie,3.9166106666666667,5,Marcus Camby
158,-0.9027477954034001,Portland Trailblazers,Non-rookie,2.423088,5,Andre Miller
160,-0.9027477954034001,Portland Trailblazers,Non-rookie,4.506833333333334,5,Brandon Roy
161,-0.9027477954034001,Portland Trailblazers,Non-rookie,3.5,5,Gerald Wallace
163,-1.8462680657178403,Miami Heat,Non-rookie,0.407722,5,Carlos Arroyo
164,-1.8462680657178403,Miami Heat,Non-rookie,4.833333333333333,5,Chris Bosh
166,-1.8462680657178403,Miami Heat,Non-rookie,0.37648966666666667,5,Erick Dampier
167,-1.8462680657178403,Miami Heat,Non-rookie,0.450727,5,Eddie House
168,-1.8462680657178403,Miami Heat,Non-rookie,0.450727,5,Juwan Howard
169,-1.8462680657178403,Miami Heat,Non-rookie,0.450727,5,Zydrunas Ilgauskas
170,-1.8462680657178403,Miami Heat,Non-rookie,4.833333333333333,5,LeBron James
171,-1.8462680657178403,Miami Heat,Non-rookie,0.356503,5,James Jones
172,-1.8462680657178403,Miami Heat,Non-rookie,0.4097516666666667,5,Jamaal Magloire
173,-1.8462680657178403,Miami Heat,Non-rookie,1.6666666666666667,5,Mike Miller
174,-1.8462680657178403,Miami Heat,Non-rookie,4.733333333333333,5,Dwyane Wade
175,-2.25449311294375,Milwaukee Bucks,Non-rookie,3.6666666666666665,5,Andrew Bogut
176,-2.25449311294375,Milwaukee Bucks,Non-rookie,0.450727,5,Earl Boykins
178,-2.25449311294375,Milwaukee Bucks,Non-rookie,1.1666666666666667,5,Carlos Delfino
179,-2.25449311294375,Milwaukee Bucks,Non-rookie,0.6666666666666666,5,Keyon Dooling
181,-2.25449311294375,Milwaukee Bucks,Non-rookie,1.92,5,Drew Gooden
182,-2.25449311294375,Milwaukee Bucks,Non-rookie,0.7735,5,Ersan Ilyasova
184,-2.25449311294375,Milwaukee Bucks,Non-rookie,3.2,5,Corey Maggette
186,-2.25449311294375,Milwaukee Bucks,Non-rookie,2.6666666666666665,5,John Salmons
188,-2.25449311294375,Milwaukee Bucks,Non-rookie,0.09014533333333333,5,Brian Skinner
192,-2.38318862338914,Charlotte Hornets,Non-rookie,0.4097516666666667,5,Kwame Brown
193,-2.38318862338914,Charlotte Hornets,Non-rookie,1.4333333333333333,5,Matt Carroll
196,-2.38318862338914,Charlotte Hornets,Non-rookie,3.0,5,Boris Diaw
197,-2.38318862338914,Charlotte Hornets,Non-rookie,2.1595333333333335,5,DeSagana Diop
