,rating,Team,Type,mu,sd,name
1,6.239155241852651,Golden State Warriors,Rookie,1.2911326666666667,5,Harrison Barnes
3,6.239155241852651,Golden State Warriors,Rookie,0.3157586666666667,5,Ian Clark
5,6.239155241852651,Golden State Warriors,Rookie,0.6695826666666667,5,Festus Ezeli
9,6.239155241852651,Golden State Warriors,Rookie,0.37732,5,Kevon Looney
14,6.239155241852651,Golden State Warriors,Rookie,0.2816863333333333,5,James Michael McAdoo
17,2.7268586515610402,Los Angeles Clippers,Rookie,0.175031,5,Branden Dawson
26,2.7268586515610402,Los Angeles Clippers,Rookie,0.327116,5,Pablo Prigioni
27,2.7268586515610402,Los Angeles Clippers,Rookie,1.0333333333333334,5,Austin Rivers
28,2.7268586515610402,Los Angeles Clippers,Rookie,0.020592,5,Alex Stepheson
30,2.38846342928413,San Antonio Spurs,Rookie,0.38095966666666664,5,Kyle Anderson
39,2.38846342928413,San Antonio Spurs,Rookie,0.4,5,Boban Marjanovic
40,2.38846342928413,San Antonio Spurs,Rookie,0.3157586666666667,5,Ray McCallum
43,2.38846342928413,San Antonio Spurs,Rookie,0.175031,5,Jonathon Simmons
45,0.9002914205478559,Cleveland Cavaliers,Rookie,0.3824266666666667,5,Matthew Dellavedova
52,0.9002914205478559,Cleveland Cavaliers,Rookie,0.43333333333333335,5,Sasha Kaun
54,0.9002914205478559,Cleveland Cavaliers,Rookie,0.05765733333333333,5,Jordan McRae
59,0.0,Atlanta Hawks,Rookie,0.6666666666666666,5,Kent Bazemore
60,0.0,Atlanta Hawks,Rookie,0.43484,5,Tim Hardaway Jr.
65,0.0,Atlanta Hawks,Rookie,0.3157586666666667,5,Mike Muscala
66,0.0,Atlanta Hawks,Rookie,0.175031,5,Lamar Patterson
67,0.0,Atlanta Hawks,Rookie,0.5878,5,Dennis Schroder
68,0.0,Atlanta Hawks,Rookie,1.111111,5,Mike Scott
71,0.0,Atlanta Hawks,Rookie,0.3333333333333333,5,Edy Tavares
73,-0.007954033365553871,Portland Trailblazers,Rookie,0.175031,5,Cliff Alexander
75,-0.007954033365553871,Portland Trailblazers,Rookie,0.175031,5,Pat Connaughton
76,-0.007954033365553871,Portland Trailblazers,Rookie,0.3157586666666667,5,Allen Crabbe
78,-0.007954033365553871,Portland Trailblazers,Rookie,0.2816863333333333,5,Tim Frazier
79,-0.007954033365553871,Portland Trailblazers,Rookie,0.9646863333333333,5,Maurice Harkless
82,-0.007954033365553871,Portland Trailblazers,Rookie,1.0252933333333334,5,Meyers Leonard
83,-0.007954033365553871,Portland Trailblazers,Rookie,1.4120956666666666,5,Damian Lillard
84,-0.007954033365553871,Portland Trailblazers,Rookie,0.84172,5,CJ McCollum
86,-0.007954033365553871,Portland Trailblazers,Rookie,0.47184,5,Mason Plumlee
87,-0.007954033365553871,Portland Trailblazers,Rookie,0.9516466666666666,5,Brian Roberts
89,-0.007954033365553871,Portland Trailblazers,Rookie,0.87924,5,Noah Vonleh
90,-0.007954033365553871,Portland Trailblazers,Rookie,0.175031,5,Luis Montero
91,-0.153245222115501,Memphis Grizzlies,Rookie,0.4682,5,Jordan Adams
100,-0.153245222115501,Memphis Grizzlies,Rookie,0.2816863333333333,5,JaMychal Green
102,-0.153245222115501,Memphis Grizzlies,Rookie,0.41028,5,Jarell Martin
104,-0.153245222115501,Memphis Grizzlies,Rookie,0.27216066666666666,5,Russ Smith
107,-0.153245222115501,Memphis Grizzlies,Rookie,0.010296,5,Briante Weber
108,-0.153245222115501,Memphis Grizzlies,Rookie,0.029862666666666666,5,Xavier Munford
111,-0.161675770812095,Houston Rockets,Rookie,2.1666666666666665,5,Patrick Beverley
113,-0.161675770812095,Houston Rockets,Rookie,0.41424,5,Clint Capela
114,-0.161675770812095,Houston Rockets,Rookie,0.5488,5,Sam Dekker
