rating,Unnamed: 0,Team,Type,mu,sd,name
7.072486751,2612,San Antonio Spurs,Non-rookie,3.333333333,5,Danny Green
7.072486751,2800,San Antonio Spurs,Non-rookie,0.517219667,5,David Lee
7.072486751,5752,San Antonio Spurs,Non-rookie,0.22127,5,Joel Anthony
7.072486751,6303,San Antonio Spurs,Non-rookie,5.879354333,5,Kawhi Leonard
7.072486751,6894,San Antonio Spurs,Non-rookie,6.858335,5,LaMarcus Aldridge
7.072486751,7437,San Antonio Spurs,Non-rookie,4.666666667,5,Manu Ginobili
7.072486751,8780,San Antonio Spurs,Non-rookie,5.166666667,5,Pau Gasol
7.072486751,11057,San Antonio Spurs,Non-rookie,4.815104333,5,Tony Parker
6.502242583,393,Golden State Warriors,Non-rookie,0.661335,5,Anderson Varejao
6.502242583,433,Golden State Warriors,Non-rookie,3.710456,5,Andre Iguodala
6.502242583,2849,Golden State Warriors,Non-rookie,0.517219667,5,David West
6.502242583,3484,Golden State Warriors,Non-rookie,5.110145,5,Draymond Green
6.502242583,5320,Golden State Warriors,Non-rookie,0.467870333,5,JaVale McGee
6.502242583,6547,Golden State Warriors,Non-rookie,8.8467,5,Kevin Durant
6.502242583,6720,Golden State Warriors,Non-rookie,5.554525,5,Klay Thompson
6.502242583,7801,Golden State Warriors,Non-rookie,2.041666667,5,Matt Barnes
6.502242583,10192,Golden State Warriors,Non-rookie,1.927483333,5,Shaun Livingston
6.502242583,10406,Golden State Warriors,Non-rookie,4.037453,5,Stephen Curry
6.502242583,11805,Golden State Warriors,Non-rookie,0.966,5,Zaza Pachulia
4.564593182,3802,Oklahoma City Thunder,Non-rookie,5.715279333,5,Enes Kanter
4.564593182,8495,Oklahoma City Thunder,Non-rookie,1.25,5,Nick Collison
4.564593182,8582,Oklahoma City Thunder,Non-rookie,0.082663667,5,Norris Cole
4.564593182,9272,Oklahoma City Thunder,Non-rookie,0.084225333,5,Reggie Williams
4.564593182,9636,Oklahoma City Thunder,Non-rookie,0.852515,5,Ronnie Price
4.564593182,9753,Oklahoma City Thunder,Non-rookie,8.8467,5,Russell Westbrook
4.564593182,10591,Oklahoma City Thunder,Non-rookie,2.983333333,5,Taj Gibson
3.623897733,506,Cleveland Cavaliers,Non-rookie,3.675675667,5,Andrew Bogut
3.623897733,1776,Cleveland Cavaliers,Non-rookie,2.602323667,5,Channing Frye
3.623897733,2405,Cleveland Cavaliers,Non-rookie,0.008007333,5,Dahntay Jones
3.623897733,3076,Cleveland Cavaliers,Non-rookie,3,5,Deron Williams
3.623897733,3134,Cleveland Cavaliers,Non-rookie,1.532666667,5,Derrick Williams
3.623897733,4687,Cleveland Cavaliers,Non-rookie,3.233333333,5,Iman Shumpert
3.623897733,5021,Cleveland Cavaliers,Non-rookie,0.517219667,5,James Jones
3.623897733,6603,Cleveland Cavaliers,Non-rookie,7.055225,5,Kevin Love
3.623897733,6825,Cleveland Cavaliers,Non-rookie,1.746479,5,Kyle Korver
3.623897733,6858,Cleveland Cavaliers,Non-rookie,5.879354333,5,Kyrie Irving
3.623897733,7006,Cleveland Cavaliers,Non-rookie,0.621849,5,Larry Sanders
3.623897733,7079,Cleveland Cavaliers,Non-rookie,10.32115,5,LeBron James
3.623897733,9336,Cleveland Cavaliers,Non-rookie,0.833333333,5,Richard Jefferson
3.623897733,11219,Cleveland Cavaliers,Non-rookie,5.110145,5,Tristan Thompson
0.540920336,190,Los Angeles Clippers,Non-rookie,0.438482667,5,Alan Anderson
0.540920336,882,Los Angeles Clippers,Non-rookie,3.666666667,5,Austin Rivers
0.540920336,1089,Los Angeles Clippers,Non-rookie,6.713612667,5,Blake Griffin
0.540920336,1277,Los Angeles Clippers,Non-rookie,0.517219667,5,Brandon Bass
0.540920336,2073,Los Angeles Clippers,Non-rookie,7.622942333,5,Chris Paul
0.540920336,2886,Los Angeles Clippers,Non-rookie,7.055225,5,DeAndre Jordan
0.540920336,4932,Los Angeles Clippers,Non-rookie,4.417670667,5,Jamal Crawford
0.540920336,6038,Los Angeles Clippers,Non-rookie,0.170307,5,Jordan Farmar
0.540920336,7261,Los Angeles Clippers,Non-rookie,0.734333333,5,Luc Mbah a Moute
0.540920336,7728,Los Angeles Clippers,Non-rookie,0.467870333,5,Marreese Speights
0.540920336,8828,Los Angeles Clippers,Non-rookie,1.166666667,5,Paul Pierce
0.540920336,9205,Los Angeles Clippers,Non-rookie,0.517219667,5,Raymond Felton
0.540920336,11616,Los Angeles Clippers,Non-rookie,1.876,5,Wesley Johnson
0,3553,Atlanta Hawks,Non-rookie,7.726758333,5,Dwight Howard
0,3946,Atlanta Hawks,Non-rookie,2.8,5,Ersan Ilyasova
0,4134,Atlanta Hawks,Non-rookie,0.024064333,5,Gary Neal
0,5150,Atlanta Hawks,Non-rookie,0.517219667,5,Jarrett Jack
0,6087,Atlanta Hawks,Non-rookie,2.569475667,5,Jose Calderon
0,6492,Atlanta Hawks,Non-rookie,5.243446,5,Kent Bazemore
0,6774,Atlanta Hawks,Non-rookie,1.333333333,5,Kris Humphries
0,8143,Atlanta Hawks,Non-rookie,1.6125,5,Mike Dunleavy
0,8810,Atlanta Hawks,Non-rookie,6.690677667,5,Paul Millsap
0,10736,Atlanta Hawks,Non-rookie,1.283333333,5,Thabo Sefolosha
-0.347019696,2316,Toronto Raptors,Non-rookie,2.443333333,5,Cory Joseph
-0.347019696,2953,Toronto Raptors,Non-rookie,8.8467,5,DeMar DeRozan
-0.347019696,2970,Toronto Raptors,Non-rookie,4.733333333,5,DeMarre Carroll
-0.347019696,5995,Toronto Raptors,Non-rookie,4.794007333,5,Jonas Valanciunas
-0.347019696,6838,Toronto Raptors,Non-rookie,4,5,Kyle Lowry
-0.347019696,8762,Toronto Raptors,Non-rookie,2.016666667,5,Patrick Patterson
-0.347019696,10077,Toronto Raptors,Non-rookie,4.083333333,5,Serge Ibaka
-1.028932005,164,Boston Celtics,Non-rookie,8.8467,5,Al Horford
-1.028932005,377,Boston Celtics,Non-rookie,4,5,Amir Johnson
-1.028932005,889,Boston Celtics,Non-rookie,2.756554333,5,Avery Bradley
-1.028932005,4218,Boston Celtics,Non-rookie,0.470199333,5,Gerald Green
-1.028932005,4732,Boston Celtics,Non-rookie,2.195710667,5,Isaiah Thomas
-1.028932005,4852,Boston Celtics,Non-rookie,2.095469333,5,Jae Crowder
-1.028932005,5989,Boston Celtics,Non-rookie,1.666666667,5,Jonas Jerebko
-1.028932005,11288,Boston Celtics,Non-rookie,2.666666667,5,Tyler Zeller
-1.394684167,3133,Miami Heat,Non-rookie,1.532666667,5,Derrick Williams
-1.394684167,3284,Miami Heat,Non-rookie,0.966,5,Dion Waiters
-1.394684167,4315,Miami Heat,Non-rookie,5.296666667,5,Goran Dragic
-1.394684167,4540,Miami Heat,Non-rookie,7.37225,5,Hassan Whiteside
-1.394684167,5010,Miami Heat,Non-rookie,1.333333333,5,James Johnson
-1.394684167,6135,Miami Heat,Non-rookie,1.927483333,5,Josh McRoberts
-1.394684167,7298,Miami Heat,Non-rookie,0.409,5,Luke Babbitt
-1.394684167,11375,Miami Heat,Non-rookie,1.333333333,5,Udonis Haslem
-1.394684167,11601,Miami Heat,Non-rookie,2,5,Wayne Ellington
-1.572589004,35,Indiana Pacers,Non-rookie,0.9,5,Aaron Brooks
-1.572589004,175,Indiana Pacers,Non-rookie,3.410059667,5,Al Jefferson
-1.572589004,5421,Indiana Pacers,Non-rookie,2.933333333,5,Jeff Teague
-1.572589004,6649,Indiana Pacers,Non-rookie,0.6,5,Kevin Seraphin
-1.572589004,6917,Indiana Pacers,Non-rookie,1.333333333,5,Lance Stephenson
-1.572589004,7040,Indiana Pacers,Non-rookie,1.333333333,5,Lavoy Allen
-1.572589004,8312,Indiana Pacers,Non-rookie,3.59,5,Monta Ellis
-1.572589004,8792,Indiana Pacers,Non-rookie,6.104844,5,Paul George
-1.572589004,9547,Indiana Pacers,Non-rookie,2.333333333,5,Rodney Stuckey
-1.572589004,10746,Indiana Pacers,Non-rookie,4.717884,5,Thaddeus Young
-1.61856767,215,Utah Jazz,Non-rookie,3.384831667,5,Alec Burks
-1.61856767,1212,Utah Jazz,Non-rookie,2.333333333,5,Boris Diaw
-1.61856767,3105,Utah Jazz,Non-rookie,3.683333333,5,Derrick Favors
-1.61856767,4173,Utah Jazz,Non-rookie,2.666666667,5,George Hill
-1.61856767,4327,Utah Jazz,Non-rookie,5.357713333,5,Gordon Hayward
-1.61856767,5706,Utah Jazz,Non-rookie,3.666666667,5,Joe Johnson
-1.61856767,10271,Utah Jazz,Non-rookie,0.811111333,5,Shelvin Mack
-1.739854418,1413,Charlotte Hornets,Non-rookie,0.350320333,5,Brian Roberts
-1.739854418,1909,Charlotte Hornets,Non-rookie,0.517219667,5,Chris Andersen
-1.739854418,5463,Charlotte Hornets,Non-rookie,2.170542667,5,Jeremy Lamb
-1.739854418,7480,Charlotte Hornets,Non-rookie,2.111111,5,Marco Belinelli
-1.739854418,7775,Charlotte Hornets,Non-rookie,4.083333333,5,Marvin Williams
-1.739854418,8533,Charlotte Hornets,Non-rookie,6.956522,5,Nicolas Batum
