Team,rating
Golden State Warriors,13.43031611
San Antonio Spurs,8.154010436
Houston Rockets,6.894414691
Cleveland Cavaliers,5.695697826
Los Angeles Clippers,5.382403139
Utah Jazz,4.969595181
Toronto Raptors ,3.979408403
Boston Celtics,2.709757135
Washington Wizards,2.37472787
Oklahoma City Thunder,2.082185522
Memphis Grizzlies,1.934503325
Miami Heat,1.904907009
Denver Nuggets,1.813798095
Charlotte Hornets,1.065368971
Milwaukee Bucks,0.860694254
Chicago Bulls,0.824932591
Portland Trail Blazers,0.655602464
Indiana Pacers,0.567018304
Minnesota Timberwolves,0.487595368
Atlanta Hawks,0
Detroit Pistons,-0.16488799
New Orleans Pelicans,-0.562154828
Dallas Mavericks,-1.412858355
Sacramento Kings,-2.167864662
New York Knicks,-2.742011328
Phoenix Suns,-4.014177796
Philadelphia 76ers,-4.722418349
Los Angeles Lakers,-5.179052184
Orlando Magic,-5.497607056
Brooklyn Nets,-5.629013734
