rating,Team,mu,sd,name,coefs,index,player_id,finalpriors,finalse
-13.21905832,Houston Rockets,8.199831667,5,Chris Paul,3.519129603,358,101108,3.120149665,0.570584958
-13.21905832,Houston Rockets,0.778173333,5,Clint Capela,-0.888388905,432,203991,-0.73025263,0.458235033
-13.21905832,Houston Rockets,4.31434,5,Eric Gordon,4.910092215,75,201569,1.104332531,0.428261046
-13.21905832,Houston Rockets,0.066666667,5,Isaiah Canaan,-6.209009575,433,203477,-1.099386694,0.482995734
-13.21905832,Houston Rockets,9.433133,5,James Harden,8.733328601,207,201935,3.759994033,0.638908518
-13.21905832,Houston Rockets,0.705651667,5,Luc Mbah a Moute,-5.932944315,209,201601,-0.76787732,0.460520835
-13.21905832,Houston Rockets,6.526151667,5,Ryan Anderson,-1.816492879,236,201583,2.251834118,0.492274534
-13.21905832,Houston Rockets,2.473637333,5,Trevor Ariza,-3.092558021,359,2772,0.14936459,0.42272233
-13.21905832,Houston Rockets,0.490460667,5,Troy Williams,-1.49669163,237,1627786,-0.879519743,0.467631136
-13.21905832,Houston Rockets,0.271871667,5,Zhou Qi,-0.435868456,370,1627753,-0.99292507,0.475337747
-12.68894695,Golden State Warriors,4.938271667,5,Andre Iguodala,-1.374854,102,2738,1.427981826,0.421122593
-12.68894695,Golden State Warriors,0.437537,5,Damian Jones,2.29244699,202,1627745,-0.907027186,0.449109983
-12.68894695,Golden State Warriors,5.466666667,5,Draymond Green,2.534582666,20,203110,1.702116423,0.436206008
-12.68894695,Golden State Warriors,0.705651667,5,JaVale McGee,3.457613528,88,201580,-0.767927637,0.439892506
-12.68894695,Golden State Warriors,0.271871667,5,Jordan Bell,0.745723479,22,1628395,-0.992975387,0.455181298
-12.68894695,Golden State Warriors,8.333333333,5,Kevin Durant,1.804896411,403,201142,3.189360839,0.564149926
-12.68894695,Golden State Warriors,0.490460667,5,Kevon Looney,3.87527702,500,1626172,-0.87957006,0.44722992
-12.68894695,Golden State Warriors,5.94205,5,Klay Thompson,1.778056212,80,202691,1.94874824,0.452487905
-12.68894695,Golden State Warriors,1.730666667,5,Nick Young,-2.690505279,276,201156,-0.236143508,0.412376476
-12.68894695,Golden State Warriors,0.702156667,5,Omri Casspi,2.582217173,218,201956,-0.769740864,0.440007658
-12.68894695,Golden State Warriors,0.437537,5,Patrick McCaw,-2.049389372,286,1627775,-0.907027186,0.449109983
-12.68894695,Golden State Warriors,2.564102667,5,Shaun Livingston,-2.37554796,103,2733,0.196248249,0.400237919
-12.68894695,Golden State Warriors,11.56085,5,Stephen Curry,10.2252196,317,201939,4.863816469,0.761081404
-12.68894695,Golden State Warriors,1.1592,5,Zaza Pachulia,-1.717101597,292,2585,-0.532623953,0.426132177
-9.70057401,Philadelphia 76ers,3.666666667,5,Amir Johnson,-3.053483882,9,101161,0.767981629,0.2914225
-9.70057401,Philadelphia 76ers,2.05628,5,Ben Simmons,-1.943207998,381,1627732,-0.067496945,0.294129469
-9.70057401,Philadelphia 76ers,0.80752,5,Dario Saric,3.551428648,494,203967,-0.715361365,0.330087164
-9.70057401,Philadelphia 76ers,0.48864,5,Furkan Korkmaz,1.551903435,214,1627788,-0.880798283,0.343015472
-9.70057401,Philadelphia 76ers,1.66504,5,Jahlil Okafor,-1.665633528,497,1626143,-0.270474679,0.30257352
-9.70057401,Philadelphia 76ers,3,5,Jerryd Bayless,1.438048069,153,201573,0.422110834,0.286085112
-9.70057401,Philadelphia 76ers,2.033422,5,Joel Embiid,7.2960834,190,203954,-0.079355817,0.294544538
-9.70057401,Philadelphia 76ers,0.52648,5,Justin Anderson,-0.544061967,179,1626147,-0.861166657,0.34141439
-9.70057401,Philadelphia 76ers,2.34208,5,Markelle Fultz,-4.95090715,213,1628365,0.080777865,0.289795247
-9.70057401,Philadelphia 76ers,1.269048667,5,Nik Stauskas,-5.223402556,107,203917,-0.475917435,0.313851787
-9.70057401,Philadelphia 76ers,0.490460667,5,Richaun Holmes,-0.500037423,48,1626158,-0.87985371,0.342938039
-9.70057401,Philadelphia 76ers,5.566034333,5,Robert Covington,6.690148914,212,203496,1.753385334,0.350243771
-9.70057401,Philadelphia 76ers,0.490460667,5,T.J. McConnell,-12.6039306,11,204456,-0.87985371,0.342938039
-9.70057401,Philadelphia 76ers,0.4622,5,Timothe Luwawu-Cabarrot,-1.704618126,306,1627789,-0.894515519,0.344144451
