rating,Team,mu,sd,name,coefs,index,player_id,finalpriors,finalse
-13.21905832,Houston Rockets,0.508101667,5,Bobby Brown,-2.826782565,387,201628,-1.091578987,0.703338853
-13.21905832,Houston Rockets,8.199831667,5,Chris Paul,4.8505246,435,101108,2.979268716,0.690957665
-13.21905832,Houston Rockets,4.31434,5,Eric Gordon,5.520604807,19,201569,0.922872453,0.576496537
-13.21905832,Houston Rockets,9.433133,5,James Harden,8.102053337,16,201935,3.631993383,0.767542183
-13.21905832,Houston Rockets,0.705651667,5,Luc Mbah a Moute,0.160668986,14,201601,-0.98702566,0.691987303
-13.21905832,Houston Rockets,6.526151667,5,Ryan Anderson,0.920300616,149,201583,2.093473663,0.613543163
-13.21905832,Houston Rockets,2.473637333,5,Trevor Ariza,-3.928961887,369,2772,-0.051319338,0.610926265
-12.68894695,Golden State Warriors,4.938271667,5,Andre Iguodala,-1.185310332,198,2738,1.229056808,0.547846451
-12.68894695,Golden State Warriors,0.776217333,5,David West,-6.396648041,37,2561,-0.973710233,0.659548857
-12.68894695,Golden State Warriors,5.466666667,5,Draymond Green,1.122723521,199,203110,1.508709834,0.555685927
-12.68894695,Golden State Warriors,0.705651667,5,JaVale McGee,-0.311422859,204,201580,-1.011057108,0.663624396
-12.68894695,Golden State Warriors,8.333333333,5,Kevin Durant,6.219605682,391,201142,3.025893019,0.675966993
-12.68894695,Golden State Warriors,5.94205,5,Klay Thompson,-1.163799904,157,202691,1.760306439,0.567038194
-12.68894695,Golden State Warriors,1.730666667,5,Nick Young,0.262481359,35,201156,-0.468567972,0.610114121
-12.68894695,Golden State Warriors,0.702156667,5,Omri Casspi,-1.966010933,36,201956,-1.012906836,0.663827628
-12.68894695,Golden State Warriors,2.564102667,5,Shaun Livingston,-2.498496359,293,2733,-0.027472012,0.576998647
-12.68894695,Golden State Warriors,11.56085,5,Stephen Curry,8.730764244,290,201939,4.734056048,0.910091453
-12.68894695,Golden State Warriors,1.1592,5,Zaza Pachulia,-1.482219981,455,2585,-0.771016676,0.638391276
-9.70057401,Philadelphia 76ers,3.666666667,5,Amir Johnson,-2.609948759,93,101161,0.420588532,0.386814514
-9.70057401,Philadelphia 76ers,3,5,Jerryd Bayless,0.646191876,40,201573,0.067755233,0.401228427
-9.70057401,Philadelphia 76ers,5.566034333,5,Robert Covington,4.369223219,38,203496,1.425828771,0.409814245
-9.675652863,Utah Jazz,3.615168667,5,Alec Burks,-10.39537192,113,202692,0.392203472,0.386299453
-9.675652863,Utah Jazz,4,5,Derrick Favors,-1.137107826,282,202324,0.595875435,0.38273205
-9.675652863,Utah Jazz,1.066666667,5,Ekpe Udoh,3.623603865,406,202327,-0.956591079,0.495111752
-9.675652863,Utah Jazz,4.712121333,5,Joe Ingles,3.967437037,480,204060,0.972765614,0.386691876
-9.675652863,Utah Jazz,3.501666667,5,Joe Johnson,0.541396889,499,2207,0.332132544,0.388103871
-9.675652863,Utah Jazz,1.333333333,5,Jonas Jerebko,-2.391235733,323,201973,-0.81545776,0.478301497
-9.675652863,Utah Jazz,4.758333333,5,Ricky Rubio,3.089646521,109,201937,0.997223312,0.38741806
-9.675652863,Utah Jazz,7.324906333,5,Rudy Gobert,1.203571778,143,203497,2.35558194,0.501048709
-9.675652863,Utah Jazz,1.75,5,Thabo Sefolosha,-4.455827307,386,200757,-0.594936948,0.454054518
-8.526489449,Oklahoma City Thunder,1.908333333,5,Alex Abrines,5.800316078,103,203518,-0.563233867,0.396667363
-8.526489449,Oklahoma City Thunder,3.086419667,5,Andre Roberson,1.054220732,129,203460,0.060268264,0.345425682
-8.526489449,Oklahoma City Thunder,8.74792,5,Carmelo Anthony,10.38906667,102,2546,3.056617022,0.582459029
-8.526489449,Oklahoma City Thunder,1.5555,5,Kyle Singler,-1.293948115,468,202713,-0.74997089,0.417553491
-8.526489449,Oklahoma City Thunder,0.776217333,5,Nick Collison,-2.006443122,442,2555,-1.162406201,0.470197278
-8.526489449,Oklahoma City Thunder,1.730666667,5,Patrick Patterson,-10.21654114,510,202335,-0.657263941,0.406920839
-8.526489449,Oklahoma City Thunder,6.502986,5,Paul George,-4.728312272,416,202331,1.868485819,0.415072592
-8.526489449,Oklahoma City Thunder,0.776217333,5,Raymond Felton,-0.229702983,234,101109,-1.162406201,0.470197278
-8.526489449,Oklahoma City Thunder,9.510202667,5,Russell Westbrook,6.133106676,130,201566,3.460055084,0.647915119
-8.526489449,Oklahoma City Thunder,7.490636667,5,Steven Adams,6.070395456,100,203500,2.391199883,0.482525942
-8.267971906,Boston Celtics,9.244801667,5,Al Horford,1.971780364,418,201143,3.307872287,0.621463589
-8.267971906,Boston Celtics,1.442666667,5,Aron Baynes,-9.140388239,324,203382,-0.821407257,0.415309058
-8.267971906,Boston Celtics,9.9093,5,Gordon Hayward,0.569601533,538,202330,3.659557996,0.680387438
-8.267971906,Boston Celtics,6.289541667,5,Kyrie Irving,6.052479082,481,202681,1.743801085,0.395352467
-8.267971906,Boston Celtics,1.666666667,5,Marcus Morris,-1.382766102,118,202694,-0.702855269,0.401204851
-8.267971906,Boston Celtics,0.508101667,5,Shane Larkin,0.381259293,135,203499,-1.316025735,0.481444918
-8.012503388,San Antonio Spurs,3.333333333,5,Danny Green,4.247937158,508,201980,0.167646867,0.318994254
-8.012503388,San Antonio Spurs,6.289541667,5,Kawhi Leonard,7.469447441,79,202695,1.732219975,0.389094013
-8.012503388,San Antonio Spurs,7.15367,5,LaMarcus Aldridge,5.333597095,156,200746,2.189559851,0.447475035
-8.012503388,San Antonio Spurs,0.833333333,5,Manu Ginobili,1.001509283,428,1938,-1.155478003,0.449033303
-8.012503388,San Antonio Spurs,3.571428667,5,Patty Mills,1.011038678,147,201988,0.293658811,0.314682506
-8.012503388,San Antonio Spurs,5.333333333,5,Pau Gasol,-3.821007637,477,2200,1.226146764,0.339781049
-8.012503388,San Antonio Spurs,2.802,5,Rudy Gay,3.024978458,223,200752,-0.113561271,0.334822428
-8.012503388,San Antonio Spurs,5.151042,5,Tony Parker,-3.894915022,345,2225,1.129669085,0.33280209
-7.507833506,Minnesota Timberwolves,0.705651667,5,Aaron Brooks,-5.138802222,307,201166,-1.245931631,0.443944698
-7.507833506,Minnesota Timberwolves,2.524774,5,Andrew Wiggins,-3.209102887,312,203952,-0.28316123,0.3292134
-7.507833506,Minnesota Timberwolves,2.433333333,5,Cole Aldrich,-3.909237193,502,202332,-0.331556199,0.333462884
-7.507833506,Minnesota Timberwolves,4.70412,5,Gorgui Dieng,-7.691318774,311,203476,0.870257527,0.30451523
-7.507833506,Minnesota Timberwolves,3.647587333,5,Jamal Crawford,2.357181606,410,2037,0.311087668,0.296615982
-7.507833506,Minnesota Timberwolves,6.333333333,5,Jeff Teague,7.239250779,27,201952,1.732518599,0.381516849
-7.507833506,Minnesota Timberwolves,6.43369,5,Jimmy Butler,4.025558796,479,202710,1.78563236,0.388090319
-7.507833506,Minnesota Timberwolves,2.07228,5,Karl-Anthony Towns,3.692724292,29,1626157,-0.522643656,0.352158424
-7.507833506,Minnesota Timberwolves,0.525743333,5,Shabazz Muhammad,-3.655842896,270,203498,-1.341148107,0.457820609
-7.507833506,Minnesota Timberwolves,4.666666667,5,Taj Gibson,0.102629818,90,201959,0.850435353,0.303585704
-7.476474607,Portland Trail Blazers,2.439678333,5,Al-Farouq Aminu,7.716391423,463,202329,-0.329619695,0.332197324
-7.476474607,Portland Trail Blazers,8.717685667,5,Damian Lillard,7.915807696,122,203081,2.993015361,0.567539903
-7.476474607,Portland Trail Blazers,2.117510333,5,Ed Davis,-5.063954717,303,202334,-0.500127093,0.348713859
-7.476474607,Portland Trail Blazers,5.710382667,5,Evan Turner,-0.038754784,326,202323,1.401400404,0.34406968
-7.476474607,Portland Trail Blazers,3.387640667,5,Maurice Harkless,-2.477722322,327,203090,0.172089321,0.299640499
-7.476474607,Portland Trail Blazers,3.301498333,5,Meyers Leonard,-2.373206391,124,203086,0.126498495,0.30146588
-7.100591941,New Orleans Pelicans,7.925168667,5,Anthony Davis,5.381461205,62,203076,2.556535955,0.496920242
-7.100591941,New Orleans Pelicans,0.766666667,5,Dante Cunningham,-6.099927255,63,201967,-1.232100857,0.429075597
-7.100591941,New Orleans Pelicans,0.7,5,Darius Miller,-5.38473835,296,203121,-1.267384187,0.434200244
-7.100591941,New Orleans Pelicans,6.021283333,5,DeMarcus Cousins,9.935191988,297,202326,1.548904741,0.355226101
-7.100591941,New Orleans Pelicans,0.083333333,5,Jordan Crawford,-1.238604944,274,202348,-1.593754989,0.483563655
-7.100591941,New Orleans Pelicans,8.562222333,5,Jrue Holiday,7.436850254,507,201950,2.893696575,0.551511467
-7.100591941,New Orleans Pelicans,3.531835,5,Omer Asik,-4.047849855,172,201600,0.23136434,0.286427634
-7.100591941,New Orleans Pelicans,1.1,5,Rajon Rondo,-3.516790574,476,200765,-1.055684208,0.404193647
-7.100591941,New Orleans Pelicans,4.078845,5,Solomon Hill,-2.893633486,245,203524,0.520869354,0.284062151
-7.100591941,New Orleans Pelicans,0.705651667,5,Tony Allen,-1.386439355,284,2754,-1.264393043,0.433764017
-6.91526888,Indiana Pacers,3.256607,5,Al Jefferson,-1.973212858,475,2744,0.077298717,0.28698936
-6.91526888,Indiana Pacers,3.5,5,Bojan Bogdanovic,-1.498055125,170,202711,0.206114449,0.282282095
-6.91526888,Indiana Pacers,2.543333333,5,Cory Joseph,-3.865759661,169,202709,-0.300201335,0.311948625
-6.91526888,Indiana Pacers,0.705651667,5,Damien Wilkins,-0.852361105,277,2863,-1.272794261,0.429623696
-6.91526888,Indiana Pacers,3.333333333,5,Darren Collison,6.387595449,12,201954,0.117906125,0.285280858
-6.91526888,Indiana Pacers,1.393333333,5,Lance Stephenson,-0.886756572,339,202362,-0.908838775,0.379073977
-6.91526888,Indiana Pacers,4.932116,5,Thaddeus Young,-0.628089211,0,201152,0.964061768,0.298108948
-6.91526888,Indiana Pacers,7,5,Victor Oladipo,9.613063744,1,203506,2.058489268,0.421186059
-6.899803629,Denver Nuggets,2.488304,5,Darrell Arthur,-0.88280655,424,201589,-0.33002669,0.314119313
-6.899803629,Denver Nuggets,1.578683333,5,Jameer Nelson,-7.247404026,301,2749,-0.811443381,0.36619931
-6.899803629,Denver Nuggets,4.307116,5,Kenneth Faried,-0.995160843,313,202702,0.632579467,0.281836324
-6.899803629,Denver Nuggets,4.680365333,5,Mason Plumlee,-7.768498585,471,203486,0.830121657,0.289813698
-6.899803629,Denver Nuggets,10.423077,5,Paul Millsap,2.884274343,489,200794,3.869451509,0.720692251
-6.899803629,Denver Nuggets,1.177777667,5,Will Barton,4.286903762,33,203115,-1.023622684,0.393930799
-6.899803629,Denver Nuggets,4.005618,5,Wilson Chandler,-7.77543657,121,201163,0.473011666,0.279040581
-6.065728513,Washington Wizards,7.925168667,5,Bradley Beal,3.288229817,57,203078,2.50962267,0.4945358
-6.065728513,Washington Wizards,5.553880333,5,Ian Mahinmi,-0.488784364,73,101133,1.254618442,0.318147162
-6.065728513,Washington Wizards,1.741666667,5,Jason Smith,-6.830056658,254,201160,-0.762995443,0.340443385
-6.065728513,Washington Wizards,1.096666667,5,Jodie Meeks,-3.076912456,485,201975,-1.10436166,0.385075053
-6.065728513,Washington Wizards,6.021283333,5,John Wall,5.649190039,392,202322,1.501991456,0.346725833
-6.065728513,Washington Wizards,4.260869667,5,Marcin Gortat,-2.594445396,279,101162,0.570292614,0.26893167
-6.065728513,Washington Wizards,2.666666667,5,Markieff Morris,-7.28155908,55,202693,-0.273439241,0.290802185
-6.065728513,Washington Wizards,0.569846,5,Mike Scott,1.059685167,213,203118,-1.38318147,0.425618061
-5.484227899,Los Angeles Clippers,3.941666667,5,Austin Rivers,0.807119444,232,203085,0.374993376,0.26303425
-5.484227899,Los Angeles Clippers,9.837633333,5,Blake Griffin,4.258515979,72,201933,3.495433428,0.671033422
-5.484227899,Los Angeles Clippers,6.853199667,5,Danilo Gallinari,-1.031592604,180,201568,1.915922065,0.408679541
-5.484227899,Los Angeles Clippers,7.54745,5,DeAndre Jordan,2.509292874,513,201599,2.283354018,0.465165876
-5.484227899,Los Angeles Clippers,2.333333333,5,Lou Williams,2.933650332,289,101150,-0.476216958,0.301232391
-5.484227899,Los Angeles Clippers,2,5,Milos Teodosic,-2.062912208,318,1628462,-0.652633607,0.319278367
-5.484227899,Los Angeles Clippers,1.837838,5,Patrick Beverley,0.189135622,454,201976,-0.738457837,0.328970806
-5.484227899,Los Angeles Clippers,1.96042,5,Wesley Johnson,-3.38825694,389,202325,-0.67358132,0.321592575
-5.37038963,Charlotte Hornets,4.194756667,5,Cody Zeller,3.07207469,189,203469,0.503780634,0.266150311
-5.37038963,Charlotte Hornets,7.833333333,5,Dwight Howard,-2.183059139,51,2730,2.429497146,0.490426476
-5.37038963,Charlotte Hornets,2.333333333,5,Jeremy Lamb,4.688295757,53,203087,-0.481377569,0.300824003
-5.37038963,Charlotte Hornets,0.508101667,5,Julyan Stone,1.055285401,419,202933,-1.447381333,0.423967059
-5.37038963,Charlotte Hornets,4,5,Kemba Walker,10.26419886,50,202689,0.400705679,0.263661445
-5.37038963,Charlotte Hornets,4.389583333,5,Marvin Williams,-0.999907005,413,101107,0.606892637,0.270082216
-5.37038963,Charlotte Hornets,0.9,5,Michael Carter-Williams,-1.334039355,506,203487,-1.239969161,0.39337384
-5.37038963,Charlotte Hornets,4.333333333,5,Michael Kidd-Gilchrist,-0.833412405,228,203077,0.577122328,0.268802166
-5.37038963,Charlotte Hornets,7.478261,5,Nicolas Batum,-0.549326856,361,201587,2.241575133,0.460255788
-5.129756323,Miami Heat,3.666666667,5,Dion Waiters,-2.126047891,285,203079,0.213380441,0.263704128
-5.129756323,Miami Heat,5.666816667,5,Goran Dragic,5.900101111,83,201609,1.271959725,0.328097118
-5.129756323,Miami Heat,7.925168667,5,Hassan Whiteside,-1.297057332,217,202355,2.467192404,0.500685522
-5.129756323,Miami Heat,4.651333333,5,James Johnson,-0.247584241,495,201949,0.734515223,0.279109203
-5.129756323,Miami Heat,3.535723,5,Kelly Olynyk,4.87680355,405,203482,0.144078512,0.264474933
-5.129756323,Miami Heat,1.96042,5,Tyler Johnson,2.281766645,262,204020,-0.689650519,0.320618697
-5.129756323,Miami Heat,0.776217333,5,Udonis Haslem,-2.550584504,403,2617,-1.316389719,0.401836796
-5.129756323,Miami Heat,2.09,5,Wayne Ellington,2.93453736,85,201961,-0.621070311,0.313282784
-5.107920036,Milwaukee Bucks,0.525743333,5,DeAndre Liggins,-6.03408048,164,202732,-1.449942971,0.421380525
-5.107920036,Milwaukee Bucks,4.833333333,5,Eric Bledsoe,4.762684236,24,202339,0.829848813,0.285952113
-5.107920036,Milwaukee Bucks,7.490636667,5,Giannis Antetokounmpo,0.75321236,433,203507,2.236226465,0.463833454
-5.107920036,Milwaukee Bucks,2.260797333,5,Jabari Parker,-7.96006342,352,203953,-0.531665732,0.304237501
-5.107920036,Milwaukee Bucks,0.776217333,5,Jason Terry,3.293540483,150,1891,-1.31737962,0.401775792
-5.107920036,Milwaukee Bucks,3.807512,5,John Henson,2.250638806,400,203089,0.286932926,0.263765148
-5.107920036,Milwaukee Bucks,4.7,5,Khris Middleton,3.91325507,173,203114,0.759282153,0.280973042
-5.107920036,Milwaukee Bucks,3.2025,5,Matthew Dellavedova,0.528918565,25,203521,-0.033269644,0.269516857
-5.107920036,Milwaukee Bucks,3.5,5,Mirza Teletovic,3.07257348,288,203141,0.124182216,0.264914527
-5.107920036,Milwaukee Bucks,3.273809667,5,Tony Snell,-1.770057643,210,203503,0.004470994,0.268108257
-5.049265225,Detroit Pistons,7.925168667,5,Andre Drummond,-3.476352064,139,203083,2.463543515,0.501576132
-5.049265225,Detroit Pistons,1.096666667,5,Anthony Tolliver,-2.290586659,140,201229,-1.150440815,0.377629407
-5.049265225,Detroit Pistons,2.936329667,5,Avery Bradley,-0.331848772,91,202340,-0.176799267,0.276624817
-5.049265225,Detroit Pistons,2.333333333,5,Boban Marjanovic,6.088964032,159,1626246,-0.495935046,0.300710554
-5.049265225,Detroit Pistons,2,5,Ish Smith,0.667964702,484,202397,-0.672351695,0.318369979
-5.049265225,Detroit Pistons,3.499106333,5,Jon Leuer,-2.179230577,276,202720,0.121050254,0.265265584
-5.049265225,Detroit Pistons,1.8,5,Josh Smith,-3.250123837,456,2746,-0.778201685,0.330194266
-5.049265225,Detroit Pistons,2.222222333,5,Langston Galloway,0.574879686,138,204038,-0.554740537,0.306291145
-5.049265225,Detroit Pistons,0.833333333,5,Reggie Bullock,0.245639898,92,203493,-1.289809968,0.397268351
-5.049265225,Detroit Pistons,5.333333333,5,Reggie Jackson,10.19988342,256,202704,1.091814799,0.309879422
-5.049265225,Detroit Pistons,5.333333333,5,Tobias Harris,4.061369692,146,202699,1.091814799,0.309879422
-3.900598636,Los Angeles Lakers,0.776217333,5,Andrew Bogut,-0.136732997,294,101106,-1.372110913,0.406641254
-3.900598636,Los Angeles Lakers,7.54745,5,Brook Lopez,0.255920758,46,201572,2.211563625,0.488342403
-3.900598636,Los Angeles Lakers,2.526455333,5,Corey Brewer,-6.191113396,366,201147,-0.445797542,0.304746111
-3.900598636,Los Angeles Lakers,3.854166667,5,Jordan Clarkson,1.2394471,248,203903,0.256893613,0.283513711
-3.900598636,Los Angeles Lakers,5.915298,5,Kentavious Caldwell-Pope,-0.917524447,158,203484,1.347747264,0.365550438
-3.900598636,Los Angeles Lakers,5.73,5,Luol Deng,1.761128843,453,2736,1.249678307,0.353872173
-2.634309708,Dallas Mavericks,1.467515333,5,Devin Harris,4.264047536,260,2734,-1.06364594,0.385828308
-2.634309708,Dallas Mavericks,1.666666667,5,Dirk Nowitzki,-0.22813839,430,1717,-0.958245107,0.375136935
-2.634309708,Dallas Mavericks,3.001041667,5,Dwight Powell,-2.923317102,68,203939,-0.252027207,0.327865008
-2.634309708,Dallas Mavericks,7.704001333,5,Harrison Barnes,-2.475128861,165,203084,2.237013952,0.534450346
-2.634309708,Dallas Mavericks,2.007058333,5,Josh McRoberts,0.076427715,512,201177,-0.778092835,0.358792219
-2.634309708,Dallas Mavericks,1.395866333,5,Nerlens Noel,-2.06748149,219,203457,-1.10156617,0.389861861
