,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,1.814,0.429,1.012,2.621,0.008,0.006,2595.0,1504.0,1.0
x[0],-0.752,1.133,-2.904,1.287,0.018,0.023,3847.0,1200.0,1.0
x[1],0.352,1.131,-1.875,2.383,0.018,0.029,4080.0,1250.0,1.0
x[2],-1.328,1.21,-3.496,0.858,0.02,0.02,3631.0,1373.0,1.0
x[3],-1.944,1.362,-4.477,0.706,0.023,0.021,3691.0,1163.0,1.0
x[4],2.108,1.732,-1.005,5.53,0.03,0.03,3399.0,1370.0,1.0
x[5],-0.937,1.695,-3.91,2.365,0.032,0.038,2883.0,1319.0,1.0
x[6],-1.691,1.447,-4.366,0.941,0.027,0.026,2867.0,1222.0,1.0
x[7],-2.687,1.477,-5.414,0.069,0.024,0.019,3707.0,1399.0,1.0
x[8],-0.381,1.613,-3.477,2.627,0.024,0.043,4631.0,1344.0,1.0
x[9],-0.984,1.461,-3.649,1.743,0.027,0.029,2920.0,1408.0,1.0
x[10],2.376,1.189,0.095,4.573,0.02,0.016,3506.0,1599.0,1.0
x[11],-3.133,1.451,-5.657,-0.232,0.024,0.02,3555.0,1447.0,1.0
x[12],0.762,1.434,-1.774,3.581,0.028,0.036,2750.0,916.0,1.0
x[13],2.156,1.849,-1.312,5.561,0.031,0.032,3528.0,1630.0,1.0
x[14],-1.263,1.644,-4.587,1.651,0.026,0.032,3877.0,1312.0,1.0
x[15],0.325,0.923,-1.429,2.005,0.014,0.021,4162.0,1395.0,1.0
x[16],-1.63,1.707,-4.757,1.576,0.029,0.034,3549.0,1355.0,1.01
x[17],-0.935,1.362,-3.517,1.507,0.024,0.026,3321.0,1454.0,1.0
x[18],-0.521,1.268,-2.761,1.973,0.022,0.03,3324.0,1322.0,1.0
x[19],-1.6,1.777,-4.896,1.625,0.032,0.029,3107.0,1256.0,1.0
x[20],1.677,1.774,-1.675,5.023,0.029,0.033,3798.0,1530.0,1.0
x[21],-0.692,1.536,-3.623,2.084,0.028,0.035,2907.0,1395.0,1.0
x[22],-0.599,1.472,-3.108,2.195,0.025,0.035,3359.0,1392.0,1.0
x[23],0.885,1.028,-1.095,2.782,0.016,0.019,4160.0,1531.0,1.0
x[24],-0.912,2.159,-4.973,3.157,0.033,0.047,4271.0,1530.0,1.0
x[25],-0.693,1.47,-3.462,2.07,0.026,0.036,3350.0,1223.0,1.0
x[26],-0.456,1.096,-2.495,1.549,0.017,0.025,4150.0,1445.0,1.0
x[27],-0.039,0.92,-1.828,1.593,0.016,0.024,3438.0,1299.0,1.0
x[28],3.83,1.68,0.716,6.935,0.027,0.022,3812.0,1580.0,1.0
x[29],0.253,1.098,-1.767,2.282,0.018,0.029,3786.0,1254.0,1.0
x[30],4.528,1.691,1.322,7.548,0.029,0.021,3451.0,1393.0,1.0
