,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,1.303,1.213,-0.819,3.695,0.029,0.024,1700.0,1338.0,1.0
x[0],1.918,2.772,-3.074,7.259,0.066,0.054,1746.0,1336.0,1.0
x[1],0.531,2.705,-4.676,5.599,0.058,0.066,2135.0,1188.0,1.0
x[2],-1.414,2.928,-7.231,3.866,0.066,0.064,1959.0,1252.0,1.0
x[3],-1.907,2.776,-7.131,3.127,0.069,0.062,1609.0,1361.0,1.0
x[4],0.288,2.899,-5.04,5.54,0.075,0.08,1477.0,1026.0,1.0
x[5],0.198,2.835,-5.074,5.45,0.068,0.07,1734.0,1083.0,1.01
x[6],-0.695,2.864,-6.045,4.787,0.065,0.068,1935.0,1117.0,1.0
x[7],-0.429,2.927,-6.007,4.856,0.061,0.088,2373.0,1116.0,1.0
x[8],4.218,2.829,-0.989,9.436,0.068,0.051,1756.0,1143.0,1.0
x[9],4.865,2.698,0.073,10.106,0.062,0.051,1892.0,999.0,1.01
x[10],0.342,2.831,-4.825,5.83,0.06,0.068,2206.0,1331.0,1.0
x[11],1.32,2.678,-3.881,6.074,0.062,0.064,1877.0,1112.0,1.0
x[12],-1.764,2.844,-6.75,3.515,0.071,0.066,1611.0,1057.0,1.0
x[13],-0.409,2.977,-5.5,5.572,0.077,0.077,1496.0,1230.0,1.0
x[14],-1.557,2.884,-6.725,3.712,0.065,0.064,2024.0,1246.0,1.0
x[15],1.476,2.767,-3.903,6.344,0.061,0.065,2083.0,1167.0,1.0
x[16],0.028,2.843,-5.176,5.504,0.063,0.071,2065.0,1233.0,1.0
x[17],3.954,2.679,-1.326,8.5,0.067,0.059,1605.0,930.0,1.0
x[18],0.073,2.756,-5.035,5.461,0.064,0.074,1843.0,1085.0,1.0
x[19],-0.658,2.786,-5.862,4.491,0.066,0.068,1803.0,1359.0,1.01
x[20],0.038,2.841,-4.946,5.641,0.056,0.073,2542.0,1237.0,1.0
x[21],0.935,2.839,-4.516,5.974,0.068,0.063,1773.0,1347.0,1.0
x[22],-0.327,2.67,-5.191,4.565,0.056,0.066,2303.0,1362.0,1.0
x[23],0.987,2.813,-4.601,6.007,0.067,0.068,1771.0,1104.0,1.0
x[24],1.731,2.922,-3.85,7.028,0.061,0.062,2265.0,1225.0,1.0
x[25],-1.251,2.984,-6.947,4.495,0.064,0.063,2162.0,1341.0,1.0
x[26],1.122,2.7,-3.908,6.253,0.056,0.062,2293.0,1227.0,1.0
x[27],3.54,2.771,-1.711,8.561,0.065,0.052,1831.0,1400.0,1.0
x[28],-1.178,2.822,-6.525,3.809,0.063,0.065,1962.0,1094.0,1.01
x[29],2.195,2.826,-3.301,7.247,0.067,0.065,1775.0,1121.0,1.0
x[30],0.322,2.728,-4.916,5.213,0.062,0.085,1929.0,998.0,1.0
x[31],-1.498,2.959,-6.707,4.194,0.073,0.074,1625.0,1095.0,1.0
x[32],3.219,2.839,-1.996,8.51,0.061,0.051,2177.0,1268.0,1.0
x[33],-0.775,2.875,-6.512,4.209,0.064,0.079,2042.0,991.0,1.0
x[34],-1.915,3.004,-7.481,3.793,0.071,0.069,1799.0,1032.0,1.0
x[35],3.212,2.635,-1.868,7.881,0.054,0.047,2350.0,1246.0,1.0
x[36],0.887,2.896,-4.428,6.19,0.065,0.074,1976.0,1035.0,1.0
x[37],1.019,2.841,-3.755,6.755,0.065,0.071,1925.0,1192.0,1.0
x[38],3.119,2.677,-1.579,8.382,0.059,0.05,2064.0,1272.0,1.0
x[39],-1.594,2.832,-6.87,3.528,0.065,0.056,1902.0,1287.0,1.0
x[40],-0.64,2.851,-6.14,4.478,0.068,0.077,1766.0,955.0,1.0
x[41],0.098,3.971,-7.684,7.293,0.088,0.101,2055.0,1258.0,1.0
x[42],4.059,2.865,-1.137,9.593,0.061,0.047,2200.0,1689.0,1.0
x[43],-0.405,2.87,-5.942,4.632,0.065,0.077,1972.0,1208.0,1.0
x[44],-1.615,2.799,-7.003,3.438,0.063,0.073,1948.0,1217.0,1.0
x[45],-0.274,2.951,-5.612,5.434,0.063,0.082,2225.0,1201.0,1.0
x[46],0.139,2.741,-4.743,5.469,0.068,0.07,1635.0,1108.0,1.0
x[47],-2.125,2.932,-7.926,2.907,0.065,0.06,2048.0,1281.0,1.0
x[48],2.093,2.708,-2.963,7.341,0.058,0.052,2157.0,1084.0,1.0
x[49],-3.281,3.475,-9.198,3.973,0.077,0.062,2078.0,956.0,1.0
x[50],-1.683,2.819,-7.4,3.263,0.062,0.074,2107.0,1163.0,1.0
x[51],0.531,2.704,-4.273,5.699,0.07,0.066,1501.0,1220.0,1.0
x[52],2.353,2.649,-2.548,7.491,0.055,0.054,2283.0,1159.0,1.0
x[53],0.217,2.715,-4.975,5.147,0.06,0.066,2056.0,1301.0,1.0
x[54],0.191,2.76,-4.99,5.282,0.064,0.067,1879.0,1212.0,1.0
x[55],2.569,2.672,-2.924,7.178,0.062,0.055,1882.0,1093.0,1.0
x[56],1.462,2.744,-3.475,6.956,0.073,0.065,1423.0,1158.0,1.0
x[57],0.801,2.901,-4.79,5.769,0.064,0.071,2066.0,1268.0,1.0
x[58],-0.049,2.962,-5.168,5.97,0.064,0.09,2199.0,1113.0,1.0
x[59],0.045,2.811,-4.927,5.478,0.075,0.083,1413.0,694.0,1.0
x[60],-2.105,2.685,-6.949,3.218,0.063,0.06,1840.0,1174.0,1.0
x[61],1.298,2.596,-3.6,6.184,0.056,0.059,2131.0,1172.0,1.0
x[62],0.288,2.808,-4.999,5.616,0.061,0.076,2098.0,1103.0,1.0
x[63],0.362,2.825,-5.061,5.431,0.06,0.083,2184.0,1030.0,1.0
x[64],-0.142,2.986,-5.675,5.409,0.066,0.072,2040.0,1357.0,1.0
x[65],-1.05,2.876,-6.523,4.278,0.067,0.067,1847.0,1228.0,1.01
x[66],-0.335,2.786,-5.676,4.628,0.059,0.066,2250.0,1351.0,1.0
x[67],-0.226,2.81,-5.733,4.762,0.064,0.078,1948.0,1103.0,1.0
x[68],0.856,2.696,-4.606,5.368,0.062,0.064,1918.0,1398.0,1.0
x[69],-1.019,2.889,-6.039,4.484,0.068,0.067,1816.0,1329.0,1.0
x[70],-0.775,3.013,-6.266,5.023,0.07,0.079,1834.0,995.0,1.0
x[71],-0.524,2.763,-5.444,4.804,0.07,0.063,1554.0,1044.0,1.0
x[72],-0.165,2.869,-5.333,5.206,0.065,0.07,1979.0,1264.0,1.0
x[73],1.087,2.726,-4.52,5.85,0.07,0.065,1488.0,830.0,1.0
x[74],0.72,2.882,-4.488,6.219,0.067,0.073,1875.0,1147.0,1.01
x[75],0.013,3.041,-5.773,5.601,0.064,0.095,2244.0,1052.0,1.0
x[76],-0.011,2.727,-4.88,5.329,0.063,0.061,1854.0,1354.0,1.0
x[77],-0.439,2.799,-5.748,4.452,0.075,0.064,1386.0,1188.0,1.0
x[78],4.445,2.784,-1.063,9.416,0.062,0.048,2066.0,1298.0,1.0
x[79],-1.688,2.752,-6.501,3.822,0.054,0.062,2586.0,1243.0,1.0
x[80],-0.833,2.921,-5.695,5.382,0.062,0.082,2222.0,1138.0,1.0
x[81],-1.321,2.871,-6.545,4.444,0.072,0.064,1604.0,1370.0,1.0
