,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,1.024,0.453,0.214,1.89,0.007,0.006,3713.0,1275.0,1.0
x[0],1.435,2.137,-2.43,5.448,0.035,0.045,3686.0,1171.0,1.0
x[1],5.971,2.199,1.834,10.044,0.031,0.026,4989.0,1436.0,1.0
x[2],1.125,2.774,-3.918,6.626,0.037,0.062,5658.0,1236.0,1.0
x[3],-1.494,2.608,-6.022,3.78,0.037,0.055,5037.0,1519.0,1.0
x[4],-0.715,3.189,-6.576,5.23,0.046,0.072,4914.0,1654.0,1.0
x[5],4.395,2.272,-0.177,8.269,0.035,0.029,4309.0,1486.0,1.0
x[6],0.037,2.328,-4.213,4.647,0.037,0.058,4034.0,1461.0,1.0
x[7],-1.508,2.904,-7.037,3.919,0.041,0.069,5101.0,1137.0,1.0
x[8],-2.334,2.181,-6.435,1.667,0.037,0.053,3486.0,783.0,1.0
x[9],-0.346,2.889,-5.681,5.179,0.039,0.08,5425.0,1379.0,1.0
x[10],0.452,2.381,-3.856,4.894,0.035,0.057,4777.0,1459.0,1.0
x[11],0.958,2.301,-3.159,5.565,0.035,0.051,4272.0,1541.0,1.0
x[12],2.291,2.18,-1.646,6.446,0.033,0.034,4462.0,1640.0,1.0
x[13],1.812,2.359,-2.572,6.377,0.035,0.043,4685.0,1603.0,1.0
x[14],0.923,2.215,-3.117,5.261,0.032,0.05,4832.0,1527.0,1.0
x[15],-0.407,2.483,-4.937,4.353,0.036,0.058,4870.0,1595.0,1.0
x[16],4.587,2.215,0.065,8.459,0.035,0.029,3959.0,1468.0,1.0
x[17],3.009,2.3,-1.432,7.14,0.031,0.033,5443.0,1675.0,1.0
x[18],1.304,2.17,-2.8,5.335,0.036,0.046,3546.0,1597.0,1.0
x[19],2.093,2.122,-1.874,6.246,0.03,0.035,5112.0,1299.0,1.0
x[20],3.443,2.195,-0.746,7.546,0.034,0.031,4199.0,1133.0,1.0
x[21],-2.076,2.43,-6.523,2.491,0.036,0.046,4455.0,1436.0,1.0
x[22],-1.868,2.286,-6.63,2.069,0.034,0.045,4686.0,1424.0,1.0
x[23],-2.317,2.2,-6.38,1.907,0.032,0.035,4624.0,1486.0,1.0
x[24],3.972,2.251,-0.056,8.249,0.034,0.028,4376.0,1689.0,1.0
x[25],-1.086,2.449,-5.892,3.247,0.035,0.057,4834.0,1478.0,1.0
x[26],-0.282,2.269,-4.598,3.855,0.031,0.056,5377.0,1488.0,1.0
x[27],3.285,2.533,-1.26,8.344,0.035,0.039,5396.0,1470.0,1.0
x[28],0.787,2.407,-3.522,5.479,0.035,0.057,4694.0,1470.0,1.0
x[29],3.07,2.203,-1.354,7.115,0.032,0.032,4856.0,1508.0,1.0
x[30],-1.546,2.681,-6.543,3.412,0.037,0.068,5282.0,1308.0,1.0
x[31],1.629,2.114,-2.363,5.387,0.031,0.036,4615.0,1611.0,1.0
x[32],4.244,2.151,0.415,8.383,0.032,0.028,4458.0,1528.0,1.0
x[33],1.538,2.133,-2.213,5.661,0.03,0.047,4872.0,1570.0,1.0
x[34],-0.709,2.853,-6.467,4.266,0.04,0.072,5063.0,1334.0,1.0
x[35],0.103,2.136,-3.756,4.27,0.032,0.056,4350.0,1395.0,1.0
x[36],-1.275,2.413,-5.726,3.021,0.033,0.051,5467.0,1396.0,1.0
x[37],-2.098,2.434,-6.599,2.575,0.031,0.044,6034.0,1256.0,1.0
x[38],6.392,2.232,2.143,10.618,0.029,0.023,5806.0,1562.0,1.0
x[39],1.292,2.095,-2.665,5.149,0.026,0.043,6500.0,1368.0,1.0
x[40],-0.573,2.261,-4.663,3.72,0.032,0.054,5076.0,1354.0,1.0
x[41],0.71,2.106,-3.085,4.689,0.032,0.049,4301.0,1463.0,1.0
x[42],-2.754,2.401,-7.146,1.716,0.036,0.039,4591.0,1568.0,1.0
x[43],-1.796,2.339,-6.725,2.082,0.035,0.048,4608.0,1361.0,1.0
x[44],0.601,2.343,-3.625,5.024,0.035,0.058,4300.0,1506.0,1.0
x[45],-2.333,2.502,-6.962,2.372,0.036,0.047,4841.0,1356.0,1.0
x[46],2.385,2.344,-1.939,6.873,0.033,0.039,5117.0,1299.0,1.0
x[47],0.221,2.201,-3.928,4.225,0.033,0.055,4340.0,1121.0,1.0
x[48],-0.581,2.188,-4.359,3.956,0.033,0.052,4381.0,1707.0,1.0
x[49],2.23,2.319,-1.991,6.55,0.036,0.04,4114.0,1483.0,1.0
x[50],3.642,2.305,-0.413,8.087,0.03,0.033,6018.0,1210.0,1.0
x[51],2.427,2.452,-2.059,7.283,0.034,0.043,5140.0,1537.0,1.0
x[52],-2.307,3.428,-8.501,4.306,0.049,0.061,4818.0,1302.0,1.0
x[53],3.564,2.225,-0.927,7.388,0.031,0.029,4978.0,1507.0,1.0
x[54],1.783,2.657,-3.419,6.24,0.04,0.058,4444.0,1243.0,1.0
x[55],-2.393,2.213,-6.48,1.786,0.035,0.035,3979.0,1508.0,1.0
x[56],-0.144,2.33,-4.474,4.237,0.033,0.058,5103.0,1567.0,1.0
x[57],3.286,2.361,-0.967,7.812,0.034,0.036,4832.0,1532.0,1.0
