,rating,Unnamed: 0,Team,Type,mu,sd,name
0,5.326318549,830,San Antonio Spurs,Rookie,0.133723333,5,Aron Baynes
1,5.326318549,1208,San Antonio Spurs,Non-rookie,1.5,5,Boris Diaw
2,5.326318549,2312,San Antonio Spurs,Rookie,0.36852,5,Cory Joseph
3,5.326318549,2608,San Antonio Spurs,Rookie,1.166666667,5,Danny Green
4,5.326318549,2913,San Antonio Spurs,Rookie,0.351333333,5,DeJuan Blair
5,5.326318549,4130,San Antonio Spurs,Rookie,0.284796333,5,Gary Neal
6,5.326318549,4975,San Antonio Spurs,Rookie,0.048583,5,James Anderson
7,5.326318549,6299,San Antonio Spurs,Rookie,0.62064,5,Kawhi Leonard
8,5.326318549,7433,San Antonio Spurs,Non-rookie,4.702497333,5,Manu Ginobili
9,5.326318549,7811,San Antonio Spurs,Non-rookie,1.21,5,Matt Bonner
10,5.326318549,10425,San Antonio Spurs,Non-rookie,3.35325,5,Stephen Jackson
11,5.326318549,10780,San Antonio Spurs,Rookie,1.314666667,5,Tiago Splitter
12,5.326318549,10804,San Antonio Spurs,Non-rookie,3.212851333,5,Tim Duncan
13,5.326318549,11053,San Antonio Spurs,Non-rookie,4.166666667,5,Tony Parker
14,4.677344995,1671,Chicago Bulls,Non-rookie,5,5,Carlos Boozer
15,4.677344995,2393,Chicago Bulls,Non-rookie,0.196589667,5,Daequan Cook
16,4.677344995,5633,Chicago Bulls,Rookie,0.36584,5,Jimmy Butler
17,4.677344995,5651,Chicago Bulls,Non-rookie,3.766666667,5,Joakim Noah
18,4.677344995,6707,Chicago Bulls,Non-rookie,1.313666667,5,Kirk Hinrich
19,4.677344995,7339,Chicago Bulls,Non-rookie,4.435,5,Luol Deng
20,4.677344995,7476,Chicago Bulls,Non-rookie,0.652333333,5,Marco Belinelli
21,4.677344995,7717,Chicago Bulls,Rookie,0.3428,5,Marquis Teague
22,4.677344995,8408,Chicago Bulls,Non-rookie,0.382112333,5,Nate Robinson
23,4.677344995,8427,Chicago Bulls,Non-rookie,0.450727,5,Nazr Mohammed
24,4.677344995,9319,Chicago Bulls,Non-rookie,1.666666667,5,Richard Hamilton
25,4.677344995,10588,Chicago Bulls,Rookie,0.718603667,5,Taj Gibson
26,4.677344995,11510,Chicago Bulls,Non-rookie,0.450727,5,Vladimir Radmanovic
27,4.630109502,2553,Oklahoma City Thunder,Rookie,0.252570667,5,Daniel Orton
28,4.630109502,2889,Oklahoma City Thunder,Rookie,0.254065,5,DeAndre Liggins
29,4.630109502,3033,Oklahoma City Thunder,Non-rookie,0.137869333,5,Derek Fisher
30,4.630109502,4532,Oklahoma City Thunder,Rookie,0.4,5,Hasheem Thabeet
31,4.630109502,5459,Oklahoma City Thunder,Rookie,0.6734,5,Jeremy Lamb
32,4.630109502,6427,Oklahoma City Thunder,Non-rookie,2.600177,5,Kendrick Perkins
33,4.630109502,6543,Oklahoma City Thunder,Non-rookie,5.556543333,5,Kevin Durant
34,4.630109502,6614,Oklahoma City Thunder,Non-rookie,4.146558333,5,Kevin Martin
35,4.630109502,8491,Oklahoma City Thunder,Non-rookie,0.976444,5,Nick Collison
36,4.630109502,9229,Oklahoma City Thunder,Rookie,0.41436,5,Reggie Jackson
37,4.630109502,9624,Oklahoma City Thunder,Non-rookie,0.356503,5,Ronnie Brewer
38,4.630109502,9749,Oklahoma City Thunder,Non-rookie,4.55625,5,Russell Westbrook
39,4.630109502,10073,Oklahoma City Thunder,Rookie,0.751020667,5,Serge Ibaka
40,4.630109502,10732,Oklahoma City Thunder,Non-rookie,1.2,5,Thabo Sefolosha
41,4.532255542,1905,Miami Heat,Non-rookie,1.508666667,5,Chris Andersen
42,4.532255542,1920,Miami Heat,Non-rookie,5.848333333,5,Chris Bosh
43,4.532255542,3565,Miami Heat,Non-rookie,5.727333333,5,Dwyane Wade
44,4.532255542,5018,Miami Heat,Non-rookie,0.5,5,James Jones
45,4.532255542,5173,Miami Heat,Rookie,0.091935,5,Jarvis Varnado
46,4.532255542,5748,Miami Heat,Non-rookie,1.25,5,Joel Anthony
47,4.532255542,6113,Miami Heat,Rookie,0.118065667,5,Josh Harrellson
48,4.532255542,7075,Miami Heat,Non-rookie,5.848333333,5,LeBron James
49,4.532255542,7566,Miami Heat,Rookie,1.333333333,5,Mario Chalmers
50,4.532255542,8176,Miami Heat,Non-rookie,1.933333333,5,Mike Miller
51,4.532255542,8578,Miami Heat,Rookie,0.36084,5,Norris Cole
52,4.532255542,9127,Miami Heat,Non-rookie,4.566666667,5,Rashard Lewis
53,4.532255542,9191,Miami Heat,Non-rookie,1.03,5,Ray Allen
54,4.532255542,10132,Miami Heat,Non-rookie,1.045,5,Shane Battier
55,4.532255542,10640,Miami Heat,Rookie,0.062218667,5,Terrel Harris
56,4.532255542,11371,Miami Heat,Non-rookie,1.353333333,5,Udonis Haslem
