rating,Unnamed: 0,Team,Type,mu,sd,name
7.072486751,1524,San Antonio Spurs,Rookie,0.181157,5,Bryn Forbes
7.072486751,2612,San Antonio Spurs,Non-rookie,3.333333333,5,Danny Green
7.072486751,2800,San Antonio Spurs,Non-rookie,0.517219667,5,David Lee
7.072486751,2867,San Antonio Spurs,Rookie,0.181157,5,Davis Bertans
7.072486751,2908,San Antonio Spurs,Rookie,0.39336,5,Dejounte Murray
7.072486751,3220,San Antonio Spurs,Rookie,0.966,5,Dewayne Dedmon
7.072486751,5752,San Antonio Spurs,Non-rookie,0.22127,5,Joel Anthony
7.072486751,6010,San Antonio Spurs,Rookie,0.291545333,5,Jonathon Simmons
7.072486751,6303,San Antonio Spurs,Non-rookie,5.879354333,5,Kawhi Leonard
7.072486751,6810,San Antonio Spurs,Rookie,0.39736,5,Kyle Anderson
7.072486751,6894,San Antonio Spurs,Non-rookie,6.858335,5,LaMarcus Aldridge
7.072486751,7437,San Antonio Spurs,Non-rookie,4.666666667,5,Manu Ginobili
7.072486751,8537,San Antonio Spurs,Rookie,0.070331667,5,Nicolas Laprovittola
7.072486751,8724,San Antonio Spurs,Rookie,0.033333333,5,Patricio Garino
7.072486751,8764,San Antonio Spurs,Rookie,1.192982667,5,Patty Mills
7.072486751,8780,San Antonio Spurs,Non-rookie,5.166666667,5,Pau Gasol
7.072486751,11057,San Antonio Spurs,Non-rookie,4.815104333,5,Tony Parker
6.502242583,393,Golden State Warriors,Non-rookie,0.661335,5,Anderson Varejao
6.502242583,433,Golden State Warriors,Non-rookie,3.710456,5,Andre Iguodala
6.502242583,1453,Golden State Warriors,Rookie,0.109333333,5,Briante Weber
6.502242583,2439,Golden State Warriors,Rookie,0.39052,5,Damian Jones
6.502242583,2849,Golden State Warriors,Non-rookie,0.517219667,5,David West
6.502242583,3484,Golden State Warriors,Non-rookie,5.110145,5,Draymond Green
6.502242583,4658,Golden State Warriors,Rookie,0.338565333,5,Ian Clark
6.502242583,5025,Golden State Warriors,Rookie,0.326810333,5,James Michael McAdoo
6.502242583,5320,Golden State Warriors,Non-rookie,0.467870333,5,JaVale McGee
6.502242583,6547,Golden State Warriors,Non-rookie,8.8467,5,Kevin Durant
6.502242583,6665,Golden State Warriors,Rookie,0.39428,5,Kevon Looney
6.502242583,6720,Golden State Warriors,Non-rookie,5.554525,5,Klay Thompson
6.502242583,7801,Golden State Warriors,Non-rookie,2.041666667,5,Matt Barnes
6.502242583,8744,Golden State Warriors,Rookie,0.181157,5,Patrick McCaw
6.502242583,10192,Golden State Warriors,Non-rookie,1.927483333,5,Shaun Livingston
6.502242583,10406,Golden State Warriors,Non-rookie,4.037453,5,Stephen Curry
6.502242583,11805,Golden State Warriors,Non-rookie,0.966,5,Zaza Pachulia
4.564593182,226,Oklahoma City Thunder,Rookie,1.998254667,5,Alex Abrines
4.564593182,457,Oklahoma City Thunder,Rookie,0.727690667,5,Andre Roberson
4.564593182,3312,Oklahoma City Thunder,Rookie,0.8134,5,Domantas Sabonis
4.564593182,3451,Oklahoma City Thunder,Rookie,0.82768,5,Doug McDermott
4.564593182,3802,Oklahoma City Thunder,Non-rookie,5.715279333,5,Enes Kanter
4.564593182,5448,Oklahoma City Thunder,Rookie,0.326810333,5,Jerami Grant
4.564593182,6125,Oklahoma City Thunder,Rookie,0.39716,5,Josh Huestis
