,Team,rating,Unnamed: 0,Type,mu,sd,name
0,Golden State Warriors,13.43031611,434,Non-rookie,4.938271667,5,Andre Iguodala
1,Golden State Warriors,13.43031611,2440,Rookie,0.437537,5,Damian Jones
2,Golden State Warriors,13.43031611,2850,Non-rookie,0.776217333,5,David West
3,Golden State Warriors,13.43031611,3485,Non-rookie,5.466666667,5,Draymond Green
4,Golden State Warriors,13.43031611,5321,Non-rookie,0.705651667,5,JaVale McGee
5,Golden State Warriors,13.43031611,6018,Rookie,0.271871667,5,Jordan Bell
6,Golden State Warriors,13.43031611,6548,Non-rookie,8.333333333,5,Kevin Durant
7,Golden State Warriors,13.43031611,6666,Rookie,0.490460667,5,Kevon Looney
8,Golden State Warriors,13.43031611,6721,Non-rookie,5.94205,5,Klay Thompson
9,Golden State Warriors,13.43031611,8523,Non-rookie,1.730666667,5,Nick Young
10,Golden State Warriors,13.43031611,8639,Non-rookie,0.702156667,5,Omri Casspi
11,Golden State Warriors,13.43031611,8745,Rookie,0.437537,5,Patrick McCaw
12,Golden State Warriors,13.43031611,10193,Non-rookie,2.564102667,5,Shaun Livingston
13,Golden State Warriors,13.43031611,10407,Non-rookie,11.56085,5,Stephen Curry
14,Golden State Warriors,13.43031611,11806,Non-rookie,1.1592,5,Zaza Pachulia
15,San Antonio Spurs,8.154010436,1298,Rookie,0.271871667,5,Brandon Paul
16,San Antonio Spurs,8.154010436,1525,Rookie,0.437537,5,Bryn Forbes
17,San Antonio Spurs,8.154010436,2613,Non-rookie,3.333333333,5,Danny Green
18,San Antonio Spurs,8.154010436,2868,Rookie,0.437537,5,Davis Bertans
19,San Antonio Spurs,8.154010436,2909,Rookie,0.437537,5,Dejounte Murray
20,San Antonio Spurs,8.154010436,3127,Rookie,0.4682,5,Derrick White
21,San Antonio Spurs,8.154010436,5788,Rookie,0.508101667,5,Joffrey Lauvergne
22,San Antonio Spurs,8.154010436,6304,Non-rookie,6.289541667,5,Kawhi Leonard
23,San Antonio Spurs,8.154010436,6811,Rookie,0.717234667,5,Kyle Anderson
24,San Antonio Spurs,8.154010436,6895,Non-rookie,7.15367,5,LaMarcus Aldridge
25,San Antonio Spurs,8.154010436,7438,Non-rookie,0.833333333,5,Manu Ginobili
26,San Antonio Spurs,8.154010436,8765,Rookie,3.571428667,5,Patty Mills
27,San Antonio Spurs,8.154010436,8781,Non-rookie,5.333333333,5,Pau Gasol
28,San Antonio Spurs,8.154010436,9731,Non-rookie,2.802,5,Rudy Gay
29,San Antonio Spurs,8.154010436,11058,Non-rookie,5.151042,5,Tony Parker
30,Houston Rockets,6.894414691,1144,Non-rookie,0.508101667,5,Bobby Brown
31,Houston Rockets,6.894414691,1894,Rookie,0.437537,5,Chinanu Onuaku
32,Houston Rockets,6.894414691,2074,Non-rookie,8.199831667,5,Chris Paul
33,Houston Rockets,6.894414691,2225,Rookie,0.778173333,5,Clint Capela
34,Houston Rockets,6.894414691,3826,Non-rookie,4.31434,5,Eric Gordon
35,Houston Rockets,6.894414691,4715,Rookie,0.066666667,5,Isaiah Canaan
36,Houston Rockets,6.894414691,5003,Non-rookie,9.433133,5,James Harden
37,Houston Rockets,6.894414691,7262,Non-rookie,0.705651667,5,Luc Mbah a Moute
38,Houston Rockets,6.894414691,9765,Non-rookie,6.526151667,5,Ryan Anderson
39,Houston Rockets,6.894414691,10602,Rookie,1.096666667,5,Tarik Black
