,Team,rating,Type,mu,sd,name
1,Golden State Warriors,13.43031611,Non-rookie,0.49046066666666666,5,Omri Casspi
2,Golden State Warriors,13.43031611,Non-rookie,11.56085,5,Stephen Curry
3,Golden State Warriors,13.43031611,Non-rookie,8.333333333333334,5,Kevin Durant
4,Golden State Warriors,13.43031611,Non-rookie,5.466666666666667,5,Draymond Green
5,Golden State Warriors,13.43031611,Non-rookie,4.938271666666667,5,Andre Iguodala
7,Golden State Warriors,13.43031611,Non-rookie,2.564102666666667,5,Shaun Livingston
10,Golden State Warriors,13.43031611,Non-rookie,0.49046066666666666,5,JaVale McGee
11,Golden State Warriors,13.43031611,Non-rookie,1.1592,5,Zaza Pachulia
12,Golden State Warriors,13.43031611,Non-rookie,5.94205,5,Klay Thompson
13,Golden State Warriors,13.43031611,Non-rookie,0.49046066666666666,5,David West
14,Golden State Warriors,13.43031611,Non-rookie,1.7306666666666666,5,Nick Young
15,San Antonio Spurs,8.154010436,Non-rookie,7.15367,5,LaMarcus Aldridge
19,San Antonio Spurs,8.154010436,Non-rookie,5.333333333333333,5,Pau Gasol
20,San Antonio Spurs,8.154010436,Non-rookie,2.802,5,Rudy Gay
21,San Antonio Spurs,8.154010436,Non-rookie,0.8333333333333334,5,Manu Ginobili
22,San Antonio Spurs,8.154010436,Non-rookie,3.3333333333333335,5,Danny Green
24,San Antonio Spurs,8.154010436,Non-rookie,6.289541666666667,5,Kawhi Leonard
25,San Antonio Spurs,8.154010436,Non-rookie,3.571428666666667,5,Patty Mills
27,San Antonio Spurs,8.154010436,Non-rookie,5.151042,5,Tony Parker
30,Houston Rockets,6.894414691000001,Non-rookie,6.526151666666666,5,Ryan Anderson
31,Houston Rockets,6.894414691000001,Non-rookie,2.4736373333333335,5,Trevor Ariza
33,Houston Rockets,6.894414691000001,Non-rookie,0.410062,5,Bobby Brown
35,Houston Rockets,6.894414691000001,Non-rookie,4.31434,5,Eric Gordon
36,Houston Rockets,6.894414691000001,Non-rookie,0.29095133333333334,5,Gerald Green
37,Houston Rockets,6.894414691000001,Non-rookie,9.433133,5,James Harden
38,Houston Rockets,6.894414691000001,Non-rookie,1.1592,5,Nene
40,Houston Rockets,6.894414691000001,Non-rookie,0.49046066666666666,5,Luc Mbah a Moute
42,Houston Rockets,6.894414691000001,Non-rookie,8.199831666666666,5,Chris Paul
46,Cleveland Cavaliers,5.695697826,Non-rookie,0.49046066666666666,5,Jose Calderon
47,Cleveland Cavaliers,5.695697826,Non-rookie,3.8541666666666665,5,Jordan Clarkson
48,Cleveland Cavaliers,5.695697826,Non-rookie,0.7056516666666667,5,Jeff Green
49,Cleveland Cavaliers,5.695697826,Non-rookie,6.666666666666667,5,George Hill
51,Cleveland Cavaliers,5.695697826,Non-rookie,11.095236333333334,5,LeBron James
