,Team,rating,Type,mu,sd,name
0,Golden State Warriors,13.43031611,Rookie,0.2718716666666667,5,Jordan Bell
6,Golden State Warriors,13.43031611,Rookie,0.437537,5,Damian Jones
8,Golden State Warriors,13.43031611,Rookie,0.49046066666666666,5,Kevon Looney
9,Golden State Warriors,13.43031611,Rookie,0.437537,5,Patrick McCaw
16,San Antonio Spurs,8.154010436,Rookie,0.7172346666666667,5,Kyle Anderson
17,San Antonio Spurs,8.154010436,Rookie,0.437537,5,Davis Bertans
18,San Antonio Spurs,8.154010436,Rookie,0.437537,5,Bryn Forbes
23,San Antonio Spurs,8.154010436,Rookie,0.5081016666666667,5,Joffrey Lauvergne
26,San Antonio Spurs,8.154010436,Rookie,0.437537,5,Dejounte Murray
28,San Antonio Spurs,8.154010436,Rookie,0.2718716666666667,5,Brandon Paul
29,San Antonio Spurs,8.154010436,Rookie,0.4682,5,Derrick White
32,Houston Rockets,6.894414691000001,Rookie,1.0966666666666667,5,Tarik Black
34,Houston Rockets,6.894414691000001,Rookie,0.7781733333333334,5,Clint Capela
39,Houston Rockets,6.894414691000001,Rookie,0.001536,5,Aaron Jackson
41,Houston Rockets,6.894414691000001,Rookie,0.437537,5,Chinanu Onuaku
43,Houston Rockets,6.894414691000001,Rookie,0.2718716666666667,5,Zhou Qi
44,Houston Rockets,6.894414691000001,Rookie,0.032135333333333335,5,Tim Quarterman
45,Houston Rockets,6.894414691000001,Rookie,0.49046066666666666,5,Troy Williams
50,Cleveland Cavaliers,5.695697826,Rookie,0.7956213333333333,5,Rodney Hood
54,Cleveland Cavaliers,5.695697826,Rookie,0.49046066666666666,5,Larry Nance Jr.
55,Cleveland Cavaliers,5.695697826,Rookie,0.8809523333333333,5,Cedi Osman
59,Cleveland Cavaliers,5.695697826,Rookie,0.5484,5,Ante Zizic
62,Los Angeles Clippers,5.382403139,Rookie,0.5982,5,Sam Dekker
63,Los Angeles Clippers,5.382403139,Rookie,0.2718716666666667,5,Jawun Evans
65,Los Angeles Clippers,5.382403139,Rookie,0.49046066666666666,5,Montrezl Harrell
69,Los Angeles Clippers,5.382403139,Rookie,2.3333333333333335,5,Boban Marjanovic
71,Los Angeles Clippers,5.382403139,Rookie,2.0,5,Milos Teodosic
72,Los Angeles Clippers,5.382403139,Rookie,0.2718716666666667,5,Sindarius Thornwell
74,Utah Jazz,4.969595181,Rookie,0.47164,5,Tony Bradley
77,Utah Jazz,4.969595181,Rookie,1.6641283333333334,5,Dante Exum
82,Utah Jazz,4.969595181,Rookie,0.87376,5,Donovan Mitchell
83,Utah Jazz,4.969595181,Rookie,0.49046066666666666,5,Raul Neto
84,Utah Jazz,4.969595181,Rookie,0.2718716666666667,5,Royce O'Neale
87,Utah Jazz,4.969595181,Rookie,0.064271,5,David Stockton
89,Utah Jazz,4.969595181,Rookie,0.437537,5,Joel Bolomboy
91,Boston Celtics,2.709757135,Rookie,1.65216,5,Jaylen Brown
92,Boston Celtics,2.709757135,Rookie,0.014831666666666667,5,Jonathan Gibson
98,Boston Celtics,2.709757135,Rookie,0.389111,5,Abdel Nader
99,Boston Celtics,2.709757135,Rookie,0.43063066666666666,5,Semi Ojeleye
100,Boston Celtics,2.709757135,Rookie,0.66284,5,Terry Rozier
101,Boston Celtics,2.709757135,Rookie,0.024719666666666668,5,Xavier Silas
102,Boston Celtics,2.709757135,Rookie,1.5126733333333333,5,Marcus Smart
103,Boston Celtics,2.709757135,Rookie,1.8818,5,Jayson Tatum
104,Boston Celtics,2.709757135,Rookie,0.2718716666666667,5,Daniel Theis
105,Boston Celtics,2.709757135,Rookie,0.74916,5,Guerschon Yabusele
106,Boston Celtics,2.709757135,Rookie,0.030952666666666667,5,Demetrius Jackson
108,Washington Wizards,2.37472787,Rookie,0.6666666666666666,5,Tim Frazier
111,Washington Wizards,2.37472787,Rookie,0.49046066666666666,5,Chris McCullough
114,Washington Wizards,2.37472787,Rookie,0.69768,5,Kelly Oubre Jr.
115,Washington Wizards,2.37472787,Rookie,1.0,5,Tomas Satoransky
119,Oklahoma City Thunder,2.082185522,Rookie,1.9083333333333334,5,Alex Abrines
124,Oklahoma City Thunder,2.082185522,Rookie,0.595,5,Terrance Ferguson
126,Oklahoma City Thunder,2.082185522,Rookie,0.5081016666666667,5,Jerami Grant
127,Oklahoma City Thunder,2.082185522,Rookie,0.49046066666666666,5,Josh Huestis
128,Oklahoma City Thunder,2.082185522,Rookie,0.2718716666666667,5,Dakari Johnson
133,Memphis Grizzlies,1.934503325,Rookie,0.2718716666666667,5,Dillon Brooks
137,Memphis Grizzlies,1.934503325,Rookie,0.437537,5,Deyonta Davis
141,Memphis Grizzlies,1.934503325,Rookie,0.437537,5,Andrew Harrison
142,Memphis Grizzlies,1.934503325,Rookie,0.44372,5,Brice Johnson
143,Memphis Grizzlies,1.934503325,Rookie,0.009216,5,Omari Johnson
144,Memphis Grizzlies,1.934503325,Rookie,0.49046066666666666,5,Jarell Martin
147,Memphis Grizzlies,1.934503325,Rookie,0.31666666666666665,5,Ivan Rabb
148,Memphis Grizzlies,1.934503325,Rookie,0.01536,5,Xavier Rathan-Mayes
149,Memphis Grizzlies,1.934503325,Rookie,0.437537,5,Wayne Selden
152,Miami Heat,1.904907009,Rookie,0.83012,5,Bam Adebayo
158,Miami Heat,1.904907009,Rookie,1.96042,5,Tyler Johnson
159,Miami Heat,1.904907009,Rookie,0.437537,5,Rodney McGruder
160,Miami Heat,1.904907009,Rookie,0.49046066666666666,5,Jordan Mickey
162,Miami Heat,1.904907009,Rookie,0.49046066666666666,5,Josh Richardson
165,Miami Heat,1.904907009,Rookie,0.90168,5,Justise Winslow
168,Denver Nuggets,1.813798095,Rookie,0.56688,5,Malik Beasley
172,Denver Nuggets,1.813798095,Rookie,0.8500183333333333,5,Gary Harris
173,Denver Nuggets,1.813798095,Rookie,0.49046066666666666,5,Nikola Jokic
174,Denver Nuggets,1.813798095,Rookie,0.52648,5,Tyler Lydon
175,Denver Nuggets,1.813798095,Rookie,0.8138,5,Trey Lyles
177,Denver Nuggets,1.813798095,Rookie,1.11844,5,Jamal Murray
180,Charlotte Hornets,1.0653689709999998,Rookie,0.2718716666666667,5,Dwayne Bacon
183,Charlotte Hornets,1.0653689709999998,Rookie,0.437537,5,Treveon Graham
184,Charlotte Hornets,1.0653689709999998,Rookie,0.47858333333333336,5,Willy Hernangomez
186,Charlotte Hornets,1.0653689709999998,Rookie,0.9492,5,Frank Kaminsky
189,Charlotte Hornets,1.0653689709999998,Rookie,0.96816,5,Malik Monk
196,Milwaukee Bucks,0.8606942540000001,Rookie,0.437537,5,Malcolm Brogdon
197,Milwaukee Bucks,0.8606942540000001,Rookie,0.2718716666666667,5,Sterling Brown
202,Milwaukee Bucks,0.8606942540000001,Rookie,0.89472,5,Thon Maker
204,Milwaukee Bucks,0.8606942540000001,Rookie,2.2607973333333335,5,Jabari Parker
208,Milwaukee Bucks,0.8606942540000001,Rookie,0.71168,5,D.J. Wilson
212,Chicago Bulls,0.8249325909999999,Rookie,1.34892,5,Kris Dunn
213,Chicago Bulls,0.8249325909999999,Rookie,0.033451,5,Jarell Eddie
215,Chicago Bulls,0.8249325909999999,Rookie,0.57128,5,Jerian Grant
216,Chicago Bulls,0.8249325909999999,Rookie,1.5384616666666666,5,Justin Holiday
217,Chicago Bulls,0.8249325909999999,Rookie,0.721002,5,Sean Kilpatrick
218,Chicago Bulls,0.8249325909999999,Rookie,1.0674056666666667,5,Zach LaVine
220,Chicago Bulls,0.8249325909999999,Rookie,1.27388,5,Lauri Markkanen
221,Chicago Bulls,0.8249325909999999,Rookie,0.437537,5,David Nwaba
222,Chicago Bulls,0.8249325909999999,Rookie,0.73448,5,Cameron Payne
224,Chicago Bulls,0.8249325909999999,Rookie,0.50544,5,Bobby Portis
225,Chicago Bulls,0.8249325909999999,Rookie,0.49046066666666666,5,Willie Reed
226,Chicago Bulls,0.8249325909999999,Rookie,0.7288,5,Denzel Valentine
227,Chicago Bulls,0.8249325909999999,Rookie,1.168411,5,Noah Vonleh
229,Chicago Bulls,0.8249325909999999,Rookie,0.437537,5,Paul Zipser
230,Chicago Bulls,0.8249325909999999,Rookie,0.437537,5,Kay Felder
231,Indiana Pacers,0.567018304,Rookie,0.31666666666666665,5,Ike Anigbogu
236,Indiana Pacers,0.567018304,Rookie,0.01536,5,Trey McKinney-Jones
238,Indiana Pacers,0.567018304,Rookie,0.259556,5,Alex Poythress
239,Indiana Pacers,0.567018304,Rookie,0.5081016666666667,5,Glenn Robinson III
240,Indiana Pacers,0.567018304,Rookie,0.85,5,Domantas Sabonis
242,Indiana Pacers,0.567018304,Rookie,0.85664,5,Myles Turner
244,Indiana Pacers,0.567018304,Rookie,0.49046066666666666,5,Joe Young
246,Indiana Pacers,0.567018304,Rookie,0.03333333333333333,5,Georges Niang
248,Minnesota Timberwolves,0.487595368,Rookie,1.3166663333333333,5,Nemanja Bjelica
252,Minnesota Timberwolves,0.487595368,Rookie,0.437537,5,Marcus Georges-Hunt
254,Minnesota Timberwolves,0.487595368,Rookie,0.49046066666666666,5,Tyus Jones
256,Minnesota Timberwolves,0.487595368,Rookie,0.74916,5,Justin Patton
258,Minnesota Timberwolves,0.487595368,Rookie,2.07228,5,Karl-Anthony Towns
262,Atlanta Hawks,0.0,Rookie,0.5224,5,DeAndre' Bembry
263,Atlanta Hawks,0.0,Rookie,0.3017496666666667,5,Nicolas Brussino
264,Atlanta Hawks,0.0,Rookie,0.24330633333333335,5,Tyler Cavanaugh
265,Atlanta Hawks,0.0,Rookie,0.64564,5,John Collins
267,Atlanta Hawks,0.0,Rookie,2.0,5,Dewayne Dedmon
268,Atlanta Hawks,0.0,Rookie,0.8333333333333334,5,Malcolm Delaney
269,Atlanta Hawks,0.0,Rookie,0.2718716666666667,5,Tyler Dorsey
273,Atlanta Hawks,0.0,Rookie,0.04608,5,Damion Lee
274,Atlanta Hawks,0.0,Rookie,0.064512,5,Jaylen Morris
275,Atlanta Hawks,0.0,Rookie,1.6666666666666667,5,Mike Muscala
277,Atlanta Hawks,0.0,Rookie,0.80752,5,Taurean Prince
279,Atlanta Hawks,0.0,Rookie,0.437537,5,Isaiah Taylor
280,Atlanta Hawks,0.0,Rookie,0.437537,5,Okaro White
281,Atlanta Hawks,0.0,Rookie,0.03333333333333333,5,Quinn Cook
283,Detroit Pistons,-0.16488799,Rookie,0.24938666666666667,5,Dwight Buycks
285,Detroit Pistons,-0.16488799,Rookie,0.5936,5,Henry Ellenson
286,Detroit Pistons,-0.16488799,Rookie,2.2222223333333333,5,Langston Galloway
