Team,Year,Name,Age,Pos,Contract Value,Type
Atlanta Hawks,2018,Kent Bazemore,29,SG,"$18,089,887 ",Cap Space
Atlanta Hawks,2018,Miles Plumlee,30,C,"$12,500,000 ",Bird
Atlanta Hawks,2018,Dewayne Dedmon,29,C,"$7,200,000 ",Cap Space
Atlanta Hawks,2018,Trae Young,20,PG,"$5,356,440 ",Rookie
Atlanta Hawks,2018,Alex Len,25,C,"$4,350,000 ",Room
Atlanta Hawks,2018,Taurean Prince,24,SF,"$2,526,840 ",Rookie
Atlanta Hawks,2018,Justin Anderson,24,SG,"$2,516,048 ",Rookie
Atlanta Hawks,2018,John Collins,21,PF,"$2,299,080 ",Rookie
Atlanta Hawks,2018,Kevin Huerter,20,SG,"$2,250,960 ",Rookie
Atlanta Hawks,2018,DeAndre' Bembry,24,SF,"$1,634,640 ",Rookie
Atlanta Hawks,2018,Omari Spellman,21,PF,"$1,620,480 ",Rookie
Atlanta Hawks,2018,Vince Carter,41,SG,"$1,512,601 ",Minimum
Atlanta Hawks,2018,Jaylen Adams,22,PG,"$236,854 ",Minimum
Atlanta Hawks,2018,Isaac Humphries,20,C,"$47,371 ",Minimum
Atlanta Hawks,2018,Deyonta Davis,21,C,"$25,637 ",Minimum
Atlanta Hawks,2019,Jeff Teague,31,PG,"$19,000,000 ",Cap Space
Atlanta Hawks,2019,Clint Capela,25,C,"$14,896,552 ",Bird
Atlanta Hawks,2019,Dewayne Dedmon,30,C,"$13,333,334 ",Cap Space
Atlanta Hawks,2019,De'Andre Hunter,21,SF,"$7,068,360 ",Rookie
Atlanta Hawks,2019,Trae Young,21,PG,"$6,273,000 ",Rookie
Atlanta Hawks,2019,Cam Reddish,20,SF,"$4,245,720 ",Rookie
Atlanta Hawks,2019,John Collins,22,PF,"$2,686,560 ",Rookie
Atlanta Hawks,2019,Kevin Huerter,21,SG,"$2,636,280 ",Rookie
Atlanta Hawks,2019,DeAndre' Bembry,25,SF,"$2,603,982 ",Rookie
Atlanta Hawks,2019,Skal Labissiere,23,PF,"$2,338,847 ",Rookie
Atlanta Hawks,2019,Damian Jones,24,C,"$2,305,057 ",Rookie
Atlanta Hawks,2019,Treveon Graham,25,SG,"$1,645,357 ",Minimum
Atlanta Hawks,2019,Vince Carter,42,SG,"$1,620,564 ",Minimum
Atlanta Hawks,2019,Bruno Fernando,21,C,"$1,400,000 ",Cap Space
Atlanta Hawks,2019,Brandon Goodwin,23,PG,"$522,738 ",Minimum
Boston Celtics,2018,Gordon Hayward,28,SF,"$31,214,295 ",Cap Space
