Name,Contract Value,Year,Team,Type
Alex Abrines,5994764,2016,Oklahoma City Thunder,Rookie
Alex Abrines,5725000,2017,Oklahoma City Thunder,Rookie
Quincy Acy,665000,2012,Toronto Raptors,Rookie
Quincy Acy,788872,2013,Toronto Raptors,Rookie
Quincy Acy,915243,2014,New York Knicks,Rookie
Quincy Acy,981348,2015,Sacramento Kings,Rookie
Quincy Acy,1914544,2016,Brooklyn Nets,Non-rookie
Quincy Acy,1709538,2017,Brooklyn Nets,Non-rookie
Jordan Adams,1344120,2014,Memphis Grizzlies,Rookie
Jordan Adams,1404600,2015,Memphis Grizzlies,Rookie
Jordan Adams,1465080,2016,Memphis Grizzlies,Rookie
Steven Adams,2090880,2013,Oklahoma City Thunder,Rookie
Steven Adams,2184960,2014,Oklahoma City Thunder,Rookie
Steven Adams,2279040,2015,Oklahoma City Thunder,Rookie
Steven Adams,3140517,2016,Oklahoma City Thunder,Rookie
Steven Adams,22471910,2017,Oklahoma City Thunder,Non-rookie
Bam Adebayo,2490360,2017,Miami Heat,Rookie
Jeff Adrien,"$342,666.00 ",2010,Golden State Warriors,Rookie
Jeff Adrien,270427,2011,Houston Rockets,Rookie
Jeff Adrien,804131,2012,Charlotte Hornets,Rookie
Jeff Adrien,916099,2013,Charlotte Hornets,Rookie
Jeff Adrien,981084,2014,Houston Rockets,Non-rookie
Arron Afflalo,"$1,959,577.00 ",2010,Denver Nuggets,Rookie
Arron Afflalo,7562500,2011,Denver Nuggets,Non-rookie
Arron Afflalo,7750000,2012,Orlando Magic,Non-rookie
Arron Afflalo,7312500,2013,Orlando Magic,Non-rookie
Arron Afflalo,7750000,2014,Portland Trailblazers,Non-rookie
Arron Afflalo,8000000,2015,New York Knicks,Non-rookie
Arron Afflalo,12500000,2016,Sacramento Kings,Non-rookie
Arron Afflalo,1500000,2017,Sacramento Kings,Non-rookie
Maurice Ager,"$83,305.00 ",2010,Minnesota Timberwolves,Non-rookie
Alexis Ajinca,"$1,467,840.00 ",2010,Toronto Raptors,Rookie
Alexis Ajinca,981084,2014,New Orleans Pelicans,Non-rookie
Alexis Ajinca,4300000,2015,New Orleans Pelicans,Non-rookie
Alexis Ajinca,4600000,2016,New Orleans Pelicans,Non-rookie
Alexis Ajinca,4961798,2017,New Orleans Pelicans,Non-rookie
Josh Akognon,788872,2013,Memphis Grizzlies,Rookie
Solomon Alabi,"$770,000.00 ",2010,Toronto Raptors,Rookie
Solomon Alabi,830000,2011,Toronto Raptors,Rookie
Furkan Aldemir,3000000,2014,Philadelphia 76ers,Rookie
Furkan Aldemir,3000000,2015,Philadelphia 76ers,Rookie
Cole Aldrich,"$2,126,520.00 ",2010,Oklahoma City Thunder,Rookie
Cole Aldrich,2286000,2011,Oklahoma City Thunder,Rookie
Cole Aldrich,2445480,2012,Sacramento Kings,Rookie
Cole Aldrich,981084,2014,New York Knicks,Non-rookie
Cole Aldrich,1100600,2015,Los Angeles Clippers,Non-rookie
Cole Aldrich,7643979,2016,Minnesota Timberwolves,Non-rookie
Cole Aldrich,7300000,2017,Minnesota Timberwolves,Non-rookie
LaMarcus Aldridge,"$11,244,000.00 ",2010,Portland Trailblazers,Non-rookie
LaMarcus Aldridge,12372000,2011,Portland Trailblazers,Non-rookie
LaMarcus Aldridge,13500000,2012,Portland Trailblazers,Non-rookie
LaMarcus Aldridge,14128000,2013,Portland Trailblazers,Non-rookie
LaMarcus Aldridge,16006000,2014,Portland Trailblazers,Non-rookie
LaMarcus Aldridge,19500000,2015,San Antonio Spurs,Non-rookie
LaMarcus Aldridge,20575005,2016,San Antonio Spurs,Non-rookie
LaMarcus Aldridge,21461010,2017,San Antonio Spurs,Non-rookie
Cliff Alexander,525093,2015,Portland Trailblazers,Rookie
Cliff Alexander,51449,2016,Brooklyn Nets,Rookie
Joe Alexander,"$90,465.00 ",2010,New Orleans Pelicans,Rookie
Jarrett Allen,1713720,2017,Brooklyn Nets,Rookie
Lavoy Allen,473604,2011,Philadelphia 76ers,Rookie
Lavoy Allen,3000000,2012,Philadelphia 76ers,Rookie
Lavoy Allen,3060000,2013,Philadelphia 76ers,Rookie
Lavoy Allen,948163,2014,Indiana Pacers,Rookie
Lavoy Allen,3700000,2015,Indiana Pacers,Non-rookie
Lavoy Allen,4000000,2016,Indiana Pacers,Non-rookie
Malik Allen,"$1,229,255.00 ",2010,Orlando Magic,Non-rookie
