"","Year","Pick","Name","Team"
"1",2019,1,"Zion Williamson","New Orleans Pelicans"
"2",2019,2,"Ja Morant","Memphis Grizzlies"
"3",2019,3,"RJ Barrett","New York Knicks"
"4",2019,4,"De'Andre Hunter","Los Angeles Lakers"
"5",2019,5,"Darius Garland","Cleveland Cavaliers"
"6",2019,6,"Jarrett Culver","Phoenix Suns"
"7",2019,7,"Coby White","Chicago Bulls"
"8",2019,8,"Jaxson Hayes","Atlanta Hawks"
"9",2019,9,"Rui Hachimura","Washington Wizards"
"10",2019,10,"Cam Reddish","Atlanta Hawks"
"11",2019,11,"Cameron Johnson","Minnesota Timberwolves"
"12",2019,12,"P.J. Washington","Charlotte Hornets"
"13",2019,13,"Tyler Herro","Miami Heat"
"14",2019,14,"Romeo Langford","Boston Celtics"
"15",2019,15,"Sekou Doumbouya","Detroit Pistons"
"16",2019,16,"Chuma Okeke","Orlando Magic"
"17",2019,17,"Nickeil Alexander-Walker","Brooklyn Nets"
"18",2019,18,"Goga Bitadze","Indiana Pacers"
"19",2019,19,"Luka Samanic","San Antonio Spurs"
"20",2019,20,"Matisse Thybulle","Boston Celtics"
"21",2019,21,"Brandon Clarke","Oklahoma City Thunder"
"22",2019,22,"Grant Williams","Boston Celtics"
"23",2019,23,"Darius Bazley","Utah Jazz"
"24",2019,24,"Ty Jerome","Philadelphia 76ers"
"25",2019,25,"Nassir Little","Portland Trail Blazers"
"26",2019,26,"Dylan Windler","Cleveland Cavaliers"
"27",2019,27,"Mfiondu Kabengele","Brooklyn Nets"
"28",2019,28,"Jordan Poole","Golden State Warriors"
"29",2019,29,"Keldon Johnson","San Antonio Spurs"
"30",2019,30,"Kevin Porter Jr.","Milwaukee Bucks"
"31",2019,31,"Nicolas Claxton","Brooklyn Nets"
"32",2019,32,"KZ Okpala","Phoenix Suns"
"33",2019,33,"Carsen Edwards","Philadelphia 76ers"
"34",2019,34,"Bruno Fernando","Philadelphia 76ers"
"35",2019,35,"Marcos Louzada Silva","Atlanta Hawks"
"36",2019,36,"Cody Martin","Charlotte Hornets"
"37",2019,37,"Deividas Sirvydis","Dallas Mavericks"
"38",2019,38,"Daniel Gafford","Chicago Bulls"
"39",2019,39,"Alen Smailagic","New Orleans Pelicans"
"40",2019,40,"Justin James","Sacramento Kings"
"41",2019,41,"Eric Paschall","Golden State Warriors"
"42",2019,42,"Admiral Schofield","Philadelphia 76ers"
"43",2019,43,"Jaylen Nowell","Minnesota Timberwolves"
"44",2019,44,"Bol Bol","Miami Heat"
"45",2019,45,"Isaiah Roby","Detroit Pistons"
"46",2019,46,"Talen Horton-Tucker","Orlando Magic"
"47",2019,47,"Ignas Brazdeikis","Sacramento Kings"
"48",2019,48,"Terance Mann","LA Clippers"
