rating,Team,mu,sd,name,coefs,index,player_id
13.21905832,Houston Rockets,8.199831667,5,Chris Paul,3.519129603,358,101108
13.21905832,Houston Rockets,0.778173333,5,Clint Capela,-0.888388905,432,203991
13.21905832,Houston Rockets,4.31434,5,Eric Gordon,4.910092215,75,201569
13.21905832,Houston Rockets,0.066666667,5,Isaiah Canaan,-6.209009575,433,203477
13.21905832,Houston Rockets,9.433133,5,James Harden,8.733328601,207,201935
13.21905832,Houston Rockets,0.705651667,5,Luc Mbah a Moute,-5.932944315,209,201601
13.21905832,Houston Rockets,6.526151667,5,Ryan Anderson,-1.816492879,236,201583
13.21905832,Houston Rockets,2.473637333,5,Trevor Ariza,-3.092558021,359,2772
13.21905832,Houston Rockets,0.490460667,5,Troy Williams,-1.49669163,237,1627786
13.21905832,Houston Rockets,0.271871667,5,Zhou Qi,-0.435868456,370,1627753
12.68894695,Golden State Warriors,4.938271667,5,Andre Iguodala,-1.374854,102,2738
12.68894695,Golden State Warriors,0.437537,5,Damian Jones,2.29244699,202,1627745
12.68894695,Golden State Warriors,5.466666667,5,Draymond Green,2.534582666,20,203110
12.68894695,Golden State Warriors,0.705651667,5,JaVale McGee,3.457613528,88,201580
12.68894695,Golden State Warriors,0.271871667,5,Jordan Bell,0.745723479,22,1628395
12.68894695,Golden State Warriors,8.333333333,5,Kevin Durant,1.804896411,403,201142
12.68894695,Golden State Warriors,0.490460667,5,Kevon Looney,3.87527702,500,1626172
12.68894695,Golden State Warriors,5.94205,5,Klay Thompson,1.778056212,80,202691
12.68894695,Golden State Warriors,1.730666667,5,Nick Young,-2.690505279,276,201156
12.68894695,Golden State Warriors,0.702156667,5,Omri Casspi,2.582217173,218,201956
12.68894695,Golden State Warriors,0.437537,5,Patrick McCaw,-2.049389372,286,1627775
12.68894695,Golden State Warriors,2.564102667,5,Shaun Livingston,-2.37554796,103,2733
12.68894695,Golden State Warriors,11.56085,5,Stephen Curry,10.2252196,317,201939
12.68894695,Golden State Warriors,1.1592,5,Zaza Pachulia,-1.717101597,292,2585
9.70057401,Philadelphia 76ers,3.666666667,5,Amir Johnson,-3.053483882,9,101161
9.70057401,Philadelphia 76ers,2.05628,5,Ben Simmons,-1.943207998,381,1627732
9.70057401,Philadelphia 76ers,0.80752,5,Dario Saric,3.551428648,494,203967
9.70057401,Philadelphia 76ers,0.48864,5,Furkan Korkmaz,1.551903435,214,1627788
9.70057401,Philadelphia 76ers,1.66504,5,Jahlil Okafor,-1.665633528,497,1626143
9.70057401,Philadelphia 76ers,3,5,Jerryd Bayless,1.438048069,153,201573
9.70057401,Philadelphia 76ers,2.033422,5,Joel Embiid,7.2960834,190,203954
9.70057401,Philadelphia 76ers,0.52648,5,Justin Anderson,-0.544061967,179,1626147
9.70057401,Philadelphia 76ers,2.34208,5,Markelle Fultz,-4.95090715,213,1628365
9.70057401,Philadelphia 76ers,1.269048667,5,Nik Stauskas,-5.223402556,107,203917
9.70057401,Philadelphia 76ers,0.490460667,5,Richaun Holmes,-0.500037423,48,1626158
9.70057401,Philadelphia 76ers,5.566034333,5,Robert Covington,6.690148914,212,203496
9.70057401,Philadelphia 76ers,0.490460667,5,T.J. McConnell,-12.6039306,11,204456
9.70057401,Philadelphia 76ers,0.4622,5,Timothe Luwawu-Cabarrot,-1.704618126,306,1627789
9.675652863,Utah Jazz,3.615168667,5,Alec Burks,0.769787093,53,202692
9.675652863,Utah Jazz,1.664128333,5,Dante Exum,-0.769369925,379,203957
9.675652863,Utah Jazz,4,5,Derrick Favors,-4.817264057,280,202324
9.675652863,Utah Jazz,0.87376,5,Donovan Mitchell,1.848238843,459,1628378
9.675652863,Utah Jazz,1.066666667,5,Ekpe Udoh,0.764946502,421,202327
9.675652863,Utah Jazz,4.712121333,5,Joe Ingles,3.694452938,503,204060
9.675652863,Utah Jazz,1.333333333,5,Jonas Jerebko,3.847145697,411,201973
9.675652863,Utah Jazz,0.490460667,5,Raul Neto,5.165582472,169,203526
9.675652863,Utah Jazz,4.758333333,5,Ricky Rubio,7.459913796,170,201937
9.675652863,Utah Jazz,0.795621333,5,Rodney Hood,-0.334802592,227,203918
9.675652863,Utah Jazz,7.324906333,5,Rudy Gobert,2.266193752,112,203497
9.675652863,Utah Jazz,1.75,5,Thabo Sefolosha,0.331144953,337,200757
9.675652863,Utah Jazz,0.47164,5,Tony Bradley,-1.363162455,444,1628396
8.526489449,Oklahoma City Thunder,1.908333333,5,Alex Abrines,-5.679993164,245,203518
