X,Unnamed..0,rating,Team,mu,sd,name,Contract.Value,Year,Type,coefs,index,player_id,player_name
0,0,6.894414691,Houston Rockets,0.508101667,5,Bobby Brown,"$1,524,305.00 ",2017,Non-rookie,-2.826782565,387,201628,Bobby Brown
1,2,6.894414691,Houston Rockets,8.199831667,5,Chris Paul,"$24,599,495.00 ",2017,Non-rookie,4.8505246,435,101108,Chris Paul
2,4,6.894414691,Houston Rockets,4.31434,5,Eric Gordon,"$12,943,020.00 ",2017,Non-rookie,5.520604807,19,201569,Eric Gordon
3,7,6.894414691,Houston Rockets,9.433133,5,James Harden,"$28,299,399.00 ",2017,Non-rookie,8.102053337,16,201935,James Harden
4,8,6.894414691,Houston Rockets,0.705651667,5,Luc Mbah a Moute,"$2,116,955.00 ",2017,Non-rookie,0.160668986,14,201601,Luc Mbah a Moute
5,9,6.894414691,Houston Rockets,6.526151667,5,Ryan Anderson,"$19,578,455.00 ",2017,Non-rookie,0.920300616,149,201583,Ryan Anderson
6,11,6.894414691,Houston Rockets,2.473637333,5,Trevor Ariza,"$7,420,912.00 ",2017,Non-rookie,-3.928961887,369,2772,Trevor Ariza
7,14,13.43031611,Golden State Warriors,4.938271667,5,Andre Iguodala,"$14,814,815.00 ",2017,Non-rookie,-1.185310332,198,2738,Andre Iguodala
8,16,13.43031611,Golden State Warriors,0.776217333,5,David West,"$2,328,652.00 ",2017,Non-rookie,-6.396648041,37,2561,David West
9,17,13.43031611,Golden State Warriors,5.466666667,5,Draymond Green,"$16,400,000.00 ",2017,Non-rookie,1.122723521,199,203110,Draymond Green
10,18,13.43031611,Golden State Warriors,0.705651667,5,JaVale McGee,"$2,116,955.00 ",2017,Non-rookie,-0.311422859,204,201580,JaVale McGee
11,20,13.43031611,Golden State Warriors,8.333333333,5,Kevin Durant,"$25,000,000.00 ",2017,Non-rookie,6.219605682,391,201142,Kevin Durant
12,22,13.43031611,Golden State Warriors,5.94205,5,Klay Thompson,"$17,826,150.00 ",2017,Non-rookie,-1.163799904,157,202691,Klay Thompson
13,23,13.43031611,Golden State Warriors,1.730666667,5,Nick Young,"$5,192,000.00 ",2017,Non-rookie,0.262481359,35,201156,Nick Young
14,24,13.43031611,Golden State Warriors,0.702156667,5,Omri Casspi,"$2,106,470.00 ",2017,Non-rookie,-1.966010933,36,201956,Omri Casspi
15,26,13.43031611,Golden State Warriors,2.564102667,5,Shaun Livingston,"$7,692,308.00 ",2017,Non-rookie,-2.498496359,293,2733,Shaun Livingston
16,27,13.43031611,Golden State Warriors,11.56085,5,Stephen Curry,"$34,682,550.00 ",2017,Non-rookie,8.730764244,290,201939,Stephen Curry
17,28,13.43031611,Golden State Warriors,1.1592,5,Zaza Pachulia,"$3,477,600.00 ",2017,Non-rookie,-1.482219981,455,2585,Zaza Pachulia
18,29,-4.722418349,Philadelphia 76ers,3.666666667,5,Amir Johnson,"$11,000,000.00 ",2017,Non-rookie,-2.609948759,93,101161,Amir Johnson
19,34,-4.722418349,Philadelphia 76ers,3,5,Jerryd Bayless,"$9,000,000.00 ",2017,Non-rookie,0.646191876,40,201573,Jerryd Bayless
21,40,-4.722418349,Philadelphia 76ers,5.566034333,5,Robert Covington,"$16,698,103.00 ",2017,Non-rookie,4.369223219,38,203496,Robert Covington
22,43,4.969595181,Utah Jazz,3.615168667,5,Alec Burks,"$10,845,506.00 ",2017,Non-rookie,-10.39537192,113,202692,Alec Burks
23,45,4.969595181,Utah Jazz,4,5,Derrick Favors,"$12,000,000.00 ",2017,Non-rookie,-1.137107826,282,202324,Derrick Favors
24,47,4.969595181,Utah Jazz,1.066666667,5,Ekpe Udoh,"$3,200,000.00 ",2017,Non-rookie,3.623603865,406,202327,Ekpe Udoh
25,48,4.969595181,Utah Jazz,4.712121333,5,Joe Ingles,"$14,136,364.00 ",2017,Non-rookie,3.967437037,480,204060,Joe Ingles
26,49,4.969595181,Utah Jazz,3.501666667,5,Joe Johnson,"$10,505,000.00 ",2017,Non-rookie,0.541396889,499,2207,Joe Johnson
27,51,4.969595181,Utah Jazz,1.333333333,5,Jonas Jerebko,"$4,000,000.00 ",2017,Non-rookie,-2.391235733,323,201973,Jonas Jerebko
28,53,4.969595181,Utah Jazz,4.758333333,5,Ricky Rubio,"$14,275,000.00 ",2017,Non-rookie,3.089646521,109,201937,Ricky Rubio
29,55,4.969595181,Utah Jazz,7.324906333,5,Rudy Gobert,"$21,974,719.00 ",2017,Non-rookie,1.203571778,143,203497,Rudy Gobert
30,56,4.969595181,Utah Jazz,1.75,5,Thabo Sefolosha,"$5,250,000.00 ",2017,Non-rookie,-4.455827307,386,200757,Thabo Sefolosha
31,58,2.082185522,Oklahoma City Thunder,1.908333333,5,Alex Abrines,"$5,725,000.00 ",2017,Non-rookie,5.800316078,103,203518,Alex Abrines
32,59,2.082185522,Oklahoma City Thunder,3.086419667,5,Andre Roberson,"$9,259,259.00 ",2017,Non-rookie,1.054220732,129,203460,Andre Roberson
33,60,2.082185522,Oklahoma City Thunder,8.74792,5,Carmelo Anthony,"$26,243,760.00 ",2017,Non-rookie,10.38906667,102,2546,Carmelo Anthony
34,64,2.082185522,Oklahoma City Thunder,1.5555,5,Kyle Singler,"$4,666,500.00 ",2017,Non-rookie,-1.293948115,468,202713,Kyle Singler
35,65,2.082185522,Oklahoma City Thunder,0.776217333,5,Nick Collison,"$2,328,652.00 ",2017,Non-rookie,-2.006443122,442,2555,Nick Collison
36,66,2.082185522,Oklahoma City Thunder,1.730666667,5,Patrick Patterson,"$5,192,000.00 ",2017,Non-rookie,-10.21654114,510,202335,Patrick Patterson
37,67,2.082185522,Oklahoma City Thunder,6.502986,5,Paul George,"$19,508,958.00 ",2017,Non-rookie,-4.728312272,416,202331,Paul George
38,68,2.082185522,Oklahoma City Thunder,0.776217333,5,Raymond Felton,"$2,328,652.00 ",2017,Non-rookie,-0.229702983,234,101109,Raymond Felton
39,69,2.082185522,Oklahoma City Thunder,9.510202667,5,Russell Westbrook,"$28,530,608.00 ",2017,Non-rookie,6.133106676,130,201566,Russell Westbrook
40,70,2.082185522,Oklahoma City Thunder,7.490636667,5,Steven Adams,"$22,471,910.00 ",2017,Non-rookie,6.070395456,100,203500,Steven Adams
41,73,2.709757135,Boston Celtics,9.244801667,5,Al Horford,"$27,734,405.00 ",2017,Non-rookie,1.971780364,418,201143,Al Horford
42,74,2.709757135,Boston Celtics,1.442666667,5,Aron Baynes,"$4,328,000.00 ",2017,Non-rookie,-9.140388239,324,203382,Aron Baynes
43,77,2.709757135,Boston Celtics,9.9093,5,Gordon Hayward,"$29,727,900.00 ",2017,Non-rookie,0.569601533,538,202330,Gordon Hayward
44,81,2.709757135,Boston Celtics,6.289541667,5,Kyrie Irving,"$18,868,625.00 ",2017,Non-rookie,6.052479082,481,202681,Kyrie Irving
45,82,2.709757135,Boston Celtics,1.666666667,5,Marcus Morris,"$5,000,000.00 ",2017,Non-rookie,-1.382766102,118,202694,Marcus Morris
46,85,2.709757135,Boston Celtics,0.508101667,5,Shane Larkin,"$1,524,305.00 ",2017,Non-rookie,0.381259293,135,203499,Shane Larkin
47,89,8.154010436,San Antonio Spurs,3.333333333,5,Danny Green,"$10,000,000.00 ",2017,Non-rookie,4.247937158,508,201980,Danny Green
48,94,8.154010436,San Antonio Spurs,6.289541667,5,Kawhi Leonard,"$18,868,625.00 ",2017,Non-rookie,7.469447441,79,202695,Kawhi Leonard
49,96,8.154010436,San Antonio Spurs,7.15367,5,LaMarcus Aldridge,"$21,461,010.00 ",2017,Non-rookie,5.333597095,156,200746,LaMarcus Aldridge
50,97,8.154010436,San Antonio Spurs,0.833333333,5,Manu Ginobili,"$2,500,000.00 ",2017,Non-rookie,1.001509283,428,1938,Manu Ginobili
51,98,8.154010436,San Antonio Spurs,3.571428667,5,Patty Mills,"$10,714,286.00 ",2017,Non-rookie,1.011038678,147,201988,Patty Mills
52,99,8.154010436,San Antonio Spurs,5.333333333,5,Pau Gasol,"$16,000,000.00 ",2017,Non-rookie,-3.821007637,477,2200,Pau Gasol
53,100,8.154010436,San Antonio Spurs,2.802,5,Rudy Gay,"$8,406,000.00 ",2017,Non-rookie,3.024978458,223,200752,Rudy Gay
54,101,8.154010436,San Antonio Spurs,5.151042,5,Tony Parker,"$15,453,126.00 ",2017,Non-rookie,-3.894915022,345,2225,Tony Parker
55,102,0.487595368,Minnesota Timberwolves,0.705651667,5,Aaron Brooks,"$2,116,955.00 ",2017,Non-rookie,-5.138802222,307,201166,Aaron Brooks
56,103,0.487595368,Minnesota Timberwolves,2.524774,5,Andrew Wiggins,"$7,574,322.00 ",2017,Non-rookie,-3.209102887,312,203952,Andrew Wiggins
