X,Unnamed..0,rating,Team,mu,sd,name,Contract.Value,Year,Type,coefs,index,player_id,player_name
0,1,6.894414691,Houston Rockets,0.437537,5,Chinanu Onuaku,"$1,312,611.00 ",2017,Rookie,-1.631243054,530,1627778,Chinanu Onuaku
1,3,6.894414691,Houston Rockets,0.778173333,5,Clint Capela,"$2,334,520.00 ",2017,Rookie,0.212787112,460,203991,Clint Capela
2,5,6.894414691,Houston Rockets,0.066666667,5,Isaiah Canaan,"$200,000.00 ",2017,Rookie,2.383798721,404,203477,Isaiah Canaan
3,10,6.894414691,Houston Rockets,1.096666667,5,Tarik Black,"$3,290,000.00 ",2017,Rookie,-0.973460808,459,204028,Tarik Black
4,12,6.894414691,Houston Rockets,0.490460667,5,Troy Williams,"$1,471,382.00 ",2017,Rookie,0.68678754,238,1627786,Troy Williams
5,13,6.894414691,Houston Rockets,0.271871667,5,Zhou Qi,"$815,615.00 ",2017,Rookie,-1.192312649,287,1627753,Zhou Qi
6,15,13.43031611,Golden State Warriors,0.437537,5,Damian Jones,"$1,312,611.00 ",2017,Rookie,-1.175021422,242,1627745,Damian Jones
7,19,13.43031611,Golden State Warriors,0.271871667,5,Jordan Bell,"$815,615.00 ",2017,Rookie,4.275907773,241,1628395,Jordan Bell
8,21,13.43031611,Golden State Warriors,0.490460667,5,Kevon Looney,"$1,471,382.00 ",2017,Rookie,4.704462675,472,1626172,Kevon Looney
9,25,13.43031611,Golden State Warriors,0.437537,5,Patrick McCaw,"$1,312,611.00 ",2017,Rookie,-1.490965604,504,1627775,Patrick McCaw
10,30,-4.722418349,Philadelphia 76ers,2.05628,5,Ben Simmons,"$6,168,840.00 ",2017,Rookie,4.737778158,439,1627732,Ben Simmons
11,31,-4.722418349,Philadelphia 76ers,0.80752,5,Dario Saric,"$2,422,560.00 ",2017,Rookie,0.912509956,505,203967,Dario Saric
12,32,-4.722418349,Philadelphia 76ers,0.48864,5,Furkan Korkmaz,"$1,465,920.00 ",2017,Rookie,-3.09863089,374,1627788,Furkan Korkmaz
13,33,-4.722418349,Philadelphia 76ers,1.66504,5,Jahlil Okafor,"$4,995,120.00 ",2017,Rookie,-6.114323679,509,1626143,Jahlil Okafor
14,35,-4.722418349,Philadelphia 76ers,2.033422,5,Joel Embiid,"$6,100,266.00 ",2017,Rookie,5.603896029,314,203954,Joel Embiid
15,36,-4.722418349,Philadelphia 76ers,0.52648,5,Justin Anderson,"$1,579,440.00 ",2017,Rookie,-8.838457284,42,1626147,Justin Anderson
16,38,-4.722418349,Philadelphia 76ers,1.269048667,5,Nik Stauskas,"$3,807,146.00 ",2017,Rookie,-7.529376473,308,203917,Nik Stauskas
