,Name,Team,Season,Salary,Type
39,Alex Abrines,Oklahoma City Thunder,2016,5994764,Rookie
40,Alex Abrines,Oklahoma City Thunder,2017,5725000,Rookie
49,Quincy Acy,Toronto Raptors,2012,665000,Rookie
50,Quincy Acy,Toronto Raptors,2013,788872,Rookie
51,Quincy Acy,New York Knicks,2014,915243,Rookie
52,Quincy Acy,Sacramento Kings,2015,981348,Rookie
53,Quincy Acy,Brooklyn Nets,2016,1914544,Non-rookie
54,Quincy Acy,Dallas Mavericks,2016,1050961,Non-rookie
55,Quincy Acy,Brooklyn Nets,2017,1709538,Non-rookie
61,Jordan Adams,Memphis Grizzlies,2014,1344120,Rookie
62,Jordan Adams,Memphis Grizzlies,2015,1404600,Rookie
63,Jordan Adams,Memphis Grizzlies,2016,1465080,Rookie
72,Steven Adams,Oklahoma City Thunder,2013,2090880,Rookie
73,Steven Adams,Oklahoma City Thunder,2014,2184960,Rookie
74,Steven Adams,Oklahoma City Thunder,2015,2279040,Rookie
75,Steven Adams,Oklahoma City Thunder,2016,3140517,Rookie
76,Steven Adams,Oklahoma City Thunder,2017,22471910,Non-rookie
82,Bam Adebayo,Miami Heat,2017,2490360,Rookie
83,Jeff Adrien,Golden State Warriors,2010,342666,Rookie
84,Jeff Adrien,Houston Rockets,2011,270427,Rookie
85,Jeff Adrien,Charlotte Bobcats,2012,804131,Rookie
86,Jeff Adrien,Charlotte Bobcats,2013,916099,Rookie
87,Jeff Adrien,Houston Rockets,2014,981084,Non-rookie
91,Arron Afflalo,Denver Nuggets,2010,1959577,Rookie
92,Arron Afflalo,Denver Nuggets,2011,7562500,Non-rookie
93,Arron Afflalo,Orlando Magic,2012,7750000,Non-rookie
94,Arron Afflalo,Orlando Magic,2013,7312500,Non-rookie
95,Arron Afflalo,Portland Trail Blazers,2014,7750000,Non-rookie
96,Arron Afflalo,New York Knicks,2015,8000000,Non-rookie
97,Arron Afflalo,Sacramento Kings,2016,12500000,Non-rookie
98,Arron Afflalo,Sacramento Kings,2017,1500000,Non-rookie
99,Arron Afflalo,Orlando Magic,2017,1471382,Non-rookie
103,Maurice Ager,Minnesota Timberwolves,2010,83305,Non-rookie
125,Alexis Ajinca,Toronto Raptors,2010,1467840,Rookie
126,Alexis Ajinca,New Orleans Pelicans,2014,981084,Non-rookie
127,Alexis Ajinca,New Orleans Pelicans,2015,4300000,Non-rookie
128,Alexis Ajinca,New Orleans Pelicans,2016,4600000,Non-rookie
129,Alexis Ajinca,New Orleans Pelicans,2017,4961798,Non-rookie
130,Josh Akognon,Memphis Grizzlies,2013,788872,Rookie
131,Solomon Alabi,Toronto Raptors,2010,770000,Rookie
132,Solomon Alabi,Toronto Raptors,2011,830000,Rookie
137,Furkan Aldemir,Philadelphia 76ers,2014,3000000,Rookie
138,Furkan Aldemir,Philadelphia 76ers,2015,3000000,Rookie
139,Cole Aldrich,Oklahoma City Thunder,2010,2126520,Rookie
140,Cole Aldrich,Oklahoma City Thunder,2011,2286000,Rookie
141,Cole Aldrich,Sacramento Kings,2012,2445480,Rookie
142,Cole Aldrich,New York Knicks,2014,981084,Non-rookie
143,Cole Aldrich,Los Angeles Clippers,2015,1100600,Non-rookie
144,Cole Aldrich,Minnesota Timberwolves,2016,7643979,Non-rookie
145,Cole Aldrich,Minnesota Timberwolves,2017,7300000,Non-rookie
150,LaMarcus Aldridge,Portland Trail Blazers,2010,11244000,Non-rookie
151,LaMarcus Aldridge,Portland Trail Blazers,2011,12372000,Non-rookie
