"","Name","Team","Season","Salary"
"1","Alaa Abdelnaby","Portland Trail Blazers",1990,395000
"2","Alaa Abdelnaby","Portland Trail Blazers",1991,494000
"3","Alaa Abdelnaby","Boston Celtics",1992,500000
"4","Alaa Abdelnaby","Boston Celtics",1993,805000
"5","Alaa Abdelnaby","Sacramento Kings",1994,650000
"6","Kareem Abdul-Jabbar","Los Angeles Lakers",1984,1530000
"7","Kareem Abdul-Jabbar","Los Angeles Lakers",1985,2030000
"8","Kareem Abdul-Jabbar","Los Angeles Lakers",1987,2000000
"9","Kareem Abdul-Jabbar","Los Angeles Lakers",1988,3000000
"10","Mahmoud Abdul-Rauf","Denver Nuggets",1990,1660000
"11","Mahmoud Abdul-Rauf","Denver Nuggets",1991,2008000
"12","Mahmoud Abdul-Rauf","Denver Nuggets",1992,2358000
"13","Mahmoud Abdul-Rauf","Denver Nuggets",1993,1825000
"14","Mahmoud Abdul-Rauf","Denver Nuggets",1994,2200000
"15","Mahmoud Abdul-Rauf","Denver Nuggets",1995,2600000
"16","Mahmoud Abdul-Rauf","Sacramento Kings",1996,3100000
"17","Mahmoud Abdul-Rauf","Sacramento Kings",1997,3300000
"18","Mahmoud Abdul-Rauf","Vancouver Grizzlies",2000,798500
"19","Tariq Abdul-Wahad","Sacramento Kings",1997,1226880
"20","Tariq Abdul-Wahad","Sacramento Kings",1998,1411000
"21","Tariq Abdul-Wahad","Denver Nuggets",1999,1594920
"22","Tariq Abdul-Wahad","Denver Nuggets",2000,4500000
"23","Tariq Abdul-Wahad","Denver Nuggets",2001,5062500
"24","Tariq Abdul-Wahad","Dallas Mavericks",2002,5625000
"25","Tariq Abdul-Wahad","Dallas Mavericks",2003,6187500
"26","Tariq Abdul-Wahad","Dallas Mavericks",2004,6750000
"27","Tariq Abdul-Wahad","Dallas Mavericks",2005,3656250
"28","Tariq Abdul-Wahad","Dallas Mavericks",2006,1968750
"29","Shareef Abdur-Rahim","Vancouver Grizzlies",1996,2186000
"30","Shareef Abdur-Rahim","Vancouver Grizzlies",1999,9000000
"31","Shareef Abdur-Rahim","Vancouver Grizzlies",2000,10130000
"32","Shareef Abdur-Rahim","Atlanta Hawks",2001,11250000
"33","Shareef Abdur-Rahim","Atlanta Hawks",2002,12375000
"34","Shareef Abdur-Rahim","Atlanta Hawks",2003,13500000
"35","Shareef Abdur-Rahim","Portland Trail Blazers",2004,14625000
"36","Shareef Abdur-Rahim","Sacramento Kings",2005,5000000
"37","Shareef Abdur-Rahim","Sacramento Kings",2006,5400000
"38","Shareef Abdur-Rahim","Sacramento Kings",2007,5800000
"39","Shareef Abdur-Rahim","Sacramento Kings",2009,6600000
"40","Alex Abrines","Oklahoma City Thunder",2016,5994764
"41","Alex Abrines","Oklahoma City Thunder",2017,5725000
"42","Alex Acker","Detroit Pistons",2005,398762
"43","Alex Acker","Detroit Pistons",2006,839209
"44","Alex Acker","Los Angeles Clippers",2008,711517
"45","Mark Acres","Boston Celtics",1987,75000
"46","Mark Acres","Boston Celtics",1988,300000
"47","Mark Acres","Orlando Magic",1990,437000
"48","Mark Acres","Orlando Magic",1991,547000
"49","Mark Acres","Houston Rockets",1992,250000
"50","Quincy Acy","Toronto Raptors",2012,665000
"51","Quincy Acy","Toronto Raptors",2013,788872
"52","Quincy Acy","New York Knicks",2014,915243
"53","Quincy Acy","Sacramento Kings",2015,981348
"54","Quincy Acy","Brooklyn Nets",2016,1914544
"55","Quincy Acy","Dallas Mavericks",2016,1050961
"56","Quincy Acy","Brooklyn Nets",2017,1709538
"57","Alvan Adams","Phoenix Suns",1984,500000
"58","Alvan Adams","Phoenix Suns",1985,600000
"59","Alvan Adams","Phoenix Suns",1987,675000
"60","Hassan Adams","New Jersey Nets",2006,412718
"61","Hassan Adams","Los Angeles Clippers",2008,297163
"62","Jordan Adams","Memphis Grizzlies",2014,1344120
"63","Jordan Adams","Memphis Grizzlies",2015,1404600
"64","Jordan Adams","Memphis Grizzlies",2016,1465080
"65","Michael Adams","Sacramento Kings",1985,85000
"66","Michael Adams","Denver Nuggets",1987,160000
"67","Michael Adams","Denver Nuggets",1988,375000
"68","Michael Adams","Denver Nuggets",1990,825000
"69","Michael Adams","Washington Bullets",1991,1309000
"70","Michael Adams","Washington Bullets",1992,1309000
"71","Michael Adams","Washington Bullets",1993,1309000
"72","Michael Adams","Charlotte Hornets",1994,1240000
"73","Steven Adams","Oklahoma City Thunder",2013,2090880
"74","Steven Adams","Oklahoma City Thunder",2014,2184960
"75","Steven Adams","Oklahoma City Thunder",2015,2279040
"76","Steven Adams","Oklahoma City Thunder",2016,3140517
"77","Steven Adams","Oklahoma City Thunder",2017,22471910
"78","Rafael Addison","New Jersey Nets",1991,311000
"79","Rafael Addison","New Jersey Nets",1992,522000
"80","Rafael Addison","Detroit Pistons",1994,250000
"81","Rafael Addison","Charlotte Hornets",1995,360000
"82","Rafael Addison","Charlotte Hornets",1996,290000
"83","Bam Adebayo","Miami Heat",2017,2490360
"84","Jeff Adrien","Golden State Warriors",2010,342666
"85","Jeff Adrien","Houston Rockets",2011,270427
"86","Jeff Adrien","Charlotte Bobcats",2012,804131
"87","Jeff Adrien","Charlotte Bobcats",2013,916099
"88","Jeff Adrien","Houston Rockets",2014,981084
"89","Arron Afflalo","Detroit Pistons",2007,944520
"90","Arron Afflalo","Detroit Pistons",2008,1015440
"91","Arron Afflalo","Denver Nuggets",2009,1086240
"92","Arron Afflalo","Denver Nuggets",2010,1959577
"93","Arron Afflalo","Denver Nuggets",2011,7562500
"94","Arron Afflalo","Orlando Magic",2012,7750000
"95","Arron Afflalo","Orlando Magic",2013,7312500
"96","Arron Afflalo","Portland Trail Blazers",2014,7750000
"97","Arron Afflalo","New York Knicks",2015,8000000
"98","Arron Afflalo","Sacramento Kings",2016,12500000
"99","Arron Afflalo","Sacramento Kings",2017,1500000
