,Team,rating,Type,mu,sd,name,player_id,index,player_name,coefs
0,Golden State Warriors,13.43031611,Rookie,0.2718716666666667,5,Jordan Bell,1628395.0,241,Jordan Bell,5.316412294147959
1,Golden State Warriors,13.43031611,Rookie,0.437537,5,Damian Jones,1627745.0,242,Damian Jones,-0.8415690432690655
2,Golden State Warriors,13.43031611,Rookie,0.4904606666666666,5,Kevon Looney,1626172.0,472,Kevon Looney,1.5075783026152205
3,Golden State Warriors,13.43031611,Rookie,0.437537,5,Patrick McCaw,1627775.0,504,Patrick McCaw,-3.707721702187877
4,San Antonio Spurs,8.154010436,Rookie,0.7172346666666667,5,Kyle Anderson,203937.0,81,Kyle Anderson,3.419759575897869
5,San Antonio Spurs,8.154010436,Rookie,0.437537,5,Davis Bertans,202722.0,80,Davis Bertans,1.640642567383896
6,San Antonio Spurs,8.154010436,Rookie,0.437537,5,Bryn Forbes,1627854.0,188,Bryn Forbes,-0.6431243468002421
7,San Antonio Spurs,8.154010436,Rookie,0.5081016666666667,5,Joffrey Lauvergne,203530.0,220,Joffrey Lauvergne,-3.1002993669218277
8,San Antonio Spurs,8.154010436,Rookie,0.437537,5,Dejounte Murray,1627749.0,82,Dejounte Murray,-1.573142583949739
9,San Antonio Spurs,8.154010436,Rookie,0.2718716666666667,5,Brandon Paul,203464.0,247,Brandon Paul,1.719746100425315
10,San Antonio Spurs,8.154010436,Rookie,0.4682,5,Derrick White,1628401.0,465,Derrick White,5.481280949166992
11,Houston Rockets,6.8944146910000015,Rookie,1.096666666666667,5,Tarik Black,204028.0,459,Tarik Black,-8.663307476491005
12,Houston Rockets,6.8944146910000015,Rookie,0.7781733333333334,5,Clint Capela,203991.0,460,Clint Capela,1.830320541313334
13,Houston Rockets,6.8944146910000015,Rookie,0.001536,5,Aaron Jackson,1628935.0,534,Aaron Jackson,0.4324038210023826
14,Houston Rockets,6.8944146910000015,Rookie,0.437537,5,Chinanu Onuaku,1627778.0,530,Chinanu Onuaku,-0.7710125425911531
15,Houston Rockets,6.8944146910000015,Rookie,0.2718716666666667,5,Zhou Qi,1627753.0,287,Zhou Qi,-2.4313655577787086
16,Houston Rockets,6.8944146910000015,Rookie,0.03213533333333333,5,Tim Quarterman,1627817.0,449,Tim Quarterman,0.15822478317018568
17,Houston Rockets,6.8944146910000015,Rookie,0.4904606666666666,5,Troy Williams,1627786.0,238,Troy Williams,-0.1762322260926178
18,Cleveland Cavaliers,5.695697826,Rookie,0.7956213333333333,5,Rodney Hood,203918.0,110,Rodney Hood,-1.0231652257658177
19,Cleveland Cavaliers,5.695697826,Rookie,0.4904606666666666,5,Larry Nance Jr.,1626204.0,316,Larry Nance Jr.,-0.2660223077244037
20,Cleveland Cavaliers,5.695697826,Rookie,0.8809523333333333,5,Cedi Osman,1626224.0,191,Cedi Osman,2.798994501695362
21,Cleveland Cavaliers,5.695697826,Rookie,0.5484,5,Ante Zizic,1627790.0,246,Ante Zizic,-4.767987156211071
22,Los Angeles Clippers,5.382403139,Rookie,0.5982,5,Sam Dekker,1626155.0,181,Sam Dekker,-0.20640692095826907
23,Los Angeles Clippers,5.382403139,Rookie,0.2718716666666667,5,Jawun Evans,1628393.0,70,Jawun Evans,-1.105920535368913
24,Los Angeles Clippers,5.382403139,Rookie,0.4904606666666666,5,Montrezl Harrell,1626149.0,71,Montrezl Harrell,-2.0205531491626765
25,Los Angeles Clippers,5.382403139,Rookie,2.333333333333333,5,Boban Marjanovic,1626246.0,159,Boban Marjanovic,1.5152373942691941
26,Los Angeles Clippers,5.382403139,Rookie,2.0,5,Milos Teodosic,1628462.0,318,Milos Teodosic,1.505733056877077
27,Los Angeles Clippers,5.382403139,Rookie,0.2718716666666667,5,Sindarius Thornwell,1628414.0,182,Sindarius Thornwell,-8.444776686073409
28,Utah Jazz,4.969595181,Rookie,0.47163999999999995,5,Tony Bradley,1628396.0,397,Tony Bradley,-0.7126377305393221
29,Utah Jazz,4.969595181,Rookie,1.6641283333333334,5,Dante Exum,203957.0,445,Dante Exum,1.3860446972226494
30,Utah Jazz,4.969595181,Rookie,0.87376,5,Donovan Mitchell,1628378.0,417,Donovan Mitchell,6.2119852931722725
31,Utah Jazz,4.969595181,Rookie,0.4904606666666666,5,Raul Neto,203526.0,112,Raul Neto,4.437491241938854
32,Utah Jazz,4.969595181,Rookie,0.2718716666666667,5,Royce O'Neale,1626220.0,111,Royce O'Neale,2.61292300794815
33,Utah Jazz,4.969595181,Rookie,0.06427100000000001,5,David Stockton,204065.0,265,David Stockton,-0.5275118841691636
34,Utah Jazz,4.969595181,Rookie,0.437537,5,Joel Bolomboy,1627762.0,536,Joel Bolomboy,-3.226776448869963
35,Boston Celtics,2.709757135,Rookie,1.6521599999999999,5,Jaylen Brown,1627759.0,117,Jaylen Brown,6.961905656217026
36,Boston Celtics,2.709757135,Rookie,0.014831666666666668,5,Jonathan Gibson,1626780.0,524,Jonathan Gibson,1.9584677306840508
37,Boston Celtics,2.709757135,Rookie,0.38911100000000004,5,Abdel Nader,1627846.0,134,Abdel Nader,-2.2087207054868783
38,Boston Celtics,2.709757135,Rookie,0.43063066666666666,5,Semi Ojeleye,1628400.0,202,Semi Ojeleye,-6.019008261971812
39,Boston Celtics,2.709757135,Rookie,0.66284,5,Terry Rozier,1626179.0,119,Terry Rozier,1.7885659864835368
40,Boston Celtics,2.709757135,Rookie,0.024719666666666668,5,Xavier Silas,202918.0,378,Xavier Silas,2.316006274196182
41,Boston Celtics,2.709757135,Rookie,1.512673333333333,5,Marcus Smart,203935.0,511,Marcus Smart,3.1708631420908038
42,Boston Celtics,2.709757135,Rookie,1.8818,5,Jayson Tatum,1628369.0,120,Jayson Tatum,3.7065041684076885
43,Boston Celtics,2.709757135,Rookie,0.2718716666666667,5,Daniel Theis,1628464.0,280,Daniel Theis,-2.168500943185676
44,Boston Celtics,2.709757135,Rookie,0.74916,5,Guerschon Yabusele,1627824.0,273,Guerschon Yabusele,1.5372959268377344
45,Boston Celtics,2.709757135,Rookie,0.03095266666666667,5,Demetrius Jackson,1627743.0,522,Demetrius Jackson,0.05230882723980057
46,Washington Wizards,2.37472787,Rookie,0.6666666666666666,5,Tim Frazier,204025.0,515,Tim Frazier,-0.4277571500995849
47,Washington Wizards,2.37472787,Rookie,0.4904606666666666,5,Chris McCullough,1626191.0,356,Chris McCullough,0.5466049486781106
48,Washington Wizards,2.37472787,Rookie,0.69768,5,Kelly Oubre Jr.,1626162.0,394,Kelly Oubre Jr.,-4.962271401142006
49,Washington Wizards,2.37472787,Rookie,1.0,5,Tomas Satoransky,203107.0,56,Tomas Satoransky,1.7102574426352142
50,Oklahoma City Thunder,2.082185522,Rookie,1.9083333333333332,5,Alex Abrines,203518.0,103,Alex Abrines,4.829109104584991
51,Oklahoma City Thunder,2.082185522,Rookie,0.595,5,Terrance Ferguson,1628390.0,99,Terrance Ferguson,1.1750905191470356
52,Oklahoma City Thunder,2.082185522,Rookie,0.5081016666666667,5,Jerami Grant,203924.0,101,Jerami Grant,-1.3477037080856107
53,Oklahoma City Thunder,2.082185522,Rookie,0.4904606666666666,5,Josh Huestis,203962.0,340,Josh Huestis,7.982324573328524
54,Oklahoma City Thunder,2.082185522,Rookie,0.2718716666666667,5,Dakari Johnson,1626177.0,131,Dakari Johnson,-0.22837682024294992
55,Memphis Grizzlies,1.934503325,Rookie,0.2718716666666667,5,Dillon Brooks,1628415.0,501,Dillon Brooks,0.04973776846655653
56,Memphis Grizzlies,1.934503325,Rookie,0.437537,5,Deyonta Davis,1627738.0,377,Deyonta Davis,-0.18850777818845188
57,Memphis Grizzlies,1.934503325,Rookie,0.437537,5,Andrew Harrison,1626150.0,23,Andrew Harrison,-3.6856270609296464
58,Memphis Grizzlies,1.934503325,Rookie,0.44372,5,Brice Johnson,1627744.0,222,Brice Johnson,-5.1409446346280685
59,Memphis Grizzlies,1.934503325,Rookie,0.009216,5,Omari Johnson,204179.0,266,Omari Johnson,2.4048565714887813
60,Memphis Grizzlies,1.934503325,Rookie,0.4904606666666666,5,Jarell Martin,1626185.0,22,Jarell Martin,-2.8379277224775485
61,Memphis Grizzlies,1.934503325,Rookie,0.31666666666666665,5,Ivan Rabb,1628397.0,163,Ivan Rabb,1.2683524084711788
62,Memphis Grizzlies,1.934503325,Rookie,0.015359999999999999,5,Xavier Rathan-Mayes,1628504.0,370,Xavier Rathan-Mayes,-6.0584629864886335
63,Memphis Grizzlies,1.934503325,Rookie,0.437537,5,Wayne Selden,1627782.0,105,Wayne Selden,0.09227616943450023
