,Team,rating,Type,mu,sd,name,player_id,index,player_name,coefs
0,Golden State Warriors,13.43031611,Non-rookie,0.4904606666666666,5,Omri Casspi,201956.0,36,Omri Casspi,-2.314465555114621
1,Golden State Warriors,13.43031611,Non-rookie,11.56085,5,Stephen Curry,201939.0,290,Stephen Curry,10.611388186278186
2,Golden State Warriors,13.43031611,Non-rookie,8.333333333333334,5,Kevin Durant,201142.0,391,Kevin Durant,3.2273387417815496
3,Golden State Warriors,13.43031611,Non-rookie,5.466666666666668,5,Draymond Green,203110.0,199,Draymond Green,2.215896588454883
4,Golden State Warriors,13.43031611,Non-rookie,4.938271666666667,5,Andre Iguodala,2738.0,198,Andre Iguodala,2.1781244350788143
5,Golden State Warriors,13.43031611,Non-rookie,2.564102666666667,5,Shaun Livingston,2733.0,293,Shaun Livingston,-4.2381382770851985
6,Golden State Warriors,13.43031611,Non-rookie,0.4904606666666666,5,JaVale McGee,201580.0,204,JaVale McGee,-0.5483611664512162
7,Golden State Warriors,13.43031611,Non-rookie,1.1592,5,Zaza Pachulia,2585.0,455,Zaza Pachulia,-1.0669596855794818
8,Golden State Warriors,13.43031611,Non-rookie,5.94205,5,Klay Thompson,202691.0,157,Klay Thompson,3.1886962484680677
9,Golden State Warriors,13.43031611,Non-rookie,0.4904606666666666,5,David West,2561.0,37,David West,-2.125058205094861
10,Golden State Warriors,13.43031611,Non-rookie,1.7306666666666666,5,Nick Young,201156.0,35,Nick Young,-1.1011708943713723
11,San Antonio Spurs,8.154010436,Non-rookie,7.15367,5,LaMarcus Aldridge,200746.0,156,LaMarcus Aldridge,6.095783264990896
12,San Antonio Spurs,8.154010436,Non-rookie,5.333333333333333,5,Pau Gasol,2200.0,477,Pau Gasol,-2.6441965962400324
13,San Antonio Spurs,8.154010436,Non-rookie,2.802,5,Rudy Gay,200752.0,223,Rudy Gay,1.7100752622436723
14,San Antonio Spurs,8.154010436,Non-rookie,0.8333333333333334,5,Manu Ginobili,1938.0,428,Manu Ginobili,2.2849141564320714
15,San Antonio Spurs,8.154010436,Non-rookie,3.333333333333333,5,Danny Green,201980.0,508,Danny Green,2.152825857495568
16,San Antonio Spurs,8.154010436,Non-rookie,6.2895416666666675,5,Kawhi Leonard,202695.0,79,Kawhi Leonard,8.112918729612861
17,San Antonio Spurs,8.154010436,Non-rookie,3.571428666666667,5,Patty Mills,201988.0,147,Patty Mills,-1.922853890746218
18,San Antonio Spurs,8.154010436,Non-rookie,5.1510419999999995,5,Tony Parker,2225.0,345,Tony Parker,-2.526651140054117
19,Houston Rockets,6.8944146910000015,Non-rookie,6.526151666666666,5,Ryan Anderson,201583.0,149,Ryan Anderson,-0.48260406409486123
20,Houston Rockets,6.8944146910000015,Non-rookie,2.473637333333333,5,Trevor Ariza,2772.0,369,Trevor Ariza,-0.41050201807607056
21,Houston Rockets,6.8944146910000015,Non-rookie,0.410062,5,Bobby Brown,201628.0,387,Bobby Brown,-4.540202698942825
22,Houston Rockets,6.8944146910000015,Non-rookie,4.3143400000000005,5,Eric Gordon,201569.0,19,Eric Gordon,2.5975469908913835
23,Houston Rockets,6.8944146910000015,Non-rookie,0.2909513333333333,5,Gerald Green,101123.0,15,Gerald Green,1.2322464897944236
24,Houston Rockets,6.8944146910000015,Non-rookie,9.433133,5,James Harden,201935.0,16,James Harden,4.855570182121465
25,Houston Rockets,6.8944146910000015,Non-rookie,1.1592,5,Nene,2403.0,136,Nene,3.8405542235761074
26,Houston Rockets,6.8944146910000015,Non-rookie,0.4904606666666666,5,Luc Mbah a Moute,201601.0,14,Luc Mbah a Moute,1.578688645888879
27,Houston Rockets,6.8944146910000015,Non-rookie,8.199831666666666,5,Chris Paul,101108.0,435,Chris Paul,7.360745629228495
28,Cleveland Cavaliers,5.695697826,Non-rookie,0.4904606666666666,5,Jose Calderon,101181.0,490,Jose Calderon,2.984416488420446
29,Cleveland Cavaliers,5.695697826,Non-rookie,3.8541666666666665,5,Jordan Clarkson,203903.0,248,Jordan Clarkson,-1.2999854982648475
30,Cleveland Cavaliers,5.695697826,Non-rookie,0.7056516666666667,5,Jeff Green,201145.0,257,Jeff Green,-0.519458298542574
31,Cleveland Cavaliers,5.695697826,Non-rookie,6.666666666666668,5,George Hill,201588.0,252,George Hill,2.1285230992380133
32,Cleveland Cavaliers,5.695697826,Non-rookie,11.095236333333334,5,LeBron James,2544.0,107,LeBron James,3.248671012006076
33,Cleveland Cavaliers,5.695697826,Non-rookie,2.333333333333333,5,Kyle Korver,2594.0,108,Kyle Korver,8.202779007100872
34,Cleveland Cavaliers,5.695697826,Non-rookie,7.54745,5,Kevin Love,201567.0,259,Kevin Love,4.211090000086967
35,Cleveland Cavaliers,5.695697826,Non-rookie,0.004385333333333333,5,Kendrick Perkins,2570.0,384,Kendrick Perkins,-0.8893034096274589
36,Cleveland Cavaliers,5.695697826,Non-rookie,0.4522363333333334,5,Derrick Rose,201565.0,145,Derrick Rose,3.7935912212551237
37,Cleveland Cavaliers,5.695697826,Non-rookie,5.466666666666668,5,Tristan Thompson,202684.0,425,Tristan Thompson,0.0598338198713968
38,Los Angeles Clippers,5.382403139,Non-rookie,1.837838,5,Patrick Beverley,201976.0,454,Patrick Beverley,-0.3914986863768739
39,Los Angeles Clippers,5.382403139,Non-rookie,2.9363296666666665,5,Avery Bradley,202340.0,91,Avery Bradley,-0.6128760699553206
40,Los Angeles Clippers,5.382403139,Non-rookie,6.853199666666668,5,Danilo Gallinari,201568.0,180,Danilo Gallinari,3.167096749455025
41,Los Angeles Clippers,5.382403139,Non-rookie,5.333333333333333,5,Tobias Harris,202699.0,146,Tobias Harris,6.203605150473219
42,Los Angeles Clippers,5.382403139,Non-rookie,1.96042,5,Wesley Johnson,202325.0,389,Wesley Johnson,0.6458411535279145
