,rating,Team,Name,mu,sd
0,13.21905832,Houston Rockets,Chris Paul,11.884716666666666,5
1,13.21905832,Houston Rockets,James Harden,10.140618,5
2,13.21905832,Houston Rockets,Clint Capela,4.597701,5
3,13.21905832,Houston Rockets,Eric Gordon,4.500125,5
4,13.21905832,Houston Rockets,Iman Shumpert,3.670412,5
5,13.21905832,Houston Rockets,Gerald Green,0.5042003333333334,5
6,13.21905832,Houston Rockets,Austin Rivers,0.30764766666666665,5
7,13.21905832,Houston Rockets,Isaiah Hartenstein,0.279488,5
8,13.21905832,Houston Rockets,Kenneth Faried,0.227887,5
9,13.21905832,Houston Rockets,Gary Clark,0.19895733333333335,5
10,13.21905832,Houston Rockets,Chris Chiozza,0.030001666666666666,5
11,12.68894695,Golden State Warriors,Stephen Curry,12.485718,5
12,12.68894695,Golden State Warriors,Kevin Durant,10.0,5
13,12.68894695,Golden State Warriors,Klay Thompson,6.329575,5
14,12.68894695,Golden State Warriors,Draymond Green,5.823188333333333,5
15,12.68894695,Golden State Warriors,Andre Iguodala,5.333333333333333,5
16,12.68894695,Golden State Warriors,Shaun Livingston,2.7692306666666666,5
17,12.68894695,Golden State Warriors,DeMarcus Cousins,1.779,5
18,12.68894695,Golden State Warriors,Jacob Evans,0.54808,5
19,12.68894695,Golden State Warriors,Quinn Cook,0.5149836666666666,5
20,12.68894695,Golden State Warriors,Damian Jones,0.5149836666666666,5
21,12.68894695,Golden State Warriors,Jonas Jerebko,0.5042003333333334,5
22,12.68894695,Golden State Warriors,Kevon Looney,0.5042003333333334,5
23,12.68894695,Golden State Warriors,Jordan Bell,0.459414,5
24,12.68894695,Golden State Warriors,Alfonzo McKinnie,0.44979433333333335,5
25,12.68894695,Golden State Warriors,Andrew Bogut,0.10254933333333334,5
26,11.46367947,Toronto Raptors,Kyle Lowry,10.9,5
27,11.46367947,Toronto Raptors,Marc Gasol,8.039675,5
28,11.46367947,Toronto Raptors,Kawhi Leonard,7.704688666666667,5
29,11.46367947,Toronto Raptors,Serge Ibaka,7.222222333333334,5
30,11.46367947,Toronto Raptors,Danny Green,3.3333333333333335,5
31,11.46367947,Toronto Raptors,Norman Powell,3.1224,5
32,11.46367947,Toronto Raptors,Fred VanVleet,2.8846156666666665,5
33,11.46367947,Toronto Raptors,OG Anunoby,0.65092,5
34,11.46367947,Toronto Raptors,Pascal Siakam,0.5149836666666666,5
35,11.46367947,Toronto Raptors,Patrick McCaw,0.26207033333333335,5
36,11.46367947,Toronto Raptors,Jeremy Lin,0.16236966666666666,5
37,11.46367947,Toronto Raptors,Chris Boucher,0.15247266666666667,5
38,11.46367947,Toronto Raptors,Malcolm Miller,0.15247266666666667,5
39,11.46367947,Toronto Raptors,Jodie Meeks,0.04557733333333333,5
40,11.46367947,Toronto Raptors,Eric Moreland,0.005697333333333334,5
41,9.70057401,Philadelphia 76ers,Joel Embiid,8.489083333333333,5
