,rating,Team,mu,sd,name
0,13.21905832,Houston Rockets,8.199831667,5,Chris Paul
1,13.21905832,Houston Rockets,0.778173333,5,Clint Capela
2,13.21905832,Houston Rockets,4.31434,5,Eric Gordon
3,13.21905832,Houston Rockets,0.066666667,5,Isaiah Canaan
4,13.21905832,Houston Rockets,9.433133,5,James Harden
5,13.21905832,Houston Rockets,0.705651667,5,Luc Mbah a Moute
6,13.21905832,Houston Rockets,6.526151667,5,Ryan Anderson
7,13.21905832,Houston Rockets,2.473637333,5,Trevor Ariza
8,13.21905832,Houston Rockets,0.490460667,5,Troy Williams
9,13.21905832,Houston Rockets,0.271871667,5,Zhou Qi
10,12.68894695,Golden State Warriors,4.938271667,5,Andre Iguodala
11,12.68894695,Golden State Warriors,0.437537,5,Damian Jones
12,12.68894695,Golden State Warriors,5.466666667,5,Draymond Green
13,12.68894695,Golden State Warriors,0.705651667,5,JaVale McGee
14,12.68894695,Golden State Warriors,0.271871667,5,Jordan Bell
15,12.68894695,Golden State Warriors,8.333333333,5,Kevin Durant
16,12.68894695,Golden State Warriors,0.490460667,5,Kevon Looney
17,12.68894695,Golden State Warriors,5.94205,5,Klay Thompson
18,12.68894695,Golden State Warriors,1.730666667,5,Nick Young
19,12.68894695,Golden State Warriors,0.702156667,5,Omri Casspi
20,12.68894695,Golden State Warriors,0.437537,5,Patrick McCaw
21,12.68894695,Golden State Warriors,2.564102667,5,Shaun Livingston
22,12.68894695,Golden State Warriors,11.56085,5,Stephen Curry
23,12.68894695,Golden State Warriors,1.1592,5,Zaza Pachulia
24,9.70057401,Philadelphia 76ers,3.666666667,5,Amir Johnson
25,9.70057401,Philadelphia 76ers,2.05628,5,Ben Simmons
26,9.70057401,Philadelphia 76ers,0.80752,5,Dario Saric
27,9.70057401,Philadelphia 76ers,0.48864,5,Furkan Korkmaz
28,9.70057401,Philadelphia 76ers,1.66504,5,Jahlil Okafor
29,9.70057401,Philadelphia 76ers,3,5,Jerryd Bayless
30,9.70057401,Philadelphia 76ers,2.033422,5,Joel Embiid
31,9.70057401,Philadelphia 76ers,0.52648,5,Justin Anderson
32,9.70057401,Philadelphia 76ers,2.34208,5,Markelle Fultz
33,9.70057401,Philadelphia 76ers,1.269048667,5,Nik Stauskas
34,9.70057401,Philadelphia 76ers,0.490460667,5,Richaun Holmes
35,9.70057401,Philadelphia 76ers,5.566034333,5,Robert Covington
36,9.70057401,Philadelphia 76ers,0.490460667,5,T.J. McConnell
37,9.70057401,Philadelphia 76ers,0.4622,5,Timothe Luwawu-Cabarrot
38,9.675652863,Utah Jazz,3.615168667,5,Alec Burks
39,9.675652863,Utah Jazz,1.664128333,5,Dante Exum
40,9.675652863,Utah Jazz,4,5,Derrick Favors
41,9.675652863,Utah Jazz,0.87376,5,Donovan Mitchell
42,9.675652863,Utah Jazz,1.066666667,5,Ekpe Udoh
43,9.675652863,Utah Jazz,4.712121333,5,Joe Ingles
44,9.675652863,Utah Jazz,1.333333333,5,Jonas Jerebko
45,9.675652863,Utah Jazz,0.490460667,5,Raul Neto
46,9.675652863,Utah Jazz,4.758333333,5,Ricky Rubio
47,9.675652863,Utah Jazz,0.795621333,5,Rodney Hood
48,9.675652863,Utah Jazz,7.324906333,5,Rudy Gobert
49,9.675652863,Utah Jazz,1.75,5,Thabo Sefolosha
50,9.675652863,Utah Jazz,0.47164,5,Tony Bradley
51,8.526489449,Oklahoma City Thunder,1.908333333,5,Alex Abrines
52,8.526489449,Oklahoma City Thunder,8.74792,5,Carmelo Anthony
53,8.526489449,Oklahoma City Thunder,0.508101667,5,Jerami Grant
54,8.526489449,Oklahoma City Thunder,1.730666667,5,Patrick Patterson
55,8.526489449,Oklahoma City Thunder,6.502986,5,Paul George
56,8.526489449,Oklahoma City Thunder,0.776217333,5,Raymond Felton
57,8.526489449,Oklahoma City Thunder,9.510202667,5,Russell Westbrook
58,8.526489449,Oklahoma City Thunder,7.490636667,5,Steven Adams
59,8.526489449,Oklahoma City Thunder,0.595,5,Terrance Ferguson
60,8.267971906,Boston Celtics,0.389111,5,Abdel Nader
61,8.267971906,Boston Celtics,9.244801667,5,Al Horford
62,8.267971906,Boston Celtics,1.442666667,5,Aron Baynes
63,8.267971906,Boston Celtics,0.271871667,5,Daniel Theis
64,8.267971906,Boston Celtics,0.030952667,5,Demetrius Jackson
65,8.267971906,Boston Celtics,9.9093,5,Gordon Hayward
66,8.267971906,Boston Celtics,0.74916,5,Guerschon Yabusele
67,8.267971906,Boston Celtics,1.65216,5,Jaylen Brown
68,8.267971906,Boston Celtics,1.8818,5,Jayson Tatum
69,8.267971906,Boston Celtics,6.289541667,5,Kyrie Irving
70,8.267971906,Boston Celtics,1.666666667,5,Marcus Morris
71,8.267971906,Boston Celtics,1.512673333,5,Marcus Smart
72,8.267971906,Boston Celtics,0.430630667,5,Semi Ojeleye
73,8.267971906,Boston Celtics,0.66284,5,Terry Rozier
74,8.012503388,San Antonio Spurs,0.437537,5,Bryn Forbes
75,8.012503388,San Antonio Spurs,3.333333333,5,Danny Green
76,8.012503388,San Antonio Spurs,0.437537,5,Davis Bertans
77,8.012503388,San Antonio Spurs,0.4682,5,Derrick White
78,8.012503388,San Antonio Spurs,6.289541667,5,Kawhi Leonard
79,8.012503388,San Antonio Spurs,0.717234667,5,Kyle Anderson
80,8.012503388,San Antonio Spurs,7.15367,5,LaMarcus Aldridge
81,8.012503388,San Antonio Spurs,3.571428667,5,Patty Mills
82,8.012503388,San Antonio Spurs,5.333333333,5,Pau Gasol
83,8.012503388,San Antonio Spurs,2.802,5,Rudy Gay
84,8.012503388,San Antonio Spurs,5.151042,5,Tony Parker
85,7.507833506,Minnesota Timberwolves,2.524774,5,Andrew Wiggins
86,7.507833506,Minnesota Timberwolves,4.70412,5,Gorgui Dieng
87,7.507833506,Minnesota Timberwolves,3.647587333,5,Jamal Crawford
88,7.507833506,Minnesota Timberwolves,6.333333333,5,Jeff Teague
89,7.507833506,Minnesota Timberwolves,6.43369,5,Jimmy Butler
90,7.507833506,Minnesota Timberwolves,0.74916,5,Justin Patton
91,7.507833506,Minnesota Timberwolves,2.07228,5,Karl-Anthony Towns
92,7.507833506,Minnesota Timberwolves,1.316666333,5,Nemanja Bjelica
93,7.507833506,Minnesota Timberwolves,4.666666667,5,Taj Gibson
94,7.507833506,Minnesota Timberwolves,0.490460667,5,Tyus Jones
95,7.476474607,Portland Trail Blazers,2.439678333,5,Al-Farouq Aminu
96,7.476474607,Portland Trail Blazers,0.48864,5,Caleb Swanigan
97,7.476474607,Portland Trail Blazers,8.717685667,5,Damian Lillard
98,7.476474607,Portland Trail Blazers,2.117510333,5,Ed Davis
99,7.476474607,Portland Trail Blazers,5.710382667,5,Evan Turner
100,7.476474607,Portland Trail Blazers,0.437537,5,Jake Layman
101,7.476474607,Portland Trail Blazers,0.982435,5,Jusuf Nurkic
102,7.476474607,Portland Trail Blazers,3.387640667,5,Maurice Harkless
103,7.476474607,Portland Trail Blazers,3.301498333,5,Meyers Leonard
104,7.476474607,Portland Trail Blazers,1.168411,5,Noah Vonleh
