,mu,sd,name
0,1.6666666666666667,5,Marcus Morris
1,1.8818,5,Jayson Tatum
2,1.65216,5,Jaylen Brown
3,0.66284,5,Terry Rozier
4,4.596166666666667,5,Robin Lopez
5,2.6145,5,Cristiano Felicio
6,0.437537,5,Wayne Selden
7,1.5384616666666666,5,Justin Holiday
8,0.2718716666666667,5,Tyler Dorsey
9,3.6666666666666665,5,Amir Johnson
10,5.333333333333333,5,Tobias Harris
11,0.49046066666666666,5,T.J. McConnell
12,9.567901333333333,5,Kyle Lowry
13,7.54745,5,Marc Gasol
14,0.5484,5,OG Anunoby
15,2.9363296666666665,5,Avery Bradley
16,0.5484,5,Delon Wright
17,6.333333333333333,5,Jeff Teague
18,0.49046066666666666,5,Tyus Jones
19,0.2718716666666667,5,Alfonzo McKinnie
20,5.466666666666667,5,Draymond Green
21,0.0,5,Damion Lee
22,0.2718716666666667,5,Jordan Bell
23,4.0,5,Kemba Walker
24,0.0,5,Miles Bridges
25,2.09,5,Wayne Ellington
26,0.89472,5,Thon Maker
27,2.2222223333333333,5,Langston Galloway
28,7.925168666666667,5,Andre Drummond
29,1.0,5,Tomas Satoransky
30,7.925168666666667,5,Bradley Beal
31,0.2718716666666667,5,Thomas Bryant
32,1.3958663333333334,5,Alex Len
33,0.0,5,Trae Young
34,0.0,5,Jaylen Adams
35,0.57124,5,Jarrett Allen
36,0.54416,5,Caris LeVert
37,6.444166666666667,5,Allen Crabbe
38,4.933333333333334,5,DeMarre Carroll
39,0.0,5,Rodions Kurucs
40,0.0,5,Otto Porter Jr.
41,0.0,5,Kenrich Williams
42,7.925168666666667,5,Anthony Davis
43,1.3830806666666666,5,Julius Randle
44,0.0,5,E'Twaun Moore
45,0.0,5,Deandre Ayton
46,0.0,5,De'Anthony Melton
47,0.0,5,Mikal Bridges
48,0.49046066666666666,5,Richaun Holmes
49,1.1361733333333333,5,Troy Daniels
50,0.0,5,Elie Okobo
51,7.704001333333333,5,Harrison Barnes
52,0.0,5,Harry Giles III
53,3.6151686666666665,5,Alec Burks
