,mu,sd,name
0,0.0,5,Marcus Morris
1,2.2336,5,Jayson Tatum
2,1.72332,5,Jaylen Brown
3,1.0167966666666666,5,Terry Rozier
4,4.785916666666667,5,Robin Lopez
5,2.82366,5,Cristiano Felicio
6,0.5149836666666666,5,Wayne Selden
7,1.4615383333333334,5,Justin Holiday
8,0.459414,5,Tyler Dorsey
9,0.5042003333333334,5,Amir Johnson
10,4.933333333333334,5,Tobias Harris
11,0.5335066666666667,5,T.J. McConnell
12,10.9,5,Kyle Lowry
13,8.039675,5,Marc Gasol
14,0.65092,5,OG Anunoby
15,4.0,5,Avery Bradley
16,0.8456326666666667,5,Delon Wright
17,6.333333333333333,5,Jeff Teague
18,0.8146843333333333,5,Tyus Jones
19,0.44979433333333335,5,Alfonzo McKinnie
20,5.823188333333333,5,Draymond Green
21,0.0,5,Damion Lee
22,0.459414,5,Jordan Bell
23,4.0,5,Kemba Walker
24,1.06888,5,Miles Bridges
25,0.7943586666666667,5,Wayne Ellington
26,0.93324,5,Thon Maker
27,2.3333333333333335,5,Langston Galloway
28,8.478087666666667,5,Andre Drummond
29,1.0430623333333333,5,Tomas Satoransky
30,8.478087666666667,5,Bradley Beal
31,0.459414,5,Thomas Bryant
32,1.45,5,Alex Len
33,1.78548,5,Trae Young
34,0.07895133333333333,5,Jaylen Adams
35,0.67804,5,Jarrett Allen
36,0.5676,5,Caris LeVert
37,6.166666666666667,5,Allen Crabbe
38,5.133333333333334,5,DeMarre Carroll
39,0.53944,5,Rodions Kurucs
40,8.670637666666666,5,Otto Porter Jr.
41,0.279488,5,Kenrich Williams
42,8.478087666666667,5,Anthony Davis
43,2.880333333333333,5,Julius Randle
44,2.936228333333333,5,E'Twaun Moore
45,2.72172,5,Deandre Ayton
46,0.31633333333333336,5,De'Anthony Melton
47,1.18432,5,Mikal Bridges
48,0.5335066666666667,5,Richaun Holmes
49,1.086183,5,Troy Daniels
50,0.0,5,Elie Okobo
51,8.264567333333334,5,Harrison Barnes
52,0.0,5,Harry Giles III
53,3.845505,5,Alec Burks
54,1.82364,5,De'Aaron Fox
55,0.8333333333333334,5,Reggie Bullock
56,1.6666666666666667,5,Mike Muscala
57,0.0,5,Alex Caruso
58,5.0,5,Eric Bledsoe
59,1.1273333333333333,5,Brook Lopez
60,4.333333333333333,5,Khris Middleton
61,3.602381,5,Tony Snell
62,0.0,5,D.J. Wilson
63,9.325896333333333,5,Damian Lillard
64,0.9316666666666666,5,Seth Curry
65,0.5149836666666666,5,Skal Labissiere
