,mu,sd,name,type
0,1.7916666666666667,3,Marcus Morris,Bird
1,2.2336,3,Jayson Tatum,Rookie
2,1.72332,3,Jaylen Brown,Rookie
3,1.0167966666666666,3,Terry Rozier,Rookie
4,4.785916666666667,3,Robin Lopez,Cap Space
5,2.82366,3,Cristiano Felicio,Cap Space
6,0.5149836666666666,3,Wayne Selden,Minimum
7,1.4615383333333334,3,Justin Holiday,NT-MLE
8,0.459414,3,Tyler Dorsey,Minimum
9,0.5042003333333334,3,Amir Johnson,Minimum
10,4.933333333333334,3,Tobias Harris,Bird
11,0.5335066666666667,3,T.J. McConnell,Minimum
12,10.9,3,Kyle Lowry,Bird
13,8.039675,3,Marc Gasol,Bird
14,0.65092,3,OG Anunoby,Rookie
15,4.0,3,Avery Bradley,Bird
16,0.8456326666666667,3,Delon Wright,Rookie
17,6.333333333333333,3,Jeff Teague,Cap Space
18,0.8146843333333333,3,Tyus Jones,Rookie
19,0.44979433333333335,3,Alfonzo McKinnie,Minimum
20,5.823188333333333,3,Draymond Green,Bird
22,0.459414,3,Jordan Bell,Minimum
23,4.0,3,Kemba Walker,Bird
24,1.06888,3,Miles Bridges,Rookie
25,0.7943586666666667,3,Wayne Ellington,NT-MLE
26,0.93324,3,Thon Maker,Rookie
27,2.3333333333333335,3,Langston Galloway,NT-MLE
28,8.478087666666667,3,Andre Drummond,Bird
29,1.0430623333333333,3,Tomas Satoransky,Cap Space
30,8.478087666666667,3,Bradley Beal,Bird
31,0.459414,3,Thomas Bryant,Minimum
32,1.45,3,Alex Len,Room
33,1.78548,3,Trae Young,Rookie
34,0.07895133333333333,3,Jaylen Adams,Minimum
35,0.67804,3,Jarrett Allen,Rookie
36,0.5676,3,Caris LeVert,Rookie
37,6.166666666666667,3,Allen Crabbe,Cap Space
38,5.133333333333334,3,DeMarre Carroll,Cap Space
39,0.53944,3,Rodions Kurucs,Cap Space
40,8.670637666666666,3,Otto Porter Jr.,Cap Space
41,0.279488,3,Kenrich Williams,Minimum
42,8.478087666666667,3,Anthony Davis,Bird
43,2.880333333333333,3,Julius Randle,NT-MLE
44,2.936228333333333,3,E'Twaun Moore,Cap Space
45,2.72172,3,Deandre Ayton,Rookie
46,0.31633333333333336,3,De'Anthony Melton,Cap Space
47,1.18432,3,Mikal Bridges,Rookie
48,0.5335066666666667,3,Richaun Holmes,Cap Space
49,1.086183,3,Troy Daniels,Cap Space
51,8.264567333333334,3,Harrison Barnes,Cap Space
52,0.73568,3,Harry Giles III,Rookie
53,3.845505,3,Alec Burks,Bird
54,1.82364,3,De'Aaron Fox,Rookie
55,0.8333333333333334,3,Reggie Bullock,Bird
56,1.6666666666666667,3,Mike Muscala,Bird
58,5.0,3,Eric Bledsoe,Bird
59,1.1273333333333333,3,Brook Lopez,Bi-Annual
60,4.333333333333333,3,Khris Middleton,Bird
61,3.602381,3,Tony Snell,Bird
62,0.84476,3,D.J. Wilson,Rookie
63,9.325896333333333,3,Damian Lillard,Bird
64,0.9316666666666666,3,Seth Curry,NT-MLE
65,0.5149836666666666,3,Skal Labissiere,Rookie
66,4.333333333333333,3,Michael Kidd-Gilchrist,Bird
67,2.496124,3,Jeremy Lamb,Bird
68,4.509363333333333,3,Cody Zeller,Bird
69,2.4166666666666665,3,D.J. Augustin,Cap Space
70,4.416666666666667,3,Nikola Vucevic,Bird
71,3.5,3,Terrence Ross,Bird
72,0.98528,3,Bam Adebayo,Rookie
73,6.036391666666667,3,Goran Dragic,Bird
74,0.5149836666666666,3,Rodney McGruder,Cap Space
75,4.500125,3,Eric Gordon,Cap Space
76,1.21716,3,Nene,Non-Bird
77,0.5042003333333334,3,Gerald Green,Minimum
78,0.735,3,Darius Miller,NT-MLE
79,4.084309333333334,3,Solomon Hill,Cap Space
80,6.329575,3,Klay Thompson,Bird
81,7.195859666666666,3,Danilo Gallinari,Bird
82,2.0,3,Montrezl Harrell,Bird
83,2.622222333333333,3,JaMychal Green,Bird
84,2.3732166666666665,3,Lance Thomas,Early Bird
85,1.24664,3,Kevin Knox,Rookie
86,0.459414,3,Damyean Dotson,Minimum
87,1.4314933333333333,3,Emmanuel Mudiay,Rookie
88,0.5042003333333334,3,JaVale McGee,Minimum
89,0.3333333333333333,3,Isaac Bonga,Cap Space
90,4.166666666666667,3,Nikola Mirotic,Cap Space
91,3.334227,3,Jon Leuer,Cap Space
92,3.85,3,Dion Waiters,Cap Space
93,1.4401666666666666,3,Mike Scott,NT-MLE
94,3.2104166666666667,3,Dwight Powell,Cap Space
95,2.18688,3,Luka Doncic,Rookie
96,0.41,3,Jalen Brunson,Cap Space
97,0.98244,3,Jakob Poeltl,Rookie
98,2.3333333333333335,3,Davis Bertans,Early Bird
99,2.051282,3,Marco Belinelli,NT-MLE
100,7.449005,3,LaMarcus Aldridge,Cap Space
101,3.857143,3,Patty Mills,Bird
102,5.333333333333333,3,Andre Iguodala,Bird
103,2.7692306666666666,3,Shaun Livingston,Bird
104,4.877083333333333,3,Brandon Knight,Bird
105,4.166666666666667,3,Jordan Clarkson,Early Bird
106,0.925,3,Cedi Osman,T-MLE
107,0.16806666666666667,3,Nik Stauskas,Minimum
108,0.65092,3,Ante Zizic,Rookie
110,0.8234523333333333,3,Rondae Hollis-Jefferson,Rookie
111,3.670412,3,Iman Shumpert,Bird
112,7.830524333333333,3,Rudy Gobert,Bird
113,2.52,3,Kyle Korver,Bird
114,2.435275,3,Jae Crowder,Bird
115,0.69144,3,Grayson Allen,Rookie
116,4.266854,3,Wilson Chandler,Bird
117,4.588015,3,Thaddeus Young,Bird
118,0.17091533333333334,3,Wesley Matthews,Minimum
119,2.6483333333333334,3,Cory Joseph,Cap Space
120,0.80252,3,TJ Leaf,Rookie
121,3.3333333333333335,3,Darren Collison,Cap Space
122,2.3333333333333335,3,Boban Marjanovic,Cap Space
123,0.06474,3,Dairis Bertans,Minimum
124,1.1666,3,Jamal Murray,Rookie
125,0.44979433333333335,3,Monte Morris,T-MLE
126,0.72212,3,Juancho Hernangomez,Rookie
127,0.70628,3,Terrance Ferguson,Rookie
128,0.5858096666666667,3,Nerlens Noel,Minimum
129,8.052434333333334,3,Steven Adams,Bird
130,0.459414,3,Abdel Nader,Cap Space
131,0.30764766666666665,3,Austin Rivers,Minimum
132,0.8054073333333334,3,Jarell Martin,Rookie
134,0.55148,3,Robert Williams III,Rookie
