,point_differential,num_possessions,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5
0,-7,19.2,202694,1628369,201143,202681,203935,1627750,203914,203115,200794,203999
1,3,7.68,1628369,203382,201143,202681,203935,1627750,203914,203115,200794,203999
2,-1,1.3823999999999999,1627759,203382,201143,202681,203935,1627750,203914,203115,200794,203999
3,-1,2.7647999999999997,1627759,203382,201143,202681,203935,1628420,203914,203115,200794,203999
4,2,5.2224,1627759,203382,201143,202681,203935,1628420,203115,1627736,203486,203999
5,1,6.72,1626179,1627759,203382,201143,202681,1628420,202738,1627736,200794,203486
6,2,4.1472,1626179,202694,1627759,1628464,202681,1628420,202738,1627736,200794,203486
7,5,15.6672,1626179,202694,1627759,1628464,1628369,1628420,202738,1628470,1627736,203486
8,-3,4.8,1626179,202694,1627759,1628464,1628369,1627750,203914,203115,1628470,203999
9,-2,3.84,202694,1628464,1628369,202681,203935,1627750,203914,203115,1628470,203999
10,-5,8.1024,202694,1628369,203382,202681,203935,1627750,203914,203115,1628470,203999
11,2,16.6272,202694,1628369,201143,202681,203935,1627750,203914,203115,1628470,203999
12,8,29.4144,1626179,202694,1628369,201143,202681,1628420,1627750,203914,203115,203999
13,1,7.1424,202694,1628369,203382,202681,203935,1627750,203914,203115,203486,203999
14,-1,10.982399999999998,1626179,202694,1627759,203382,202681,1628420,203115,1627736,203486,203999
15,0,2.3424,1626179,202694,1627759,203382,202681,1628420,1628470,1627736,200794,203486
16,1,1.3823999999999999,1626179,202694,1627759,1628369,203382,1628420,1628470,1627736,200794,203486
17,-3,1.92,1626179,202694,1627759,1628369,202681,1628420,1628470,1627736,200794,203486
18,0,0.96,1626179,202694,1627759,1628464,202681,1628470,1627736,200794,1629020,203486
19,-8,5.76,1626179,1627759,1628464,203382,203935,1627750,1628470,1627736,200794,203999
20,2,7.68,1626179,1628369,203382,201143,203935,1628420,1628470,1627736,200794,203486
21,-4,7.68,1626179,1628369,203382,201143,203935,1628420,1628470,1627736,203486,203999
22,-1,1.92,1626179,202694,1628369,201143,202681,1628420,1628470,1627736,203486,203999
23,2,2.88,1626179,202694,1628369,201143,202681,1627750,203914,1628470,203486,203999
24,-3,3.84,1626179,202694,1628369,201143,202681,1627750,203914,1628470,200794,203999
25,-1,2.3424,202694,1628369,201143,202681,203935,1627750,203914,203115,200794,203999
26,1,12.902399999999998,202694,1627759,201143,202681,203935,1627750,203914,203115,200794,203999
27,3,3.3024,1627759,1628369,201143,202681,203935,1627750,203914,203115,1628470,200794
28,-2,0.8448,1627759,1628369,201143,202681,203935,1627750,203914,203115,200794,203999
29,0,0.96,1626179,1628369,201143,202681,203935,1627750,203914,203115,200794,203999
30,3,25.151999999999997,201577,1627885,1628469,1628374,1627739,203107,203078,2772,201145,1626171
31,-3,3.7247999999999997,201577,1627853,1627885,1628469,1628374,203107,203078,203953,2772,1626171
32,2,1.92,201577,1627853,1627885,1628469,1628374,203078,1626184,203953,2772,1626171
33,3,4.8,1626245,1627782,1627885,1627853,1628374,203078,1626184,203953,2772,1626171
34,-1,1.3823999999999999,1626245,1627782,1627885,1627853,1628374,203078,1626184,1628972,203953,1626171
35,0,27.1872,1626245,1627782,1627885,1627789,1627853,1628418,203078,1626184,1628972,203953
36,-4,8.64,1626245,1627782,1627853,1627789,1627739,203107,1628972,203953,201145,1626171
37,3,21.119999999999997,201577,1627789,1628469,1628374,1627739,203078,203953,2772,201145,1626171
38,-2,2.3424,1627782,1627885,1627789,1628469,1628374,203107,203078,1628972,201145,1626171
39,3,33.4848,201577,1627789,1627885,1628469,1628374,203107,203078,1626184,1628972,1626171
40,4,4.8,1626245,1627853,1627885,1628469,1628374,203107,203078,1628972,203953,1626171
41,-1,8.1024,1626245,1627782,1627853,1627789,1628374,203107,203078,203953,202325,1626171
42,-6,16.7424,1626245,1627782,1627853,1627789,1628374,1628418,203078,1626184,203953,202325
43,1,12.48,1626245,1627782,1627885,1627789,1627739,1628418,203107,1626184,203953,202325
44,5,7.564800000000001,201577,1627789,1627885,1628374,1627739,1628418,203107,203078,1628972,203953
45,-4,3.1872000000000003,201577,1627789,1627885,1628374,1627739,203107,203078,1628972,203953,1626171
46,-1,11.2896,201577,1627853,1627885,1628374,1627739,203107,203078,1628972,203953,1626171
47,-2,0.96,1627782,1627885,1627853,1628374,1627739,203107,203078,1628972,203953,1626171
48,5,18.086399999999998,201577,1627853,1627885,1628374,1627739,203107,203078,203953,202325,201145
49,-1,0.4224,1627782,1627885,1627853,1628374,1627739,203107,203078,1628972,203953,1626171
50,2,2.2272000000000003,201577,1627853,1627885,1628374,1627739,203107,203078,1628972,203953,1626171
51,6,18.24,203200,1626153,201144,202685,203998,202697,200782,201935,101108,203991
52,2,1.92,203200,1626153,201144,202685,203998,202697,1627863,203085,201935,203991
53,2,0.8448,1628416,203200,201144,202685,203998,202697,1627863,203085,201935,203991
54,-1,9.062399999999998,1628416,203200,201144,202685,202718,202697,1627863,203085,201935,203991
55,1,6.1824,1628416,1626153,201144,201149,202718,101123,203085,200782,101108,1627863
56,2,4.6848,1628416,1626153,202718,201149,203998,101123,203085,200782,101108,1627863
57,1,4.2624,1628416,202718,201144,201149,203998,101123,203085,200782,101108,1627863
58,4,3.1872000000000003,1628416,1626153,202718,201149,203998,101123,200782,101108,1627863,203991
59,1,2.3424,1628416,1626153,202718,201149,203998,200782,201935,101108,1627863,203991
60,-3,4.2624,203200,1626153,202718,201149,203998,200782,201935,101108,1627863,203991
61,1,6.489599999999999,203200,1626153,202718,201149,203998,202697,200782,201935,101108,203991
62,1,6.72,203200,202718,201144,202685,203998,202697,203085,201935,1627863,203991
63,-2,4.1472,1628416,203200,201144,202685,203998,202697,203085,201935,1627863,203991
64,-2,9.792,1628416,203200,1626153,201144,202685,200782,201935,101108,1627863,203991
65,-1,5.529599999999999,1628416,1626153,201144,202685,203998,200782,201935,101108,1627863,203991
66,-2,21.311999999999998,203200,1626153,201144,202685,203998,200782,201935,101108,1627863,203991
67,1,5.76,203200,1626153,201144,202685,203998,2403,200782,201935,101108,1627863
68,-1,1.3823999999999999,1628416,203200,201144,201149,203998,2403,202697,203085,201935,1627863
69,5,10.2144,1628416,203200,201144,201149,202718,2403,202697,203085,201935,1627863
70,2,4.8,1628416,1626153,202718,201149,203998,2403,101123,202697,200782,101108
71,1,4.2624,1628416,1626153,202718,201149,203998,101123,202697,200782,101108,203991
72,-6,12.902399999999998,1628416,1626153,201144,202685,202718,101123,202697,200782,101108,203991
73,5,9.062399999999998,203200,1626153,201144,202685,203998,101123,1627863,201935,101108,203991
74,-8,8.64,1628416,203200,1626153,201149,203998,202697,200782,201935,101108,203991
75,-3,2.88,203200,1626153,201144,201149,203998,202697,203085,200782,201935,203991
76,-2,5.2224,203200,1626153,201144,202685,203998,202697,203085,200782,201935,203991
77,-1,9.062399999999998,203200,1626153,201144,202685,203998,1627863,200782,201935,101108,203991
78,-1,0.8447999999999999,203200,1626153,201144,201149,203998,1627863,200782,201935,101108,203991
79,-1,0.4224,203200,1626153,201144,202685,203998,1627863,200782,201935,101108,203991
80,1,0.4224,203200,1626153,201144,202685,202718,1627863,200782,201935,101108,203991
81,1,0.4224,203200,1626153,201144,201149,203998,1627863,200782,201935,101108,203991
82,-2,0.8448,203200,1626153,201144,201149,203998,101123,200782,201935,101108,1627863
83,0,19.276799999999998,203200,1626153,201144,202685,202718,1627863,200782,201935,101108,203991
84,3,24.0,101161,202699,200755,1627732,202710,201571,202696,1628371,203095,203932
85,3,13.2096,202699,203118,1627732,202710,203613,201571,1628515,202696,1628371,203932
86,-4,22.8096,204456,202699,203118,200755,1628383,1628515,1626185,203920,1628411,203932
87,5,4.8,202699,203118,200755,1627732,203613,1628515,1626185,203920,203095,1628411
88,0,4.8,101161,203118,1627732,202710,203613,1628515,202696,1628371,1628411,203932
89,2,7.5648,101161,203118,1627732,202710,203613,201571,202696,1628371,1628411,203932
90,-2,12.3648,101161,203118,1627732,202710,203613,201571,202696,1628371,203095,203932
91,4,23.232,101161,203118,200755,1627732,202710,201571,202696,1628371,203095,203932
92,0,5.76,202699,203118,1627732,202710,203613,201571,202696,1628371,203095,203932
93,2,5.76,202699,203118,1627732,202710,203613,201571,1628515,202696,1628371,203932
94,-3,3.84,204456,203118,1627732,202710,203613,201571,1628515,202696,1628371,203932
95,-2,5.76,204456,203118,200755,1627732,203613,1628515,202696,1628371,1628411,203932
96,-1,2.2272000000000003,204456,202699,200755,203613,1628383,1628515,1626185,203920,1628411,203932
97,-1,12.2496,204456,202699,200755,203613,1628383,1628515,1626185,203920,203095,1628411
98,4,4.8,204456,101161,200755,1627732,202710,1628515,1626185,203920,203095,1628411
99,0,5.76,204456,101161,200755,1627732,202710,1628515,203920,203095,1628411,203932
100,-2,2.3424,204456,202699,203118,1627732,203613,1628515,203920,203095,1628411,203932
101,-4,5.6448,204456,202699,203118,1627732,203613,1628515,202696,203095,1628411,203932
102,2,17.28,202699,203118,200755,1627732,202710,201571,202696,1628371,203095,203932
103,-2,0.96,202699,203118,1627732,202710,203613,201571,202696,1628371,203095,203932
104,1,2.3424,202699,203118,200755,1627732,202710,201571,202696,1628371,203095,203932
105,3,4.032,202699,203118,1627732,202710,203613,201571,202696,1628371,203095,203932
106,3,21.964799999999997,200768,202695,1627783,201586,201980,201569,200782,201935,101108,203991
107,-8,11.52,200768,202695,1627783,201586,201980,201569,203085,200782,201935,203991
108,0,1.92,200768,201188,202695,1627783,201980,101123,2403,203085,200782,201935
109,2,2.88,201188,1626181,1627783,202391,201980,101123,2403,203085,201935,1629109
110,-11,23.6544,1628384,201188,1626181,1627783,202391,101123,2403,203085,201935,1629109
111,-5,4.8,1628384,200768,201188,1626181,202391,201569,101123,101108,1629109,203991
112,3,2.3424,1628384,200768,201188,202695,1627775,201569,101123,200782,101108,203991
113,-4,3.3024,1628384,200768,201188,202695,1627775,201569,200782,201935,101108,203991
114,1,6.1824,200768,202695,1627783,201586,1627775,201569,203085,200782,201935,203991
115,5,4.8,200768,202695,1627783,201586,201980,201569,203085,200782,201935,203991
116,-4,6.72,200768,202695,1627783,201586,201980,203085,200782,201935,101108,203991
117,12,23.232,200768,202695,1627783,201586,201980,2403,203085,200782,201935,101108
118,4,6.6048,200768,202695,1627783,201586,201980,201569,203085,200782,201935,203991
119,2,5.2224,200768,202695,1627783,201586,201980,101123,203085,200782,201935,203991
120,1,5.2224,200768,202695,1627783,201586,201980,101123,2403,203085,200782,201935
121,0,4.2624,200768,201188,1626181,1627783,201980,101123,2403,203085,101108,1629109
122,-2,6.0672,201188,1626181,1627783,202391,1627775,101123,2403,203085,101108,1629109
123,-1,3.84,1628384,201188,1627783,202391,1627775,101123,2403,203085,101108,1629109
124,-5,5.76,1628384,201188,1627783,202391,1627775,201569,101123,2403,203085,101108
125,-2,5.2224,1628384,200768,201188,202695,1627775,201569,101123,200782,101108,203991
126,-5,6.1823999999999995,1628384,200768,201188,202695,1627775,201569,101123,200782,201935,203991
127,1,1.3823999999999999,200768,202695,1627783,201586,201980,201569,101123,200782,201935,203991
128,1,17.356799999999996,200768,202695,1627783,201586,201980,201569,200782,201935,101108,203991
129,-10,12.3648,203200,202340,201144,202685,203998,203081,203468,203090,202329,203994
130,0,0.96,202340,1626153,201144,202685,203998,203081,203468,203090,202329,203994
