,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,1.497,0.438,0.634,2.248,0.007,0.005,4585.0,1457.0,1.0
x[0],0.804,2.13,-3.178,4.779,0.031,0.056,4765.0,1221.0,1.0
x[1],-2.122,2.835,-7.63,3.212,0.042,0.055,4460.0,1427.0,1.0
x[2],2.651,2.452,-2.101,7.094,0.04,0.047,3732.0,1143.0,1.0
x[3],-0.191,2.484,-4.636,4.503,0.038,0.064,4242.0,1465.0,1.0
x[4],-0.229,2.513,-5.455,4.153,0.039,0.066,4073.0,1422.0,1.0
x[5],-1.158,2.148,-5.357,2.794,0.033,0.045,4168.0,1311.0,1.0
x[6],-1.244,2.628,-6.055,3.719,0.043,0.063,3729.0,1259.0,1.0
x[7],5.841,2.379,1.675,10.665,0.038,0.031,3944.0,1261.0,1.0
x[8],-1.506,2.081,-5.473,2.209,0.033,0.038,4040.0,1577.0,1.0
x[9],0.784,2.225,-3.347,4.871,0.036,0.05,3857.0,1503.0,1.0
x[10],3.073,2.269,-1.112,7.253,0.034,0.031,4462.0,1717.0,1.0
x[11],3.52,2.331,-0.967,7.592,0.034,0.03,4864.0,1689.0,1.0
x[12],-1.884,2.225,-5.902,2.259,0.031,0.036,5188.0,1548.0,1.0
x[13],0.618,2.483,-3.92,5.206,0.034,0.068,5310.0,1290.0,1.0
x[14],5.207,2.556,0.281,9.961,0.037,0.032,4876.0,1425.0,1.0
x[15],3.361,2.625,-1.401,8.18,0.041,0.036,4106.0,1376.0,1.0
x[16],0.697,2.944,-4.663,6.383,0.041,0.059,5053.0,1532.0,1.0
x[17],3.511,2.903,-2.059,8.874,0.044,0.048,4255.0,1290.0,1.0
x[18],5.87,2.528,1.428,10.86,0.038,0.032,4318.0,1493.0,1.0
x[19],2.61,3.044,-3.214,7.993,0.044,0.051,4922.0,1557.0,1.0
x[20],-3.081,2.632,-8.191,1.714,0.034,0.038,5989.0,1525.0,1.0
x[21],5.422,2.466,0.634,9.976,0.039,0.032,4022.0,1531.0,1.0
x[22],-1.401,2.445,-5.771,3.484,0.037,0.043,4373.0,1803.0,1.0
x[23],1.139,2.234,-2.946,5.587,0.03,0.054,5617.0,1105.0,1.0
x[24],0.069,2.627,-5.187,4.827,0.043,0.059,3787.0,1614.0,1.0
x[25],-0.921,2.226,-4.56,3.596,0.036,0.059,3768.0,1540.0,1.0
x[26],-0.258,2.758,-5.629,4.694,0.04,0.071,4863.0,1419.0,1.01
x[27],-2.177,3.16,-7.834,3.465,0.047,0.054,4432.0,1709.0,1.0
x[28],-1.955,2.917,-6.867,3.871,0.04,0.058,5193.0,1513.0,1.0
x[29],5.272,2.516,0.672,10.137,0.039,0.032,4197.0,1580.0,1.0
x[30],-1.18,2.482,-5.529,3.707,0.034,0.053,5396.0,1386.0,1.0
x[31],7.466,2.64,2.536,12.417,0.041,0.033,4209.0,1263.0,1.0
x[32],6.425,2.704,1.417,11.491,0.047,0.037,3396.0,1813.0,1.0
x[33],-0.121,2.288,-4.4,3.875,0.034,0.061,4517.0,1150.0,1.0
x[34],1.2,2.458,-3.483,5.708,0.036,0.051,4769.0,1474.0,1.0
x[35],-2.151,2.681,-7.48,2.83,0.043,0.05,3830.0,1388.0,1.0
x[36],-0.7,2.36,-5.111,3.522,0.032,0.056,5570.0,1483.0,1.0
x[37],-0.614,2.504,-5.549,3.788,0.039,0.056,4117.0,1716.0,1.0
x[38],4.272,2.338,-0.139,8.653,0.035,0.031,4484.0,1409.0,1.0
x[39],5.795,2.339,1.566,10.347,0.038,0.032,3770.0,1476.0,1.0
x[40],-0.081,2.25,-4.127,4.25,0.029,0.055,5957.0,1671.0,1.0
x[41],5.801,2.68,0.847,10.689,0.038,0.033,4891.0,1185.0,1.0
x[42],-0.9,2.226,-4.909,3.452,0.038,0.045,3434.0,1340.0,1.0
x[43],0.12,2.272,-3.813,4.44,0.031,0.055,5528.0,1526.0,1.0
x[44],0.896,2.592,-3.848,5.868,0.046,0.058,3127.0,1503.0,1.0
x[45],0.132,2.367,-4.258,4.414,0.035,0.053,4614.0,1612.0,1.0
x[46],5.679,2.619,0.79,10.644,0.041,0.039,4143.0,1214.0,1.0
x[47],-1.214,2.173,-5.35,2.771,0.033,0.048,4465.0,1427.0,1.0
x[48],-0.849,2.137,-4.895,3.117,0.036,0.045,3572.0,1666.0,1.0
x[49],5.045,2.62,0.52,10.227,0.043,0.034,3749.0,1446.0,1.0
x[50],-2.061,2.454,-6.773,2.245,0.033,0.043,5764.0,1311.0,1.0
x[51],1.259,2.378,-3.473,5.485,0.038,0.047,3953.0,1553.0,1.0
x[52],0.762,2.234,-3.584,4.735,0.032,0.061,4808.0,1204.0,1.0
x[53],-2.863,2.312,-7.024,1.564,0.033,0.034,4848.0,1579.0,1.0
x[54],2.47,2.8,-2.858,7.901,0.042,0.052,4566.0,1172.0,1.0
x[55],0.794,2.501,-3.686,5.485,0.031,0.056,6551.0,1686.0,1.0
x[56],0.732,2.251,-3.567,4.894,0.032,0.057,4963.0,1590.0,1.0
x[57],2.958,2.635,-2.224,7.858,0.036,0.042,5404.0,1400.0,1.0
x[58],-1.645,2.173,-5.517,2.457,0.035,0.041,3833.0,1301.0,1.0
x[59],1.798,2.449,-2.968,6.201,0.038,0.046,4121.0,1446.0,1.0
x[60],1.745,2.778,-3.576,6.751,0.039,0.054,5204.0,1395.0,1.0
x[61],1.476,2.227,-2.612,5.717,0.035,0.044,4141.0,1422.0,1.0
x[62],-2.139,2.379,-6.612,2.202,0.035,0.046,4792.0,1375.0,1.0
x[63],2.331,2.11,-1.393,6.181,0.03,0.033,4842.0,1616.0,1.0
x[64],2.551,2.561,-2.113,7.607,0.042,0.042,3815.0,1493.0,1.0
x[65],0.429,2.224,-4.002,4.528,0.032,0.065,4637.0,1190.0,1.0
x[66],-1.556,2.128,-5.812,2.062,0.032,0.039,4492.0,1569.0,1.0
x[67],-2.358,2.579,-7.724,2.098,0.04,0.047,4042.0,1528.0,1.0
x[68],-0.351,2.298,-4.738,3.832,0.036,0.049,4117.0,1636.0,1.0
x[69],3.442,2.66,-1.47,8.622,0.042,0.042,3963.0,1444.0,1.0
x[70],2.499,2.086,-1.727,6.174,0.033,0.031,4006.0,1621.0,1.0
x[71],2.155,2.659,-2.831,7.113,0.041,0.061,4281.0,1206.0,1.0
x[72],-1.582,2.659,-6.221,3.682,0.04,0.053,4437.0,1518.0,1.0
x[73],8.15,2.419,3.464,12.567,0.04,0.031,3622.0,1566.0,1.0
x[74],-0.493,2.348,-4.492,3.98,0.037,0.054,3970.0,1424.0,1.0
x[75],-1.2,2.395,-5.332,3.287,0.036,0.056,4276.0,1639.0,1.0
x[76],-0.659,2.226,-4.852,3.549,0.03,0.052,5347.0,1604.0,1.0
x[77],4.626,2.453,0.108,9.23,0.033,0.03,5650.0,1472.0,1.0
x[78],3.564,2.41,-1.058,7.866,0.037,0.038,3989.0,1297.0,1.0
x[79],-0.109,2.542,-4.955,4.71,0.039,0.066,4198.0,1423.0,1.0
x[80],-3.358,3.272,-9.608,2.554,0.044,0.052,5528.0,1606.0,1.0
x[81],-1.111,2.735,-6.197,4.033,0.043,0.064,4042.0,1501.0,1.0
x[82],0.632,2.57,-4.398,5.081,0.038,0.06,4643.0,1480.0,1.0
x[83],-1.232,2.69,-6.278,4.068,0.038,0.062,5008.0,1362.0,1.01
x[84],1.164,2.077,-2.887,4.927,0.037,0.05,3176.0,1179.0,1.0
x[85],0.1,2.276,-4.104,4.226,0.032,0.058,5115.0,1420.0,1.0
x[86],-0.59,2.16,-4.509,3.492,0.035,0.05,3876.0,1762.0,1.0
x[87],2.179,2.244,-2.027,6.224,0.034,0.037,4432.0,1360.0,1.0
x[88],-1.368,2.778,-6.424,4.015,0.043,0.062,4155.0,1417.0,1.0
x[89],-3.056,2.251,-7.1,1.249,0.033,0.033,4682.0,1541.0,1.0
x[90],0.237,2.151,-3.881,4.219,0.034,0.053,3967.0,1404.0,1.0
x[91],0.693,2.293,-3.594,4.868,0.037,0.057,3855.0,1315.0,1.0
x[92],1.847,2.699,-3.014,7.031,0.041,0.055,4280.0,1432.0,1.0
x[93],1.967,2.693,-3.212,6.782,0.039,0.051,4622.0,1583.0,1.0
x[94],-0.3,2.242,-4.727,3.683,0.034,0.053,4277.0,1250.0,1.01
x[95],-1.278,2.244,-5.296,3.194,0.033,0.048,4699.0,1368.0,1.0
x[96],0.032,2.937,-5.234,5.987,0.043,0.078,4828.0,1523.0,1.0
x[97],-1.399,3.714,-8.29,5.431,0.051,0.089,5273.0,1347.0,1.0
x[98],1.863,2.534,-2.665,6.905,0.04,0.046,4135.0,1279.0,1.0
x[99],-1.123,2.547,-5.518,3.838,0.035,0.064,5216.0,1398.0,1.0
x[100],1.252,3.082,-4.085,7.218,0.044,0.074,4887.0,1573.0,1.0
x[101],-3.415,2.644,-8.607,1.2,0.039,0.045,4466.0,1261.0,1.0
x[102],5.247,2.724,0.22,10.534,0.04,0.034,4743.0,1526.0,1.0
x[103],0.777,2.451,-3.589,5.393,0.036,0.056,4667.0,1645.0,1.0
